84_1_L|18:00:00|2
84_1_L|19:00:00|2
84_1_S|09:00:00|1
84_1_S|10:00:00|1
84_1_S|11:00:00|1
84_1_S|12:00:00|1
84_1_S|13:00:00|1
84_1_S|14:00:00|1
84_1_S|15:00:00|1
84_1_S|16:00:00|1
84_1_S|17:00:00|1
84_1_S|18:00:00|1
85_0_D|09:00:00|2
85_0_D|10:00:00|2
85_0_D|11:00:00|2
85_0_D|12:00:00|2
85_0_D|13:00:00|2
85_0_D|14:00:00|2
85_0_D|15:00:00|2
85_0_D|16:00:00|2
85_0_D|17:00:00|2
85_0_D|18:00:00|2
85_0_L|08:00:00|6
85_0_L|09:00:00|5
85_0_L|10:00:00|6
85_0_L|11:00:00|5
85_0_L|12:00:00|6
85_0_L|13:00:00|5
85_0_L|14:00:00|5
85_0_L|15:00:00|5
85_0_L|16:00:00|4
85_0_L|17:00:00|4
85_0_L|18:00:00|4
85_0_L|19:00:00|2
85_0_S|08:00:00|2
85_0_S|09:00:00|2
85_0_S|10:00:00|2
85_0_S|11:00:00|2
85_0_S|12:00:00|2
85_0_S|13:00:00|2
85_0_S|14:00:00|2
85_0_S|15:00:00|2
85_0_S|16:00:00|2
85_0_S|17:00:00|2
85_0_S|18:00:00|2
85_1_D|10:00:00|2
85_1_D|11:00:00|2
85_1_D|12:00:00|2
85_1_D|13:00:00|2
85_1_D|14:00:00|2
85_1_D|15:00:00|2
85_1_D|16:00:00|2
85_1_D|17:00:00|2
85_1_D|18:00:00|2
85_1_L|08:00:00|6
85_1_L|09:00:00|5
85_1_L|10:00:00|6
85_1_L|11:00:00|5
85_1_L|12:00:00|6
85_1_L|13:00:00|5
85_1_L|14:00:00|5
85_1_L|15:00:00|5
85_1_L|16:00:00|4
85_1_L|17:00:00|4
85_1_L|18:00:00|4
85_1_L|19:00:00|2
85_1_S|09:00:00|2
85_1_S|10:00:00|2
85_1_S|11:00:00|2
85_1_S|12:00:00|2
85_1_S|13:00:00|2
85_1_S|14:00:00|2
85_1_S|15:00:00|2
85_1_S|16:00:00|2
85_1_S|17:00:00|2
85_1_S|18:00:00|2
86_0_D|09:00:00|3
86_0_D|10:00:00|3
86_0_D|11:00:00|3
86_0_D|12:00:00|3
86_0_D|18:00:00|1
86_0_L|08:00:00|6
86_0_L|09:00:00|5
86_0_L|10:00:00|6
86_0_L|11:00:00|5
86_0_L|12:00:00|5
86_0_L|13:00:00|6
86_0_L|14:00:00|5
86_0_L|15:00:00|5
86_0_L|16:00:00|4
86_0_L|17:00:00|4
86_0_L|18:00:00|4
86_0_L|19:00:00|2
86_0_S|08:00:00|3
86_0_S|09:00:00|3
86_0_S|10:00:00|3
86_0_S|11:00:00|3
86_0_S|12:00:00|3
86_0_S|13:00:00|3
86_0_S|14:00:00|3
86_0_S|15:00:00|2
86_0_S|16:00:00|2
86_0_S|17:00:00|2
86_0_S|18:00:00|2
86_1_D|10:00:00|3
86_1_D|11:00:00|3
86_1_D|12:00:00|3
86_1_D|13:00:00|3
86_1_L|08:00:00|6
86_1_L|09:00:00|5
86_1_L|10:00:00|6
86_1_L|11:00:00|5
86_1_L|12:00:00|5
86_1_L|13:00:00|6
86_1_L|14:00:00|5
86_1_L|15:00:00|5
86_1_L|16:00:00|4
86_1_L|17:00:00|4
86_1_L|18:00:00|4
86_1_L|19:00:00|2
86_1_S|09:00:00|3
86_1_S|10:00:00|3
86_1_S|11:00:00|3
86_1_S|12:00:00|3
86_1_S|13:00:00|3
86_1_S|14:00:00|3
86_1_S|15:00:00|3
86_1_S|16:00:00|2
86_1_S|17:00:00|2
86_1_S|18:00:00|2
87_0_D|13:00:00|2
87_0_D|14:00:00|2
87_0_D|15:00:00|2
87_0_D|16:00:00|2
87_0_D|17:00:00|2
87_1_D|14:00:00|2
87_1_D|15:00:00|2
87_1_D|16:00:00|2
87_1_D|17:00:00|2
87_1_D|18:00:00|2
89_0_D|09:00:00|2
89_0_D|10:00:00|2
89_0_D|11:00:00|2
89_0_D|12:00:00|2
89_0_D|13:00:00|2
89_0_D|14:00:00|2
89_0_D|15:00:00|2
89_0_D|16:00:00|2
89_0_D|17:00:00|2
89_0_D|18:00:00|1
89_0_L|08:00:00|5
89_0_L|09:00:00|6
89_0_L|10:00:00|5
89_0_L|11:00:00|6
89_0_L|12:00:00|5
89_0_L|13:00:00|5
89_0_L|14:00:00|5
89_0_L|15:00:00|5
89_0_L|16:00:00|5
89_0_L|17:00:00|4
89_0_L|18:00:00|4
89_0_L|19:00:00|2
89_0_S|08:00:00|2
89_0_S|09:00:00|2
89_0_S|10:00:00|2
89_0_S|11:00:00|2
89_0_S|12:00:00|2
89_0_S|13:00:00|2
89_0_S|14:00:00|2
89_0_S|15:00:00|2
89_0_S|16:00:00|2
89_0_S|17:00:00|2
89_0_S|18:00:00|1
89_1_D|10:00:00|2
89_1_D|11:00:00|2
89_1_D|12:00:00|2
89_1_D|13:00:00|2
89_1_D|14:00:00|2
89_1_D|15:00:00|2
89_1_D|16:00:00|2
89_1_D|17:00:00|2
89_1_D|18:00:00|1
89_1_L|08:00:00|5
89_1_L|09:00:00|6
89_1_L|10:00:00|5
89_1_L|11:00:00|6
89_1_L|12:00:00|5
89_1_L|13:00:00|5
89_1_L|14:00:00|5
89_1_L|15:00:00|5
89_1_L|16:00:00|5
89_1_L|17:00:00|4
89_1_L|18:00:00|4
89_1_L|19:00:00|2
89_1_S|09:00:00|2
89_1_S|10:00:00|2
89_1_S|11:00:00|2
89_1_S|12:00:00|2
89_1_S|13:00:00|2
89_1_S|14:00:00|2
89_1_S|15:00:00|2
89_1_S|16:00:00|2
89_1_S|17:00:00|2
89_1_S|18:00:00|1
90_0_D|09:00:00|2
90_0_D|10:00:00|2
90_0_D|11:00:00|2
90_0_D|12:00:00|2
90_0_D|13:00:00|2
90_0_D|14:00:00|2
90_0_D|15:00:00|2
90_0_D|16:00:00|2
90_0_D|17:00:00|2
90_0_D|18:00:00|1
90_0_L|08:00:00|6
90_0_L|09:00:00|5
90_0_L|10:00:00|6
90_0_L|11:00:00|5
90_0_L|12:00:00|6
90_0_L|13:00:00|5
90_0_L|14:00:00|5
90_0_L|15:00:00|5
90_0_L|16:00:00|4
90_0_L|17:00:00|4
90_0_L|18:00:00|4
90_0_L|19:00:00|2
