LIDER HIPER AV. CENTRAL|336768|6291500|-33.5036|-70.7573|
LIDER HIPER MAIPU|337827|6293961|-33.4816|-70.7455|
LIDER HIPER QUILIN|353268|6293801|-33.4852|-70.5794|
LIDER HIPER VESPUCIO MAIPU|336487|6295054|-33.4715|-70.7597|
LIDER HIPER CORDILLERA|355378|6284823|-33.5665|-70.5581|
LIDER HIPER VICUÑA MACKENNA|351302|6289827|-33.5208|-70.6012|
LIDER HIPER MACUL|351433|6295002|-33.4742|-70.5989|
LIDER HIPER VITACURA|354148|6304767|-33.3865|-70.5681|
LIDER HIPER PLAZA VESPUCIO|351383|6290523|-33.5145|-70.6002|
LIDER EXPRESS COLON|355555|6301316|-33.4178|-70.5535|
LIDER EXPRESS LATADIA|353607|6300097|-33.4285|-70.5747|
LIDER HIPER TALAGANTE|321495|6273615|-33.6624|-70.9252|
LIDER EXPRESS P. DE VALDIVIA|350605|6298769|-33.4401|-70.6072|
LIDER EXPRESS ESTORIL|357322|6305062|-33.3843|-70.5339|
LIDER EXPRESS M. MONTT|349417|6299936|-33.4294|-70.6198|
LIDER EXPRESS TOBALABA|351440|6300684|-33.4229|-70.5979|
LIDER EXPRESS LA DEHESA|358495|6308551|-33.353|-70.5208|
LIDER EXPRESS APOQUINDO|354199|6302250|-33.4092|-70.568|
LIDER EXPRESS IRARRÁZAVAL|350723|6297204|-33.4542|-70.6062|
LIDER EXPRESS LOS DOMINICOS|360587|6304449|-33.3902|-70.499|
LIDER EXPRESS PIEDRA ROJA|348316|6316784|-33.2773|-70.6288|
LIDER EXPRESS COLINA|342929|6323318|-33.2176|-70.6855|
LIDER EXPRESS PEDRO FONTOVA|344551|6308375|-33.3526|-70.6706|
LIDER EXPRESS PROVIDENCIA SANTA ISABEL|348590|6297992|-33.4468|-70.629|
LIDER EXPRESS GRECIA|348778|6297035|-33.4555|-70.6271|
LIDER EXPRESS CONSISTORIAL|356069|6293544|-33.4879|-70.5493|
LIDER EXPRESS ROJAS MAGALLANES|355386|6294656|-33.4778|-70.5564|
LIDER EXPRESS GRAN AVENIDA|346620|6293153|-33.4901|-70.651|
LIDER EXPRESS CIUDAD DEL ESTE|355732|6285713|-33.5585|-70.5541|
LIDER EXPRESS 10 DE JULIO|345975|6297108|-33.4544|-70.6573|
LIDER EXPRESS SANTA ROSA|347039|6298118|-33.4454|-70.6456|
LIDER HIPER LOS DOMINICOS|358995|6303226|-33.401|-70.5163|
LIDER EXPRESS MERCED|347081|6298942|-33.438|-70.645|
LIDER EXPRESS SAN MARTIN DOWN TOWN|345931|6298314|-33.4435|-70.6575|
LIDER EXPRESS VESPUCIO EL ROSAL|336732|6294156|-33.4796|-70.7572|
LIDER HIPER OESTE|341234|6290001|-33.5178|-70.7095|
LIDER HIPER QUILICURA|339192|6307833|-33.3567|-70.7283|
LIDER EXPRESS TOMAS MORO|355532|6300675|-33.4236|-70.5539|
LIDER HIPER RECOLETA|347251|6303850|-33.3938|-70.6424|
LIDER HIPER PRINCIPE DE GALES|357272|6298698|-33.4416|-70.5355|
LIDER HIPER GRAN AVENIDA|346086|6290686|-33.5123|-70.6572|
LIDER HIPER LA PINTANA|348909|6282465|-33.5868|-70.6282|
LIDER HIPER MELIPILLA|295735|6271053|-33.6808|-71.2035|
LIDER HIPER GENERAL VELASQUEZ|342769|6297203|-33.4531|-70.6917|
LIDER HIPER SAN PABLO|339867|6298062|-33.4449|-70.7228|
LIDER HIPER LA REINA|356222|6296363|-33.4625|-70.5472|
LIDER HIPER VESPUCIO|353699|6296320|-33.4626|-70.5743|
LIDER HIPER SANTA AMALIA|354184|6287301|-33.544|-70.5706|
LIDER HIPER SAN JOAQUIN|349434|6293977|-33.4831|-70.6206|
LIDER HIPER SAN BERNARDO|342599|6281110|-33.5981|-70.6964|
LIDER HIPER NOS|341092|6277598|-33.6296|-70.7133|
LIDER EXPRESS BUIN-SAN MARTIN|339216|6265928|-33.7345|-70.7356|
LIDER EXPRESS MAIPU-ISABEL RIQUELME|338448|6293557|-33.4853|-70.7389|
LIDER EXPRESS PORTUGAL|348067|6297621|-33.4501|-70.6347|
LIDER EXPRESS LAGUNA DEL SOL|346244|6295601|-33.468|-70.6546|
LIDER EXPRESS SALVADOR-ÑUÑOA|349286|6297674|-33.4498|-70.6216|
BODEGA ACUENTA CARMEN MAIPU|336359|6289556|-33.5211|-70.7621|
ACUENTA CUIDAD SATELITE|333412|6285885|-33.5537|-70.7945|
ACUENTA PEÑAFLOR|323836|6279662|-33.6083|-70.8988|
ACUENTA EL MONTE|316232|6271406|-33.6814|-70.9824|
ACUENTA TRAVESIA|338450|6296554|-33.4583|-70.7383|
ACUENTA QUINTA NORMAL|341526|6299926|-33.4283|-70.7046|
ACUENTA VIVACETA|345453|6300603|-33.4228|-70.6623|
ACUENTA RECOLETA NORTE|347554|6305509|-33.3789|-70.6388|
ACUENTA LAMPA|325016|6315740|-33.2832|-70.8791|
ACUENTA EYZAGUIRRE ORIENTE|351785|6279388|-33.615|-70.5977|
ACUENTA GABRIELA|350960|6282999|-33.5823|-70.606|
ACUENTA ORIENTALES|355655|6295566|-33.4697|-70.5534|
ACUENTA LO OVALLE|344153|6291084|-33.5084|-70.6779|
ACUENTA BUIN|338803|6266196|-33.732|-70.74|
ACUENTA SAN BERNARDO EUCALIPTUS|342023|6279905|-33.6089|-70.7028|
ACUENTA PAINE|339212|6257767|-33.8081|-70.7371|
ACUENTA ISLA DE MAIPO|323965|6263767|-33.7516|-70.9006|
LIDER EXPRESS RECOLETA & EINSTEIN|347189|6302527|-33.4057|-70.6433|
LIDER EXPRESS VICUÑA MACKENNA & TRINIDAD|352565|6286943|-33.547|-70.5881|
LIDER EXPRESS ELIODORO YAÑEZ|349700|6299518|-33.4332|-70.6168|
LIDER EXPRESS INDEPENDENCIA I|346094|6300520|-33.4237|-70.6554|
LIDER EXPRESS BELLAVISTA|347238|6299487|-33.4331|-70.6433|
LIDER EXPRESS 1 TRANSVERSAL|333011|6284597|-33.5652|-70.799|
LIDER EXPRESS IRARRAZABAL|349166|6297293|-33.4532|-70.6229|
LIDER HIPER LO MARCOLETA|337627|6307412|-33.3603|-70.7452|
LIDER EXPRESS PROVIDENCIA|349740|6300218|-33.4269|-70.6162|
LIDER EXPRESS COLOMBIA|352288|6289729|-33.5218|-70.5906|
LIDER EXPRESS JOSÉ LUIS COO|353970|6280079|-33.6091|-70.5741|
LIDER EXPRESS PEDRO DE VALDIVIA|350724|6295127|-33.4729|-70.6065|
LIDER EXPRESS TOBALABA|351932|6300434|-33.4252|-70.5926|
LIDER EXPRESS VITACURA|352909|6303658|-33.3963|-70.5816|
LIDER EXPRESS RAMÓN CRUZ|352725|6293847|-33.4848|-70.5852|
LIDER EXPRESS PRIMO DE RIVERA|338439|6292795|-33.4922|-70.7391|
LIDER EXPRESS ALC JORGE MONCKEBERG|352494|6295226|-33.4723|-70.5875|
LIDER EXPRESS LO BARNECHEA|359895|6307806|-33.3599|-70.5059|
LIDER EXPRESS LO OVALLE|345370|6290646|-33.5126|-70.6649|
LIDER EXPRESS AV CENTRAL|343211|6292235|-33.4979|-70.6878|
LIDER EXPRESS GRAJALES|345194|6297709|-33.4489|-70.6656|
LIDER EXPRESS L. B. O´HIGGINS|344439|6297673|-33.4491|-70.6737|
LIDER EXPRESS CURICÓ|347298|6298059|-33.446|-70.6429|
LIDER EXPRESS VICUÑA MACKENNA|325700|6279399|-33.6109|-70.8788|
LIDER EXPRESS MONJITAS|346842|6299042|-33.4371|-70.6476|
LIDER EXPRESS ARTIGAS|351347|6298217|-33.4452|-70.5993|
LIDER EXPRESS AV. PORTUGAL|347880|6298125|-33.4455|-70.6366|
LIDER EXPRESS LAS REJAS SUR|341563|6295988|-33.4639|-70.7049|
LIDER EXPRESS LAS TORRES|339106|6294256|-33.4791|-70.7316|
LIDER EXPRESS EL DESCANSO|337329|6295221|-33.4701|-70.7506|
LIDER EXPRESS BAGDAD|335739|6286906|-33.5448|-70.7692|
LIDER EXPRESS AV. LO CRUZAT|339870|6307623|-33.3587|-70.7211|
LIDER EXPRESS SAN PABLO|344179|6299180|-33.4355|-70.6762|
LIDER EXPRESS CUATRO PONIENTE|333594|6289092|-33.5248|-70.7919|
LIDER EXPRESS SANTA LUISA|338137|6308411|-33.3513|-70.7395|
LIDER EXPRESS PDTE. GABRIEL GONZALEZ VIDELA|334122|6287840|-33.5362|-70.7865|
LIDER EXPRESS CARRASCAL|342512|6300506|-33.4233|-70.6939|
LIDER EXPRESS BANDERA|346326|6299355|-33.4342|-70.6531|
LIDER EXPRESS JUAN DE DIOS MALEBRÁN|352429|6281574|-33.5954|-70.5904|
LIDER EXPRESS SAN DIEGO|346533|6297847|-33.4478|-70.6511|
LIDER EXPRESS COVENTRY|353097|6297827|-33.4489|-70.5805|
LIDER EXPRESS AV. INDEPENDENCIA|345980|6301218|-33.4173|-70.6565|
LIDER EXPRESS LOS LEONES|351156|6299181|-33.4364|-70.6012|
LIDER EXPRESS AV. RECOLETA|347099|6300744|-33.4218|-70.6446|
LIDER EXPRESS EL SALTO|347824|6301963|-33.4109|-70.6365|
LIDER EXPRESS AV. LIRA|347660|6297760|-33.4488|-70.639|
LIDER EXPRESS FROILAN ROA|351327|6291870|-33.5024|-70.6006|
LIDER EXPRESS SANTA ISABEL|349436|6298179|-33.4452|-70.6199|
LIDER EXPRESS GRAN AVENIDA|345569|6288305|-33.5337|-70.6631|
LIDER EXPRESS EL OLIMPO|335093|6290528|-33.5121|-70.7755|
LIDER EXPRESS IRARAZAVAL|353588|6297271|-33.454|-70.5754|
LIDER EXPRESS VICUÑA MACKENA II|352049|6288248|-33.5351|-70.5934|
LIDER EXPRESS MANQUEHUE SUR|354410|6301690|-33.4143|-70.5658|
LIDER HIPER BUIN BERNARDO OHIGGINS|337976|6265956|-33.7341|-70.749|
LIDER EXPRESS JOSÉ D. CAÑAS|349876|6296995|-33.456|-70.6153|
LIDER HIPER MAIPÚ|335839|6287314|-33.5412|-70.7681|
LIDER EXPRESS LAGUNA SUR|337990|6296179|-33.4616|-70.7433|
LIDER HIPER PEÑAFLOR|327785|6279686|-33.6087|-70.8563|
