80_0_D|1299|B_I|09:00:00|09:00:00|B
80_0_D|1300|B_I|10:00:00|10:00:00|B
80_0_D|1301|B_I|11:00:00|11:00:00|B
80_0_D|1302|B_I|12:00:00|12:00:00|B
80_0_D|1303|B_I|13:00:00|13:00:00|B
80_0_D|1304|B_I|14:00:00|14:00:00|B
80_0_D|1305|B_I|15:00:00|15:00:00|B
80_0_D|1306|B_I|16:00:00|16:00:00|B
80_0_D|1307|B_I|17:00:00|17:00:00|B
80_0_D|1308|B_I|18:00:00|18:00:00|B
80_0_L|286|B_I|08:00:00|08:00:00|B
80_0_L|287|B_I|08:00:00|09:00:00|B
80_0_L|288|B_I|08:00:00|09:00:00|B
80_0_L|289|B_I|08:00:00|09:00:00|B
80_0_L|290|B_I|09:00:00|09:00:00|B
80_0_L|291|B_I|09:00:00|10:00:00|B
80_0_L|292|B_I|09:00:00|10:00:00|B
80_0_L|293|B_I|10:00:00|10:00:00|B
80_0_L|294|B_I|10:00:00|11:00:00|B
80_0_L|295|B_I|10:00:00|11:00:00|B
80_0_L|296|B_I|11:00:00|11:00:00|B
80_0_L|297|B_I|11:00:00|12:00:00|B
80_0_L|298|B_I|11:00:00|12:00:00|B
80_0_L|299|B_I|12:00:00|12:00:00|B
80_0_L|300|B_I|12:00:00|13:00:00|B
80_0_L|301|B_I|12:00:00|13:00:00|B
80_0_L|302|B_I|13:00:00|13:00:00|B
80_0_L|303|B_I|13:00:00|14:00:00|B
80_0_L|304|B_I|13:00:00|14:00:00|B
80_0_L|305|B_I|14:00:00|14:00:00|B
80_0_L|306|B_I|14:00:00|15:00:00|B
80_0_L|307|B_I|14:00:00|15:00:00|B
80_0_L|308|B_I|15:00:00|15:00:00|B
80_0_L|309|B_I|15:00:00|16:00:00|B
80_0_L|310|B_I|15:00:00|16:00:00|B
80_0_L|311|B_I|16:00:00|17:00:00|B
80_0_L|312|B_I|16:00:00|17:00:00|B
80_0_L|313|B_I|17:00:00|18:00:00|B
80_0_L|314|B_I|17:00:00|18:00:00|B
80_0_L|315|B_I|18:00:00|19:00:00|B
80_0_L|316|B_I|18:00:00|19:00:00|B
80_0_L|317|B_I|19:00:00|20:00:00|B
80_0_S|1000|B_I|14:00:00|14:00:00|B
80_0_S|1001|B_I|15:00:00|15:00:00|B
80_0_S|1002|B_I|16:00:00|16:00:00|B
80_0_S|1003|B_I|17:00:00|17:00:00|B
80_0_S|1004|B_I|18:00:00|18:00:00|B
80_0_S|994|B_I|08:00:00|08:00:00|B
80_0_S|995|B_I|09:00:00|09:00:00|B
80_0_S|996|B_I|10:00:00|10:00:00|B
80_0_S|997|B_I|11:00:00|11:00:00|B
80_0_S|998|B_I|12:00:00|12:00:00|B
80_0_S|999|B_I|13:00:00|13:00:00|B
80_1_D|1439|B_R|10:00:00|10:00:00|B
80_1_D|1440|B_R|11:00:00|11:00:00|B
80_1_D|1441|B_R|12:00:00|12:00:00|B
80_1_D|1442|B_R|13:00:00|13:00:00|B
80_1_D|1443|B_R|14:00:00|14:00:00|B
80_1_D|1444|B_R|15:00:00|15:00:00|B
80_1_D|1445|B_R|16:00:00|16:00:00|B
80_1_D|1446|B_R|17:00:00|17:00:00|B
80_1_D|1447|B_R|18:00:00|18:00:00|B
80_1_L|719|B_R|08:00:00|08:00:00|B
80_1_L|720|B_R|08:00:00|09:00:00|B
80_1_L|721|B_R|08:00:00|09:00:00|B
80_1_L|722|B_R|09:00:00|09:00:00|B
80_1_L|723|B_R|09:00:00|10:00:00|B
80_1_L|724|B_R|09:00:00|10:00:00|B
80_1_L|725|B_R|09:00:00|10:00:00|B
80_1_L|726|B_R|10:00:00|10:00:00|B
80_1_L|727|B_R|10:00:00|11:00:00|B
80_1_L|728|B_R|10:00:00|11:00:00|B
80_1_L|729|B_R|11:00:00|11:00:00|B
80_1_L|730|B_R|11:00:00|12:00:00|B
80_1_L|731|B_R|11:00:00|12:00:00|B
80_1_L|732|B_R|12:00:00|12:00:00|B
80_1_L|733|B_R|12:00:00|13:00:00|B
80_1_L|734|B_R|12:00:00|13:00:00|B
80_1_L|735|B_R|13:00:00|13:00:00|B
80_1_L|736|B_R|13:00:00|14:00:00|B
80_1_L|737|B_R|13:00:00|14:00:00|B
80_1_L|738|B_R|14:00:00|14:00:00|B
80_1_L|739|B_R|14:00:00|15:00:00|B
80_1_L|740|B_R|14:00:00|15:00:00|B
80_1_L|741|B_R|15:00:00|15:00:00|B
80_1_L|742|B_R|15:00:00|16:00:00|B
80_1_L|743|B_R|15:00:00|16:00:00|B
80_1_L|744|B_R|16:00:00|16:00:00|B
80_1_L|745|B_R|16:00:00|17:00:00|B
80_1_L|746|B_R|16:00:00|17:00:00|B
80_1_L|747|B_R|17:00:00|17:00:00|B
80_1_L|748|B_R|17:00:00|18:00:00|B
80_1_L|749|B_R|17:00:00|18:00:00|B
80_1_L|750|B_R|18:00:00|19:00:00|B
80_1_L|751|B_R|18:00:00|19:00:00|B
80_1_L|752|B_R|19:00:00|20:00:00|B
80_1_L|753|B_R|19:00:00|20:00:00|B
80_1_S|1151|B_R|09:00:00|09:00:00|B
80_1_S|1152|B_R|10:00:00|10:00:00|B
80_1_S|1153|B_R|11:00:00|11:00:00|B
80_1_S|1154|B_R|12:00:00|12:00:00|B
80_1_S|1155|B_R|13:00:00|13:00:00|B
80_1_S|1156|B_R|14:00:00|14:00:00|B
80_1_S|1157|B_R|15:00:00|15:00:00|B
80_1_S|1158|B_R|16:00:00|16:00:00|B
80_1_S|1159|B_R|17:00:00|17:00:00|B
