NOMBRE FANTASIA;LONGITUD;LATITUD
MI PAN;-70.64757699;-33.55365123
EL DROOPY;-70.7689458535552;-33.4971336199571
ANITA - SAN MIGUEL;-70.6410821428571;-33.4896497619048
VINDRIS;-70.70512298245616;-33.59607815789472
ARIAS MARKET;-70.6287738157861;-33.459616264294
SAN VICENTE;-70.6608313682667;-33.5548048709251
JENNY ALVAREZ FUENTES;-70.686703;-33.494825
LA COTE;-70.739746;-33.425554
EL GRIFO;-70.75143984848482;-33.36591558441559
LA PIRAMIDE;-70.6966925050505;-33.3902699414141
PAULA;-70.6368271353969;-33.4379212177902
SHELL CHILE - LA DEHESA;-70.5149755942711;-33.3628270240306
SHELL CHILE - PEDRO AGUIRRE CERDA;-70.6973440500445;-33.4848946887901
ROSALINO RIVERA PEREZ;-70.5404343939393;-33.4549468181818
ECOMARKET S;-70.7400765337963;-33.4580877935827
SHELL CHILE - PATAGONIA;-70.54494346;-33.4091257
RODRIGO;-70.7363466666667;-33.4985916666667
SHELL CHILE - VICUNA MACKENNA;-70.6333624473611;-33.4419368770833
DONDE LA NANCY;-70.73917166666668;-33.349934761904755
MYM RENCA;-70.7051661857688;-33.4046845221385
ANDREA - ANDRES;-70.6332093678161;-33.4715346551724
DONDE LAS CHIQUILLAS JESSICA Y SILVIA;-70.734225462963;-33.3532874074074
VILLA ALEGRE;-70.7243359564935;-33.497214686585
SONNY;-70.69694114717868;-33.47702808880444
APOLOGIA BAZAR;-70.7700826333333;-33.43633705
MARIA MAGDALENA REYES PAD;-70.72796904;-33.43000526
BOTILLERIA LA FORTUNA;-70.6638216666666;-33.5364472777777
VERONICA CECILIA GONZALEZ CARRASCO;-70.7257736847849;-33.48991757708662
JOSE HERMIDA ARBUCH;-70.6767977192982;-33.4174995614035
EBEN EZER - SAN RAMON;-70.6519195333333;-33.5502888666667
MINIMARKET - CERRO NAVIA;-70.73011004647434;-33.432862323557686
DON RAMON;-70.7023160997474;-33.4439364157197
ZORAIDA ROXANA ZEVALLOS HUANCA;-70.680357;-33.434875
LOS HENRIQUEZ;-70.76040172222221;-33.41575888888888
JUAN PABLO MORENO VERA;-70.6935877605865;-33.4446070934453
JOSE SANCHEZ;-70.6047988;-33.454542
ETIENNE;-70.66734349985859;-33.569275112802224
ALMACEN LA ITA;-70.55923660714286;-33.58492940476191
ALMACEN TOTO;-70.7276950332177;-33.4395912652514
BAZAR-MAIPU;-70.7860125;-33.56172416666665
ISACI;-70.65915945390462;-33.411678911095215
PROVISIONES OLGUITA RECOL;-70.65359252;-33.38457392
MARINA CORREA;-70.689651;-33.35735359
SANTA OLGA;-70.67511298;-33.41304471
LA FAMILIA;-70.6985782133289;-33.461998008532
TERESA TORRES PEREZ;-70.59641995619;-33.4769285437762
FERNANDA - LA GRANJA;-70.62497404078047;-33.54972930222141
LIBRERIA JIT VITACURA;-70.5534623148722;-33.3913782111783
MARTINA;-70.7232939583333;-33.4739939583333
DONDE MATI;-70.7057213856583;-33.4497017939226
KIOSKO BIP VITACURA LAS U;-70.5468315614861;-33.3822622500193
KIOSCO PUEBLO JUPLEI;-70.5714928152851;-33.3900189575329
EL NEGOCIO;-70.7012988892592;-33.4555444448148
RAUL LEIVA;-70.7163170958133;-33.47715296663
LOS SOCIOS EST CENTRAL;-70.71326698;-33.46860798
CONFITERIA Y CAFETERIA SN;-70.6398872222222;-33.4976408333333
ANGEMAR 13 SN MIGUEL;-70.64060504;-33.51211963
JACQUELINE ANGELICA CHAMO;-70.5365665594056;-33.454013974745
FRANCISCO JAVIER GONZALEZ;-70.6241036385455;-33.5576789175267
JOVI LA GRANJA;-70.62641673;-33.55013832
JUAN CABELLO;-70.62064857;-33.53727019
DON REMI CERRILLOS;-70.7340933113409;-33.5082795458454
SANTA ELENA LA GRANJA;-70.630266147619;-33.5464857904761
YASNITA Y CARLITOS EST CE;-70.69929737;-33.47005404
LUIS MORA CERRILLOS;-70.71528509;-33.49056193
JUANA SAAVEDRA VILLASECA;-70.69655687;-33.47146035
MINIMARKET JUAN PABLO;-70.70340285;-33.47404759
MINIMARKET FULL;-70.71041122;-33.46630304
ALMACENLA ESKINA;-70.7071570901241;-33.4756975647495
SANTA TERESITA LO ESPEJO;-70.689894;-33.50783
L MASEL LO ESPEJO;-70.697252516631;-33.5274762610669
INVERSIONES ENEX S.A.;-70.717226;-33.603480
BOTILLERIA GILBERTO HUECH;-70.63843017;-33.36827503
LOS LAGOS - PENALOLEN;-70.5639700679861;-33.4826560897059
FARM LA FE LO ESPEJO;-70.695889;-33.519935
BAZAR LOS CRUCES;-70.764905;-33.4164266666667
LUCAS;-70.64381485875707;-33.39698209248796
GOOD LUCK;-70.6444796376811;-33.4216926086956
MARIBEL REINUM CATALAN;-70.623955;-33.5026074999999
SHELL CHILE - BELLAVISTA;-70.63999388497152;-33.43411096033961
EMILIO MAURICIO;-70.57702913;-33.60737205
NUESTROS QUERUBINES;-70.63471979114216;-33.559856360045956
LUIS EVARISTO MARQUEZ LUENGO;-70.56690723250715;-33.5659865142446
JAVI;-70.7023239506173;-33.5292569135802
MINIMARKET ESPERANZA;-70.6768387;-33.42927823
JUAN OMAR PEZZO ZONCO;-70.596580229;-33.526503299
KARINA;-70.6372928;-33.45443709
CAMILA SANTIAGO;-70.6748631295928;-33.4350232069459
EL PAJARO LOCO;-70.56331401960783;-33.47488098039215
SHELL CHILE - STA MARIA;-70.5706820194486;-33.3772342092457
TIO ARTURO CERRILLOS;-70.68860565;-33.48202372
ALMACEN LA PLAZA;-70.7214022256729;-33.4815197825879
VIOLETA LO ESPEJO;-70.68718576;-33.51089325
PANADERIA VILLA MEXICO CE;-70.73012568;-33.50749194
TIO PANCHO;-70.6957373259771;-33.5133131003161
LUIS RAMIREZ RABIE CERRIL;-70.7367877;-33.50997063
BAZAR FREDDY;-70.69752546;-33.4083333
ALMACEN EL PROGRESO RENCA;-70.71849915;-33.40167963
EL MIRADOR CERRILLOS;-70.71914043;-33.50484491
LIBRERIA FERNANDA;-70.74352373;-33.40067198
LAS MARGARITAS RENCA;-70.69846789;-33.3915755
FERMIN RENCA;-70.69486567;-33.39196234
MAITE;-70.6910943585002;-33.4672725883322
E.VON CHRISMAR LA REINA;-70.55857771;-33.43895801
SANTOS SN RAMON;-70.64451891;-33.5389786
BRUNO;-70.6920552399804;-33.5125607829023
EL CID;-70.5799426416924;-33.4735094219254
SANTA IRMA LO ESPEJO;-70.691424;-33.522305
ALEBAR MACUL;-70.59700028;-33.50850691
EL TIO BARNY;-70.73061086878;-33.4904661345363
ROSITA CERRILLOS;-70.73016346;-33.50332886
DONDE EL POLLO;-70.71354405;-33.45166288
ACAR LA GRANJA;-70.615605358283;-33.5431375750495
BOTILLERIA DON PATO;-70.71972763;-33.50447589
VITOCO SN RAMON;-70.63753235;-33.5504811
CARGA BIP HILDELITA;-70.5099382406955;-33.3607451844881
LA ESCALA SUR LO BARNECHE;-70.5010613358586;-33.3593149545454
ALO;-70.6748383333333;-33.5057642424242
CHELITA LO ESPEJO;-70.689943;-33.512967
D Y D LO ESPEJO;-70.6978067310061;-33.5097463521859
MONSERRAT SN RAMON;-70.65304749;-33.55509385
SANTA TERESA LO ESPEJO;-70.6862966873322;-33.5099296891458
MARIA JOSE PEDRO A CERDA;-70.67780421;-33.49244152
DASIA PEDRO A CERDA;-70.67058964;-33.49558001
LOBUSAN;-70.6768374687782;-33.4791432439108
SANTA ANA;-70.6754233736979;-33.5070128867187
LOS CANETES;-70.68373839;-33.50204394
EL CHIMBOTANO;-70.64256167;-33.45031561
EBEN EZER - ESTACION CENTRAL;-70.69576253;-33.47143494
SHELL CHILE - SANTA MARTA;-70.67442406947181;-33.36486257905579
EL RINCONCITO - LA FLORIDA;-70.57696599999997;-33.530418833333314
SR DE MURUHUAY;-70.657049;-33.4259786666667
FRANCESCA;-70.6701361289357;-33.4322847335308
ARAKNIDO;-70.6401961280144;-33.385657436908
LA PIA;-70.6003179945552;-33.4996806663856
EL BAZAR;-70.6697906168755;-33.5034269423971
BIG CHANCE 2;-70.6028219055622;-33.5022500837448
KAVIMAR;-70.6798890526994;-33.5156922253547
LUDIGO;-70.6847420027249;-33.4833246775658
LA KELA;-70.6545587280701;-33.5583858333333
LA ESQUINA - ESTACION CENTRAL;-70.6973116364787;-33.4684923105317
SAGITARIO;-70.5914448362027;-33.4992327608546
LA CHILOTA;-70.6447329569892;-33.3764619892473
LA ESQUINA - LA PINTANA;-70.6239485714285;-33.594908095238
FARM REX LA REINA;-70.5618526751709;-33.4435873741452
COUNTY SIDE SN MIGUEL;-70.65205409;-33.49052416
CALVER . CERRILLOS;-70.68833296;-33.47972286
JACQUELINE VERGARA SN RAM;-70.6345504042565;-33.5388466285391
DAMU 4 LIFE;-70.64957848;-33.4776734
CARLOS BUSTOS-MINIMARKET;-70.70460915;-33.46475484
MULTISERVICIOS LI MACUL;-70.60430147;-33.49065367
AQUILES FUENZALIDA FLORES;-70.59989417;-33.49268128
RAMON PONCE SN JOAQUIN;-70.61419479;-33.50771073
JU-CA PEDRO A CERDA;-70.66512877;-33.48845672
LA ECONOMICA EST CENTRAL;-70.69820526;-33.4635234
LOS LAZOS HUECHURABA;-70.68254153;-33.35966644
VIRGENCITA DE CHAPI;-70.7325966073259;-33.4364753376874
SAN CRISTOBAL;-70.7197512746218;-33.5004462501269
PET SHOP ALININ HUECHURAB;-70.68929044;-33.35844291
MARION LA PINTANA;-70.62533615;-33.55938159
DONA FLOR LO ESPEJO;-70.69995919;-33.52661504
LA SIN ENVIDIA LA PINTANA;-70.65796;-33.582998
MARIYUN SN RAMON;-70.6313476886051;-33.5564300446841
CAROL CLUB LA GRANJA;-70.61636729;-33.53642693
LA QUENITA CERRILLOS;-70.70298458;-33.48670796
ALMACEN DON RENE LO ESPEJ;-70.67900788;-33.51272321
BAZAR VALLE VERDE EST CEN;-70.7230144617819;-33.4621347693076
BOTILLERIA TIMY LA PINTAN;-70.6617413;-33.58277145
CARMELITA EST CENTRAL;-70.6929604688548;-33.4670672309781
SUAREZ CAVIERES ALICIA Y;-70.6484183455555;-33.5119627699206
MINIMARKET 17;-70.67530871;-33.50877862
EL FARO LA REINA;-70.53894105;-33.4560795
3 ORIENTE;-70.6785239430932;-33.4805714128192
PANADERIA LA REINA;-70.63748526;-33.50274853
MARIA LORETO ROJAS LAZO;-70.53349306;-33.44017399
MINIMARKET - LOS CARACOLES;-70.5341847383959;-33.4538920847552
BOTILLERIA NELSON;-70.6230408019735;-33.5234882527091
DON TOMAS;-70.6862847810177;-33.4625680215968
LA ESQUINA - LA PINTANA 2;-70.6539948590764;-33.5782658747352
ALMACEN INFOSER LA GRANJA;-70.630700881804;-33.545014559992
SAN MARCOS MACUL;-70.60932814;-33.47910629
GUILLERMO JAVIER VILLARRO;-70.53475856;-33.45663562
MINIMARKET - LO BARNECHEA;-70.5055541309999;-33.36175946
NANCY SN MIGUEL;-70.64311812;-33.48152362
RITA;-70.654608822757;-33.5849289905
MINIMARKET LUKAS;-70.6403928720042;-33.5209369251694
EL TREBOL - FRANCIA;-70.7201848372481;-33.4798860599245
ALMACEN BERTITA;-70.6207420666666;-33.5104642666666
EL ALVEAR LA PINTANA;-70.64902815;-33.55862679
EL TREBOL;-70.705692;-33.494254
LA TURKITA;-70.6456940072128;-33.547387907917
HERNAN;-70.6464162923635;-33.5324688481977
JUAN PIZARRO PALMA;-70.71269495;-33.44140359
LOS TORITOS LA PINTANA;-70.61889216;-33.58840027
FARM ESPOZ;-70.6339620380874;-33.5415165317525
VICTOR HUGO PEDRO A CERDA;-70.68387275;-33.4920885833333
LEO LO ESPEJO;-70.6900412051075;-33.5516462095838
RICHY;-70.6457822171174;-33.5797579411356
LEIDY SN JOAQUIN;-70.63225286;-33.47786515
LOS BARRABASES LA PINTANA;-70.6554833333333;-33.5781358333333
EL PENALOZA;-70.63386815;-33.57952202
BRISTELA DEL ROSARIO MUNO;-70.61830995;-33.37761422
ASEOLANDIA;-70.6325262438961;-33.5167470491523
CUATRO ESTRELLAS SN JOAQU;-70.63651194;-33.49720728
ALICIA ESMERALDA ESCOBAR;-70.69919253;-33.47454857
RONALD LA GRANJA;-70.628023903003;-33.5325430634221
MAMI MARIA;-70.645689047619;-33.5567188095237
AMASANDERIA ROYAL;-70.72904922;-33.50981657
DIMAR LA PINTANA;-70.655475;-33.58321281
LA CASITA LO ESPEJO;-70.68379353;-33.5071939
TIO LALO LO ESPEJO;-70.69487048;-33.52255153
ROMERO KIOSCO;-70.5771634823551;-33.3968682193765
ANTU;-70.5187632341543;-33.3527634071324
SAN RAFAEL EST CENTRAL;-70.69906968;-33.46559571
AL PASO PUNTO BIP - CLUB HIPICO;-70.66487239;-33.48238516
TORITO;-70.685616;-33.517206
AL PASO PUNTO BIP - CARLOS VALDOVINOS;-70.66495654;-33.4788683
BRAVO INOX SN MIGUEL;-70.644082173913;-33.4968449275362
DONDE EL RUBIO;-70.6228453;-33.56279235
ANGELITO ESTACION CENTRAL;-70.7025844087932;-33.4486374006181
AMARU PEDRO A CERDA;-70.67663601;-33.48565238
MINIMARKET EMY LO PRADO;-70.7122481671285;-33.4479528487659
BAZAR LOS NIETOS LO ESPEJ;-70.68064225;-33.50738589
LA MAMA;-70.6788681880353;-33.4839294399628
RUAN LO ESPEJO;-70.6978080392156;-33.5305242647058
EL FUTURO LA PINTANA;-70.65630123;-33.56100589
JUAN BARRAZA SEPULVEDA;-70.629456;-33.582924
MINIMARKET EXPRESS LA REI;-70.53859945;-33.44756637
SOLEY LO PRADO;-70.7373815972298;-33.4500539557388
PABLO CESAR PEREZ CABRERA;-70.5347948508329;-33.4614893414047
MARIA OVIEDO MACUL;-70.59949373;-33.48505778
EL CLAN DESTINO PAC;-70.6901508783859;-33.5020227411559
CLAUDIO ESPOZ ALVARES - # 6179;-70.72303499;-33.44407684
ERBI - CERRILLOS;-70.7193680457437;-33.5000443202893
FARM ESPOZ EST CENTRAL;-70.73084261;-33.46823941
CLAUDIO ESPOZ ALVARES;-70.73623901;-33.44447615
JAIR;-70.64478574;-33.58283063
FARM ESPOZ EST CENTRAL - BO 6002;-70.7074708164793;-33.4580598939803
NITO LA PINTANA;-70.61275491;-33.55751901
NELLY JEREZ;-70.62673405;-33.50961855
VIVI LA PINTANA;-70.657829691358;-33.5767572530864
FARMASUR;-70.6536547435897;-33.5781
ERBI SN MIGUEL 2;-70.651803647778;-33.4933614087607
ERBI - VITACURA;-70.5457842732738;-33.3757646265784
LA PAPA;-70.6929623;-33.47329351
MINIMARKET 4 M PTE ALTO;-70.6236471992132;-33.4895567592746
