P-121|-|509754|7518087|-22.4434|-68.9052|
P-122|-|509741|7518121|-22.4431|-68.9053|
P-123|-|509611|7518249|-22.442|-68.9066|
P-124|-|509607|7518236|-22.4421|-68.9066|
P-125|-|509440|7518399|-22.4406|-68.9083|
P-126|-|509410|7518444|-22.4402|-68.9085|
P-127|-|509280|7518557|-22.4392|-68.9098|
P-128|-|509218|7518632|-22.4385|-68.9104|
P-129|-|509061|7518795|-22.437|-68.9119|
P-131|-|508906|7518987|-22.4353|-68.9134|
P-132|-|508766|7519046|-22.4348|-68.9148|
P-133|-|508761|7519033|-22.4349|-68.9149|
P-134|-|508558|7519016|-22.435|-68.9168|
P-139|-|507238|7518585|-22.4389|-68.9297|
P-140|-|507450|7518547|-22.4393|-68.9276|
P-141|-|507513|7518312|-22.4414|-68.927|
P-147|-|508259|7517652|-22.4474|-68.9197|
P-148|-|508228|7517538|-22.4484|-68.92|
P-150|-|508196|7517418|-22.4495|-68.9203|
P-151|-|508204|7517516|-22.4486|-68.9203|
P-155|-|508093|7517037|-22.4529|-68.9213|
P-156|-|508051|7516958|-22.4536|-68.9217|
P-157|-|507963|7516907|-22.4541|-68.9226|
P-158|-|507873|7516937|-22.4538|-68.9235|
P-161|-|507738|7516415|-22.4585|-68.9248|
P-162|-|507656|7516367|-22.459|-68.9256|
P-163|-|507366|7516235|-22.4602|-68.9284|
P-164|-|507411|7516050|-22.4618|-68.928|
P-166|-|507482|7515520|-22.4666|-68.9273|
P-169|-|507138|7515118|-22.4703|-68.9306|
P-172|-|507653|7515997|-22.4623|-68.9256|
P-173|-|507629|7516252|-22.46|-68.9258|
P-174|-|507615|7516418|-22.4585|-68.926|
P-175|-|507612|7516506|-22.4577|-68.926|
P-176|-|508171|7518927|-22.4358|-68.9206|
P-177|-|508136|7518662|-22.4382|-68.9209|
P-180|-|506931|7517696|-22.447|-68.9326|
P-181|-|506864|7517339|-22.4502|-68.9333|
P-182|-|506821|7517119|-22.4522|-68.9337|
P-183|-|506896|7516497|-22.4578|-68.933|
P-184|-|507740|7516355|-22.4591|-68.9248|
P-185|-|507746|7516251|-22.46|-68.9247|
P-186|-|507762|7515993|-22.4624|-68.9245|
P-187|-|507708|7515897|-22.4632|-68.9251|
P-189|-|507536|7515044|-22.4709|-68.9267|
P-190|-|507488|7514890|-22.4723|-68.9272|
P-191|-|507333|7514557|-22.4753|-68.9287|
P-192|-|506841|7514573|-22.4752|-68.9335|
P-193|-|506850|7514371|-22.477|-68.9334|
P-194|-|506974|7513956|-22.4808|-68.9322|
P-196|-|507369|7516545|-22.4574|-68.9284|
P-198|-|506827|7516978|-22.4535|-68.9336|
P-199|-|506898|7517433|-22.4494|-68.933|
P-200|-|507161|7518598|-22.4388|-68.9304|
P-206|-|507387|7517641|-22.4475|-68.9282|
P-207|-|507362|7517522|-22.4485|-68.9284|
P-209|-|507298|7517180|-22.4516|-68.9291|
P-210|-|507283|7517096|-22.4524|-68.9292|
P-212|-|507266|7516933|-22.4539|-68.9294|
P-214|-|507266|7516798|-22.4551|-68.9294|
P-216|-|507262|7514114|-22.4793|-68.9294|
P-217|-|507307|7514255|-22.4781|-68.929|
