X,Y,Name,description
-71.5469361317788,-32.991538810224,Marca de posición sin título,
-71.5471723320698,-32.993507960072,Marca de posición sin título,
-71.5473404366709,-32.9934817024684,Marca de posición sin título,
-71.5475812596174,-32.9958062347862,Marca de posición sin título,
-71.5480595133615,-32.997381220634,Marca de posición sin título,
-71.548955628563,-33.0007757747659,Marca de posición sin título,
-71.5491847895476,-33.000826647523,Marca de posición sin título,
-71.5493875387537,-33.0023918715037,Marca de posición sin título,
-71.5501684141663,-33.0045466137209,Marca de posición sin título,
-71.5497151004274,-33.0051367003761,Marca de posición sin título,
-71.5490733790875,-33.0097855138743,Marca de posición sin título,
-71.5488380831617,-33.0099352296298,Marca de posición sin título,
-71.5490642669659,-33.0108350348608,Marca de posición sin título,
-71.5496166287729,-33.0130645208071,Marca de posición sin título,
-71.5498212920572,-33.0145060507233,Marca de posición sin título,
-71.5499517537746,-33.0145129828528,Marca de posición sin título,
-71.5507122425191,-33.0178633249117,Marca de posición sin título,
-71.550482866273,-33.0177749715917,Marca de posición sin título,
-71.5508732101108,-33.0198623497786,Marca de posición sin título,
-71.5515356293514,-33.0219054958241,Marca de posición sin título,
-71.5143886996558,-33.0351431535398,Marca de posición sin título,
-71.5152468038555,-33.0346435822895,Marca de posición sin título,
-71.5161903151616,-33.0363792157179,Marca de posición sin título,
-71.517202994561,-33.0370928533916,Marca de posición sin título,
-71.5202968681815,-33.0381898583084,Marca de posición sin título,
-71.5172929018333,-33.0361483145429,Marca de posición sin título,
-71.5225320615711,-33.0379324686332,Marca de posición sin título,
-71.5224179844512,-33.0377987633168,Marca de posición sin título,
-71.5247296713976,-33.0358403157965,Marca de posición sin título,
-71.5249329498032,-33.0358980513035,Marca de posición sin título,
-71.5265178230263,-33.0346859179644,Marca de posición sin título,
-71.5270967863461,-33.0345803881934,Marca de posición sin título,
-71.5302783367143,-33.032324687844,Marca de posición sin título,
-71.5305747504154,-33.0318522704886,Marca de posición sin título,
-71.5314019678933,-33.031335845678,Marca de posición sin título,
-71.5319762898997,-33.0313676253756,Marca de posición sin título,
-71.5353636389583,-33.0286696662868,Marca de posición sin título,
-71.5357577629023,-33.0286338611937,Marca de posición sin título,
-71.539553126717,-33.0257042476194,Marca de posición sin título,
-71.539213876582,-33.0256720559535,Marca de posición sin título,
-71.5421033984953,-33.0239808637308,Marca de posición sin título,
-71.5430512071754,-33.0237067472745,Marca de posición sin título,
-71.5447654896611,-33.0232477371848,Marca de posición sin título,
-71.5457709488774,-33.023349748576,Marca de posición sin título,
-71.5473390633833,-33.0230419145628,Marca de posición sin título,
