stop_code;stop_name;stop_lat;stop_lon;stop_mode
P-121;-;-22.44343133;-68.90520608;3
P-122;-;-22.44312424;-68.90533263;3
P-123;-;-22.44196862;-68.9065968;3
P-124;-;-22.44208609;-68.9066356;3
P-125;-;-22.44061446;-68.90825953;3
P-126;-;-22.4402081;-68.90855135;3
P-127;-;-22.43918796;-68.90981538;3
P-128;-;-22.43851074;-68.91041834;3
P-129;-;-22.43703902;-68.91194501;3
P-131;-;-22.43530529;-68.91345238;3
P-132;-;-22.43477301;-68.91481321;3
P-133;-;-22.43489048;-68.91486173;3
P-134;-;-22.43504508;-68.91683436;3
P-139;-;-22.43894487;-68.92965999;3
P-140;-;-22.43928725;-68.92759957;3
P-141;-;-22.44140998;-68.92698621;3
P-147;-;-22.44736902;-68.91973292;3
P-148;-;-22.44839906;-68.92003361;3
P-150;-;-22.4494833;-68.92034399;3
P-151;-;-22.44859792;-68.92026674;3
P-155;-;-22.45292576;-68.92134309;3
P-156;-;-22.45363965;-68.92175089;3
P-157;-;-22.4541008;-68.92260593;3
P-158;-;-22.4538302;-68.9234808;3
P-161;-;-22.45854659;-68.92479035;3
P-162;-;-22.45898059;-68.92558712;3
P-163;-;-22.46017436;-68.92840517;3
P-164;-;-22.46184547;-68.92796693;3
P-166;-;-22.4666332;-68.92727433;3
P-169;-;-22.47026636;-68.93061623;3
P-172;-;-22.46232321;-68.92561449;3
P-173;-;-22.46001963;-68.92584899;3
P-174;-;-22.45852004;-68.92598586;3
P-175;-;-22.45772506;-68.92601544;3
P-176;-;-22.43585101;-68.92059472;3
P-177;-;-22.43824521;-68.92093349;3
P-180;-;-22.44697743;-68.93263959;3
P-181;-;-22.45020286;-68.9332892;3
P-182;-;-22.45219052;-68.93370617;3
P-183;-;-22.45780941;-68.93297454;3
P-184;-;-22.45908862;-68.92477062;3
P-185;-;-22.46002814;-68.92471179;3
P-186;-;-22.46235885;-68.92455502;3
P-187;-;-22.46322636;-68.92507942;3
P-189;-;-22.47093317;-68.92674718;3
