mode;code;name;latitude;longitude;services
3;PH666;AvPdte Salvador Allende Esq Santa Anita;-33.51577342;-70.68776324;321
3;PH669;Avenida Haydn Esq Lago Rupanco;-33.51286423;-70.61995764;329-385
3;PH67;Card Raúl Silva H Esq Osa Menor;-33.52199912;-70.6974236;105-120-125-321-329-345-H03-H08-I05
3;PH670;Avenida Haydn Esq Futrono;-33.51053979;-70.62047413;329-385
3;PH671;Avenida Haydn Esq Av Departamental;-33.50817182;-70.62087136;329-385
3;PH672;Av Departamental Esq AvVicuña Mackenna;-33.50816466;-70.61589766;103-117-329-E04-H14
3;PH673;Avenida Haydn Esq Varas Mena;-33.51122416;-70.62055148;329-385
3;PH674;Avenida Lo Ovalle Esq Puqueldón;-33.51501596;-70.62161267;329
3;PH675;Avenida Lo Ovalle Esq Las Marquesas;-33.51717588;-70.62607797;329
3;PH676;AvPdte Salvador Allende Esq Huasco;-33.51778702;-70.6809442;214-329
3;PH68;Gabriela Mistral Esq 9 De Enero;-33.52619808;-70.69964835;105-119-121-125-329-H03-H08-H12
3;PH680;AvPdte Salvador Allende Esq Veracruz;-33.51482951;-70.69018877;321
3;PH681;AvPdte Salvador Allende Esq Avenida Central;-33.51397586;-70.69260525;321
3;PH684;Valparaíso Esq Carlos Dittborn;-33.51132134;-70.67559784;321-H13-I05
3;PH685;Valparaíso Esq Lincoln;-33.51321695;-70.67679709;321-H13-I05
3;PH686;Lincoln Esq Pasaje 55;-33.51215529;-70.67994171;321-H13-I05
3;PH687;Lincoln Esq Inés De Suárez;-33.51130725;-70.68196;321-H13-I05
3;PH688;Inés De Suárez Esq Llay Llay;-33.5136604;-70.68332974;321-329-H13-I05
3;PH690;Lucila Godoy Esq Huasco;-33.51547567;-70.68047961;321-329
3;PH691;Huasco Esq AvPdte SAllende;-33.51735105;-70.68117262;321
3;PH692;Guanajuato Esq México;-33.51980791;-70.68221069;214-321-H13
3;PH693;Guanajuato Esq Pdte A López Mateo;-33.52104477;-70.68277297;214-321-H13
3;PH695;Pdte López Mateos Esq Hermosilla;-33.52275352;-70.67846699;214-321-H13
3;PH696;Av Edo Frei Montalva Esq Hermosilla;-33.52482086;-70.67896993;321
3;PH697;Av Edo Frei Montalva Esq Calamahue;-33.52414277;-70.68175627;321-329-I05
3;PH698;Av Edo Frei Montalva Esq Los Duraznos;-33.5234476;-70.68446687;321-329-I05
3;PH7;Av Departamental Esq Av J J Prieto Vial;-33.50028236;-70.66696747;102-107-108-H05c
3;PH703;Av Edo Frei Montalva Esq 7 Oriente;-33.52154066;-70.69138524;I05
3;PH704;Av Edo Frei Montalva Esq Avenida Central;-33.51958272;-70.69541688;121-H12-I05
3;PH707;Clotario Blest Esq Pdte López Mateos;-33.52012185;-70.68697561;329-I05
3;PH709;Av Edo Frei Montalva Esq Guanajuato;-33.52366243;-70.68392192;321-329-I05
3;PH712;Acapulco Esq Jalisco;-33.52020711;-70.67937602;321
3;PH713;Guadalajara Esq Huasco;-33.51810954;-70.68110117;321
3;PH714;Huasco Esq Lucila Godoy;-33.51586452;-70.680401;321
3;PH715;Lucila Godoy Esq Isabel Riquelme;-33.51477173;-70.68251153;329
3;PH716;Inés De Suárez Esq Pomaire;-33.51316907;-70.68298649;321-329-H13-I05
3;PH717;Inés De Suárez Esq Lincoln;-33.51157333;-70.68228812;321-H13-I05
3;PH718;Lincoln Esq Huasco;-33.51252453;-70.67931367;321-H13-I05
3;PH719;Lincoln Esq Valparaíso;-33.51343855;-70.67708128;321-H13-I05
3;PH72;Avenida Lo Espejo Esq Gabriela Mistral;-33.53294766;-70.70197716;121-H03-H12
3;PH720;Valparaíso Esq Carlos Dittborn;-33.51174333;-70.67573516;321-H13-I05
3;PH721;Valparaíso Esq Avenida Lo Ovalle;-33.50969561;-70.6744469;321-H13-I05
3;PH723;Bombero Ossandón Esq Safo;-33.49754637;-70.68057433;H12
3;PH724;Bombero Ossandón Esq Av Clotario Blest;-33.49757264;-70.67863735;H12
3;PH725;Avenida La Marina Esq Félix Mendelssohn;-33.49174443;-70.67215309;H12
3;PH726;Avenida La Marina Esq Club Hípico ;-33.49294112;-70.66901169;H12
3;PH727;Parada 1 Municipalidad De San Miguel;-33.48711936;-70.65053901;H12-H13
3;PH728;Avenida La Marina Esq Félix Mendelssohn;-33.4917879;-70.671605;H12
3;PH729;Avenida La Marina Esq Av Clotario Blest;-33.49068495;-70.67447905;H12
3;PH73;Gabriela Mistral Esq Pascual Ortega;-33.53152954;-70.70214319;105-125-329-H12
3;PH730;Bombero Ossandón Esq Paseo Grohnert;-33.49748308;-70.68125123;H12
3;PH731;Pdte López Mateos Esq Acapulco;-33.52222762;-70.68000726;214-321-329-H13-I05
3;PH732;Guanajuato Esq Guadalajara;-33.51841997;-70.681484;214-H13
3;PH733;Isabel Riquelme Esq Lucila Godoy;-33.51509351;-70.68272231;H13
3;PH734;Isabel Riquelme Esq AvPdte SAllende;-33.51667862;-70.68353894;H13
3;PH735;Varas Mena Esq Brasilia;-33.51083147;-70.61678696;H14
3;PH736;Varas Mena Esq Avenida Haydn;-33.51154422;-70.61952394;H14
3;PH737;Varas Mena Esq Av Las Industrias;-33.51162025;-70.62473596;H14
3;PH738;La Castrina Esq Latinoamérica;-33.51464229;-70.62809764;H14
3;PH739;La Castrina Esq Juan Planas;-33.51484229;-70.63071755;H14
3;PH74;Gabriela Mistral Esq Pedro Prado;-33.52785621;-70.70039146;105-121-125-329-H12
3;PH740;La Castrina Esq Berlioz;-33.51515434;-70.63372715;H14
3;PH741;Berlioz Esq Varas Mena;-33.51303949;-70.63407496;H14
3;PH742;Parada 6 Paradero 14 Santa Rosa;-33.51301198;-70.63684126;H14
3;PH744;Vargas Buston Esq Chiloé;-33.50927464;-70.64665348;H14
3;PH745;Vargas Buston Esq San Jóse;-33.50860513;-70.6502041;H14
3;PH746;Vargas Buston Esq Gran Avenida;-33.50772913;-70.65435359;H14
3;PH747;Varas Mena Esq C Walker Martínez;-33.5094573;-70.65460179;H14
3;PH748;Varas Mena Esq Miguel Luis Cerda;-33.51035565;-70.65012969;H14
3;PH749;Varas Mena Esq Chiloé;-33.51093343;-70.64737391;H14
3;PH75;Gabriela Mistral Esq 9 De Enero;-33.5266292;-70.69977523;105-121-125-223-329-G09-H08
3;PH751;Varas Mena Esq Juan Planas;-33.51266755;-70.6315057;H14
3;PH752;Varas Mena Esq Pintor Murillo;-33.5124659;-70.62832601;H14
3;PH753;Varas Mena Esq Av Las Industrias;-33.51179167;-70.6254174;H14
3;PH754;Varas Mena Esq Vecinal;-33.51151083;-70.62276379;H14
3;PH755;MDe Toro Y Zambrano Esq Alvarez De Toledo;-33.49179226;-70.63341733;E04
3;PH756;MDe Toro Y Zambrano Esq Embajador Noel;-33.4934233;-70.63351255;E04
3;PH757;MDe Toro Y Zambrano Esq AvPdte SAllende;-33.49533398;-70.63360225;E04
3;PH758;Benozzo Gozzoli Esq Ingeniero Budge;-33.49720256;-70.63004222;E04
3;PH759;Benozzo Gozzoli Esq Ureta Cox;-33.50012784;-70.6297849;E04
3;PH76;Card Raúl Silva H Esq Pegaso;-33.5221082;-70.69736113;105-120-121-125-321-329-345-H03-H06-H12-I05
3;PH760;Benozzo Gozzoli Esq Pirámide;-33.5030444;-70.62950587;E04
3;PH761;Benozzo Gozzoli Esq Av Departamental;-33.50699005;-70.62914922;E04
