stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
PR-69,383,Joaquín Toesca / Consulado,Punto Referencia 69,-18.48639772,-70.28068795,,,0,,,0
PR-67,381,Esteban Ríos / Las Acacias,Punto Referencia 67,-18.47537763,-70.28463211,,,0,,,0
PR-117,513,Abrahan Mediba / Romulo Peña,Punto Referencia 117,-18.48522851,-70.29563184,,,0,,,0
PR-68,382,Gral Réne Shneider / Los Avellanos,Punto Referencia 68,-18.48070241,-70.28007842,,,0,,,0
PR-65,379,Diego Portales / Charles Richet,Punto Referencia 65,-18.47465174,-70.30231117,,,0,,,0
PR-66,380,Diego Portales / Poconchile,Punto Referencia 66,-18.47983656,-70.29751148,,,0,,,0
PR-63,376,Comandante San Martín / Canchas Laucho Soccer,Punto Referencia 63,-18.4858887,-70.32587737,,,0,,,0
PR-113,444,Capitán Avelino Villagran / Alto Palena,Punto Referencia 113,-18.49688925,-70.29404355,,,0,,,0
PR-64,377,Comandante San Martín / Ex-Isla Alacrán,Punto Referencia 64,-18.48197266,-70.32662671,,,0,,,0
PR-112,443,Capitán Avelino Villagran / Cerro Sombrero,Punto Referencia 112,-18.49642267,-70.29364449,,,0,,,0
PR-61,374,Diego Portales / Alejandro Azolas,Punto Referencia 61,-18.4752739,-70.30104962,,,0,,,0
PR-111,440,Iquique / Humberto Luque,Punto Referencia 111,-18.49558282,-70.30187175,,,0,,,0
PR-62,426,Alcalde Oscar Bermar / Bernardino Guerra,Punto Referencia 62,-18.49914292,-70.29664558,,,0,,,0
PR-110,439,Miguel Squella con  Pasaje 6,Punto Referencia 110,-18.49684259,-70.30350627,,,0,,,0
PR-60,373,Tucapel / Quebrada de Acha,Punto Referencia 60,-18.4755038,-70.29108912,,,0,,,0
PR-129,462,Las Acacias / Las Zanahorias,Punto Referencia 129,-18.47471583,-70.28377154,,,0,,,0
PR-56,369,Arturo Gallo / Bernardo O'Higgins,Punto Referencia 56,-18.48021501,-70.31240926,,,0,,,0
PR-128,461,Loa / Los Castaños,Punto Referencia 128,-18.47751127,-70.2854005,,,0,,,0
PR-57,370,Las Brisas / Los Avellanos,Punto Referencia 57,-18.48732312,-70.28382976,,,0,,,0
PR-58,371,Joaquín Toesca / Consulado,Punto Referencia 58,-18.48652471,-70.28063725,,,0,,,0
PR-59,372,Esteban Ríos / Raul Araya,Punto Referencia 59,-18.47395175,-70.2861968,,,0,,,0
PR-125,458,Argentina / Pasaje Doce,Punto Referencia 125,-18.47157712,-70.30255071,,,0,,,0
PR-52,365,Capitán Ávalos / Raulí,Punto Referencia 52,-18.48132631,-70.2839294,,,0,,,0
PR-124,457,Gonzalo Cerda / Argentina,Punto Referencia 124,-18.47015643,-70.30077952,,,0,,,0
PR-53,366,Joaquín Aracena / Las Acacias,Punto Referencia 53,-18.47950186,-70.28770758,,,0,,,0
PR-127,460,Barros Luco / Los Olmos,Punto Referencia 127,-18.47964366,-70.28113405,,,0,,,0
PR-54,367,Tucapel / Pachama,Punto Referencia 54,-18.47934087,-70.29445733,,,0,,,0
PR-55,368,José Victorino Lastarría / Lautaro,Punto Referencia 55,-18.48024353,-70.3076779,,,0,,,0
PR-120,453,Canteras / Penco,Punto Referencia 120,-18.46105565,-70.28182725,,,0,,,0
PR-123,456,Gonzalo Cerda / Barros Arana,Punto Referencia 123,-18.47154083,-70.29900287,,,0,,,0
PR-50,3,Cancha Rayada / TalTal,Punto Referencia 50,-18.4310502,-70.29293989,,,0,,,0
PR-49,2,Cancha Rayada / Caldera,Punto Referencia 49,-18.43140673,-70.29297504,,,0,,,0
PR-43,213,El Roble / La Concepción,Punto Referencia 43,-18.44051941,-70.29363735,,,0,,,0
PR-42,192,El Roble / Treguaco,Punto Referencia 42,-18.44200177,-70.29407881,,,0,,,0
PR-47,216,Francisco Urzua / Mejillones,Punto Referencia 47,-18.43211544,-70.29021625,,,0,,,0
PR-45,194,Cancha Rayada / Villarrica,Punto Referencia 45,-18.43461741,-70.29160699,,,0,,,0
PR-46,198,Cancha Rayada / Temuco,Punto Referencia 46,-18.43407093,-70.29197577,,,0,,,0
T-L2,544,Tambo Quemado / Terminal Empresa Transportes Línea Dos Sociedad Anónima,Terminal,-18.50340933,-70.28133824,,,0,,,0
PR-39,199,Los Artesanos / Robinson Rojas,Punto Referencia 39,-18.45062262,-70.29045759,,,0,,,0
PR-30,33,Joaquin Toesca / Las Torres,Punto Referencia 30,-18.48357752,-70.2796804,,,0,,,0
PR-102,418,Gonzalo Cerda / Alejandor Azola,Punto Referencia 102,-18.47249987,-70.29767429,,,0,,,0
PR-105,433,Iquique / Humberto Luque,Punto Referencia 105,-18.49544917,-70.30172681,,,0,,,0
PR-32,219,Manuel Bulnes / Flor del Inca,Punto Referencia 32,-18.4724606,-70.28457288,,,0,,,0
PR-33,534,18 de Septiembre / Francisco Antonio Encina,Punto Referencia 33,-18.48859537,-70.29232962,,,0,,,0
PR-104,446,Chapiquiña / Sakamar,Punto Referencia 104,-18.47423616,-70.29415784,,,0,,,0
PR-107,435,Senador Luis Valente Rossi  / San Antonio,Punto Referencia 107,-18.48724228,-70.30614384,,,0,,,0
PR-34,27,Renato Roca / Chapiquiña,Punto Referencia 34,-18.46703043,-70.28765087,,,0,,,0
PR-106,434,Senador Luis Valente Rossi / José Manuel Borgoño,Punto Referencia 106,-18.489342,-70.30376039,,,0,,,0
PR-35,207,Antártica / Linderos,Punto Referencia 35,-18.45261291,-70.28426424,,,0,,,0
PR-109,438,Senador Luis Valente Rossi / San Antonio,Punto Referencia 109,-18.48711152,-70.30648285,,,0,,,0
PR-36,35,Antártica / Linderos,Punto Referencia 36,-18.45249906,-70.28434753,,,0,,,0
PR-108,436,Senador Luis Valente Rossi / Huasco (detrás del Hospital Juan Noé),Punto Referencia 108,-18.48343162,-70.31285138,,,0,,,0
