stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
95354,,S-40/ km 3,,-38.76174557,-72.69151912,,,0,,,0
95352,,1 Norte / 1 Oriente - Norte,,-38.76599473,-72.75284829,,,0,,,0
95350,,S - 30 / Las Taguas - Sur,,-38.76715583,-72.7617087,,,0,,,0
95360,,Manuel Recabarren / Marga Marga - Norte,,-38.75468594,-72.63348863,,,0,,,0
95361,,Manuel Recabarren / Isla Baleares - Norte,,-38.75494156,-72.63582664,,,0,,,0
95362,,Manuel Recabarren / Carlos Darwin - Norte,,-38.75630359,-72.64042518,,,0,,,0
95363,,Manuel Recabarren / Tomas Alba Edison - Norte,,-38.75651481,-72.64268344,,,0,,,0
95364,,Manuel Recabarren / Cerro Colorado - Norte,,-38.75666376,-72.64505885,,,0,,,0
95365,,Manuel Recabarren / Martin Lutero - Norte,,-38.75678353,-72.64754801,,,0,,,0
95366,,Manuel Recabarren / Cerro Colorado - Sur,,-38.75701729,-72.6450939,,,0,,,0
95367,,Manuel Recabarren / Guillermo Marconi - Norte,,-38.75692443,-72.64974326,,,0,,,0
95368,,Manuel Recabarren / San Gabriel - Norte,,-38.75709565,-72.65207409,,,0,,,0
95369,,Manuel Recabarren / Miguel Faraday - Norte,,-38.7572202,-72.65442355,,,0,,,0
95372,,Manuel Recabarren / Miguel Faraday - Sur,,-38.75766019,-72.65439073,,,0,,,0
95373,,S-40/ Reconectador,,-38.76169829,-72.72899754,,,0,,,0
95370,,Manuel Recabarren / Guillermo Marconi - Sur,,-38.75744937,-72.65070316,,,0,,,0
95371,,Manuel Recabarren / San Gabriel - Sur,,-38.75753781,-72.65270405,,,0,,,0
95376,,Condominio Apumanque,,-38.76453527,-72.7359308,,,0,,,0
95377,,Condominio Apumanque,,-38.76456608,-72.73665024,,,0,,,0
95374,,S-40/ Reconectador,,-38.76192515,-72.72874706,,,0,,,0
95375,,"S-40/ km 6,7",,-38.76450293,-72.73303018,,,0,,,0
95378,,Universidad Diego Portales,,-38.76499898,-72.74093947,,,0,,,0
95379,,1 Norte / 5 Oriente - Norte,,-38.76496029,-72.74819959,,,0,,,0
95108,,Gabriela Mistral / Pedro De Valdivia,,-38.72838397,-72.61105729,,,0,,,0
95107,,Regidor Francisco Poblete / Pto Montt,,-38.7238019,-72.60875786,,,0,,,0
95109,,Regidor Francisco Poblete / Frutillar - Sur,,-38.72275928,-72.61010085,,,0,,,0
95104,,Hochstetter / Argentina,,-38.72724573,-72.60934038,,,0,,,0
95103,,Regidor Francisco Poblete / Vista Hermosa - Sur,,-38.72803209,-72.60790786,,,0,,,0
95106,,Regidor Francisco Poblete / Antihue - Sur,,-38.72543634,-72.60666885,,,0,,,0
95105,,Hochstetter / Quirihue,,-38.72628362,-72.60767529,,,0,,,0
95100,,Prieto Norte / Los Cerezos,,-38.729452,-72.59921068,,,0,,,0
95380,,4 Oriente / 2 Norte - Oriente,,-38.7640055,-72.74971974,,,0,,,0
95102,,Supermercado Lider,,-38.7289728,-72.59951015,,,0,,,0
95101,,Regidor Francisco Poblete / Paillaco - Sur,,-38.72793288,-72.60542563,,,0,,,0
95385,,Los Raulies / 1 Oriente - Norte,,-38.76298852,-72.75398832,,,0,,,0
95386,,Los Raulies / Los Alerces - Norte,,-38.76309717,-72.75604278,,,0,,,0
95387,,Los Avellanos / Las Begonias - Poniente,,-38.76375487,-72.75780557,,,0,,,0
95388,,El Bosque / Gorbea - Sur,,-38.76099668,-72.75132686,,,0,,,0
95381,,4 Oriente - Oriente,,-38.76249882,-72.74970317,,,0,,,0
95382,,El Bosque / Los Alamos - Sur,,-38.76074101,-72.74677063,,,0,,,0
95383,,El Bosque - Sur / a los Ulmos,,-38.76083945,-72.74908423,,,0,,,0
95384,,El Bosque / Gorbea - Norte,,-38.76086488,-72.7513285,,,0,,,0
95389,,Los Raulies / 1 Oriente - Sur,,-38.76314817,-72.75375059,,,0,,,0
