service_id,date,exception_type
9806,20160325,2
9808,20160325,1
9983,20160325,1
9806,20160627,2
9808,20160627,1
9983,20160627,1
9806,20160815,2
9808,20160815,1
9983,20160815,1
9806,20160919,2
9808,20160919,1
9983,20160919,1
9806,20161010,2
9808,20161010,1
9983,20161010,1
9806,20161031,2
9808,20161031,1
9983,20161031,1
9806,20161101,2
9808,20161101,1
9983,20161101,1
9806,20161208,2
9808,20161208,1
9983,20161208,1
