route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
89328,9806,244704S9806P1,Vista Verde,,0,,244704
89328,9806,244704S9806P2,Vista Verde,,0,,244704
89328,9806,244704S9806P3,Vista Verde,,0,,244704
89328,9806,244704S9806P4,Vista Verde,,0,,244704
89328,9806,244704S9806P5,Vista Verde,,0,,244704
89328,9806,244704S9806P6,Vista Verde,,0,,244704
89328,9806,244704S9806P7,Vista Verde,,0,,244704
89328,9806,244704S9806P8,Vista Verde,,0,,244704
89328,9806,244704S9806P9,Vista Verde,,0,,244704
89328,9806,244704S9806P10,Vista Verde,,0,,244704
89328,9806,244704S9806P11,Vista Verde,,0,,244704
89328,9806,244704S9806P12,Vista Verde,,0,,244704
89328,9806,244704S9806P13,Vista Verde,,0,,244704
89328,9806,244704S9806P14,Vista Verde,,0,,244704
89328,9806,244704S9806P15,Vista Verde,,0,,244704
89328,9806,244704S9806P16,Vista Verde,,0,,244704
89328,9806,244704S9806P17,Vista Verde,,0,,244704
89328,9806,244704S9806P18,Vista Verde,,0,,244704
89328,9806,244704S9806P19,Vista Verde,,0,,244704
89328,9806,244704S9806P20,Vista Verde,,0,,244704
89328,9806,244704S9806P21,Vista Verde,,0,,244704
89328,9806,244704S9806P22,Vista Verde,,0,,244704
89328,9806,244704S9806P23,Vista Verde,,0,,244704
89328,9806,244704S9806P24,Vista Verde,,0,,244704
89328,9806,244704S9806P25,Vista Verde,,0,,244704
89328,9806,244704S9806P26,Vista Verde,,0,,244704
89328,9806,244704S9806P27,Vista Verde,,0,,244704
89328,9806,244704S9806P28,Vista Verde,,0,,244704
89328,9806,244704S9806P29,Vista Verde,,0,,244704
89328,9806,244704S9806P30,Vista Verde,,0,,244704
89328,9806,244704S9806P31,Vista Verde,,0,,244704
89328,9806,244704S9806P32,Vista Verde,,0,,244704
89328,9806,244704S9806P33,Vista Verde,,0,,244704
89328,9806,244704S9806P34,Vista Verde,,0,,244704
89328,9806,244704S9806P35,Vista Verde,,0,,244704
89328,9806,244704S9806P36,Vista Verde,,0,,244704
89328,9806,244704S9806P37,Vista Verde,,0,,244704
89328,9806,244704S9806P38,Vista Verde,,0,,244704
89328,9806,244704S9806P39,Vista Verde,,0,,244704
89328,9806,244704S9806P40,Vista Verde,,0,,244704
89328,9806,244704S9806P41,Vista Verde,,0,,244704
89328,9806,244704S9806P42,Vista Verde,,0,,244704
89328,9806,244704S9806P43,Vista Verde,,0,,244704
89328,9806,244704S9806P44,Vista Verde,,0,,244704
89328,9806,244704S9806P45,Vista Verde,,0,,244704
89328,9806,244704S9806P46,Vista Verde,,0,,244704
89328,9806,244704S9806P47,Vista Verde,,0,,244704
89328,9806,244704S9806P48,Vista Verde,,0,,244704
89328,9806,244704S9806P49,Vista Verde,,0,,244704
89328,9806,244704S9806P50,Vista Verde,,0,,244704
89328,9806,244704S9806P51,Vista Verde,,0,,244704
89328,9806,244704S9806P52,Vista Verde,,0,,244704
89328,9806,244704S9806P53,Vista Verde,,0,,244704
89328,9806,244704S9806P54,Vista Verde,,0,,244704
89328,9806,244704S9806P55,Vista Verde,,0,,244704
89328,9806,244704S9806P56,Vista Verde,,0,,244704
89328,9806,244704S9806P57,Vista Verde,,0,,244704
89328,9806,244704S9806P58,Vista Verde,,0,,244704
89328,9806,244704S9806P59,Vista Verde,,0,,244704
89328,9806,244704S9806P60,Vista Verde,,0,,244704
89328,9806,244704S9806P61,Vista Verde,,0,,244704
89328,9806,244704S9806P62,Vista Verde,,0,,244704
89328,9806,244704S9806P63,Vista Verde,,0,,244704
89328,9806,244704S9806P64,Vista Verde,,0,,244704
89328,9806,244704S9806P65,Vista Verde,,0,,244704
89328,9806,244704S9806P66,Vista Verde,,0,,244704
89328,9806,244704S9806P67,Vista Verde,,0,,244704
89328,9806,244704S9806P68,Vista Verde,,0,,244704
89328,9806,244704S9806P69,Vista Verde,,0,,244704
89328,9806,244704S9806P70,Vista Verde,,0,,244704
89328,9806,244704S9806P71,Vista Verde,,0,,244704
89328,9806,244704S9806P72,Vista Verde,,0,,244704
89328,9806,244704S9806P73,Vista Verde,,0,,244704
89328,9806,244704S9806P74,Vista Verde,,0,,244704
89328,9806,244704S9806P75,Vista Verde,,0,,244704
89328,9806,244704S9806P76,Vista Verde,,0,,244704
89328,9806,244704S9806P77,Vista Verde,,0,,244704
89328,9806,244704S9806P78,Vista Verde,,0,,244704
89328,9806,244704S9806P79,Vista Verde,,0,,244704
89328,9806,244704S9806P80,Vista Verde,,0,,244704
89328,9806,244704S9806P81,Vista Verde,,0,,244704
89328,9806,244704S9806P82,Vista Verde,,0,,244704
89328,9806,244704S9806P83,Vista Verde,,0,,244704
89328,9806,244704S9806P84,Vista Verde,,0,,244704
89328,9806,244704S9806P85,Vista Verde,,0,,244704
89328,9806,244704S9806P86,Vista Verde,,0,,244704
89328,9806,244704S9806P87,Vista Verde,,0,,244704
89328,9806,244704S9806P88,Vista Verde,,0,,244704
89328,9806,244704S9806P89,Vista Verde,,0,,244704
89328,9806,244704S9806P90,Vista Verde,,0,,244704
89328,9806,244704S9806P91,Vista Verde,,0,,244704
89328,9806,244704S9806P92,Vista Verde,,0,,244704
89328,9806,244704S9806P93,Vista Verde,,0,,244704
89328,9806,244704S9806P94,Vista Verde,,0,,244704
89328,9806,244704S9806P95,Vista Verde,,0,,244704
89328,9806,244704S9806P96,Vista Verde,,0,,244704
89328,9806,244704S9806P97,Vista Verde,,0,,244704
89328,9806,244704S9806P98,Vista Verde,,0,,244704
89328,9806,244704S9806P99,Vista Verde,,0,,244704
89328,9806,244704S9806P100,Vista Verde,,0,,244704
89328,9806,244704S9806P101,Vista Verde,,0,,244704
89328,9806,244704S9806P102,Vista Verde,,0,,244704
89328,9806,244704S9806P103,Vista Verde,,0,,244704
89328,9806,244704S9806P104,Vista Verde,,0,,244704
89328,9806,244704S9806P105,Vista Verde,,0,,244704
89328,9806,244704S9806P106,Vista Verde,,0,,244704
89328,9806,244704S9806P107,Vista Verde,,0,,244704
89328,9806,244704S9806P108,Vista Verde,,0,,244704
89328,9806,244704S9806P109,Vista Verde,,0,,244704
89328,9806,244704S9806P110,Vista Verde,,0,,244704
89328,9806,244704S9806P111,Vista Verde,,0,,244704
89328,9806,244704S9806P112,Vista Verde,,0,,244704
89328,9806,244704S9806P113,Vista Verde,,0,,244704
89328,9806,244704S9806P114,Vista Verde,,0,,244704
89328,9806,244704S9806P115,Vista Verde,,0,,244704
89328,9806,244704S9806P116,Vista Verde,,0,,244704
89328,9806,244704S9806P117,Vista Verde,,0,,244704
89328,9806,244704S9806P118,Vista Verde,,0,,244704
89328,9806,244704S9806P119,Vista Verde,,0,,244704
89328,9806,244704S9806P120,Vista Verde,,0,,244704
89328,9806,244704S9806P121,Vista Verde,,0,,244704
89328,9806,244704S9806P122,Vista Verde,,0,,244704
89328,9806,244704S9806P123,Vista Verde,,0,,244704
89328,9806,244704S9806P124,Vista Verde,,0,,244704
89328,9806,244704S9806P125,Vista Verde,,0,,244704
89328,9806,244704S9806P126,Vista Verde,,0,,244704
89328,9806,244704S9806P127,Vista Verde,,0,,244704
89328,9806,244704S9806P128,Vista Verde,,0,,244704
