iLat;iLon;stops;services;route_segments;puntos
10;8;P-271;AC_R|A_R|B_I|B_R|C_R|D_I|D_R|E_I|F_R|M_I|M_R|T_I|T_R|X_R|Z_R;13-14|9-10|19-20|5|31|14-15|1|17-18|12-13|23-24|9|33|8-9|24|0;
10;9;N-220|P-172|P-186|P-187|PR-171|PR-237;B_I|B_R|C_I|C_R|D_I|D_R|M_R|T_I|X_I|X_R|ZY1_I|Z_I|Z_R;18-19|5|30-32-33|26-27-31|13-14|1|9|33|14|24|17|34|0;
10;10;N-224|N-227|P-314;AC_I|AC_R|C_I|C_R;41-42|7-8|33-34-35|24-25-26;
10;11;N-245|N-250;AC_I|AC_R|C_I|C_R;42-43|6-7|35-36-37|22-23-24;
10;12;;AC_I|AC_R|C_I|C_R;44-45|4-5|38-39|20-21;
10;13;N-267|N-270|N-272;AC_I|AC_R|C_I|C_R;45-46-47|2-3-4|39-40-41|18-19-20;
10;14;N-276|N-277;AC_I|AC_R|C_I|C_R;47-48|1-2|41-42-43|17-18;
10;15;N-283|P-300;AC_I|AC_R|C_I|C_R;48-49-50|0-1|43-44|16-17;
11;2;N-20;AC_I|AC_R|AY1_I|AY1_R|A_I|A_R|FY1_I|FY1_R|F_I|F_R;29|21|5|1|29|17|4|5|13|20;
11;4;P-263|P-274;T_I|T_R;22|17;
11;5;;E_R;5-6;
11;6;P-229;E_R|FY1_I|F_I;6|10-11|19-20;
11;7;N-153|P-230;AC_I|AY1_I|A_I|C_I|C_R|E_R|FY1_I|F_I;35-36|11-12|35-36|28-29|32-33|6|11|20;
11;8;N-181|P-163|P-164|P-173|P-231;AC_I|AC_R|AY1_I|A_I|A_R|B_R|C_I|C_R|D_R|E_I|E_R|FY1_I|F_I|F_R|M_I|M_R|T_I|T_R|X_R|Z_R;36|12-13|12|36|8-9|5|29|31-32|1|16-17|6-7|11-12|20-21|11-12|22-23|9|33-34|7-8|24|0;
