service;long_name;color
80;Barrio Industrial - Caspana;#d7282f
81;Barrio Industrial - Parque El Loa;#d7282f
82;Barrio Industrial - Las Vegas;#4c9c2e
83;Barrio Industrial - Caspana;#e50695
84;Barrio Industrial - El Peuco;#001689
85;Huayquitina - Almirante Grau;#0047ba
86;Huayquitina - Población Manuel Rodriguez;#d7282f
87;Huayquitina - Cementerio;#73308a
89;Huayquitina - El Peuco;#73308a
90;Huayquitina - Kamac Mayu;#f7be00
92;Huayquitina - El Manzano;#231f20
