paradas;servicios
N-1;Z_I
N-10;F_I
N-100;Z_R
N-101;B_R|C_R
N-102;F_I
N-103;T_I
N-104;AC_R|A_R|F_R
N-105;B_R
N-106;AC_R|A_R
N-107;AC_I|A_I|C_I
N-108;T_R
N-109;AC_I|A_I
N-11;AC_R|A_R
N-110;AC_I|A_I|C_I
N-111;T_R
N-112;Z_I
N-113;T_I
N-114;B_I
N-115;B_R
N-116;T_I
N-117;B_R|E_R|M_R
N-118;AC_R|A_R|C_R
N-119;B_I
N-12;F_R
N-120;C_I
N-121;B_R
N-122;C_R
N-123;M_I
N-124;M_R
N-125;Z_R
N-126;B_R
N-127;B_R
N-128;M_R
N-129;B_R
N-13;AC_R|A_R
N-130;AC_I|A_I|F_I
N-131;M_I
N-132;Z_R
N-133;Z_I
N-134;T_I
N-135;AC_I|A_I
N-136;E_I
N-137;F_R
N-138;Z_R
N-139;AC_R|A_R|F_R|T_R
N-14;Z_I
N-140;M_R
N-141;AC_I|A_I|C_I|T_I|Z_I
N-142;T_R|Z_I
N-143;F_I|Z_R
N-144;B_I|T_R|Z_R
N-145;T_R
N-147;M_R
N-148;AC_R|A_R|C_R|T_R|Z_R
N-149;M_I
N-15;T_I
N-150;T_R|Z_R
N-151;C_I
N-152;Z_I
N-153;C_R
N-154;M_R
N-155;D_I|Z_I
N-156;T_R
N-157;T_I
N-158;D_R|Z_R
N-159;M_I
N-16;AC_I|A_I|F_I
N-160;AC_R|A_R|Z_R
N-161;F_R|Z_I
N-162;C_R
N-163;T_I
N-165;D_I
N-166;AC_I|A_I|C_I|M_I|T_I|Z_I
N-167;F_R|T_R
N-168;T_R
N-169;B_R
N-17;Z_R
N-170;AC_I|A_I|F_I|T_I
N-171;C_I|T_I
N-172;AC_R|A_R|C_R|M_R|T_R|Z_R
N-173;AC_I|A_I|M_I|Z_I
N-174;F_R
N-175;M_R
N-176;B_I|D_I|Z_I
N-177;F_R
N-178;M_R
N-179;D_R|M_R
N-18;F_R
N-180;AC_R|A_R|Z_R
N-181;C_R|F_R|T_R
N-182;X_R
N-183;E_I|M_I
N-184;F_R
N-185;B_R|D_R
N-186;F_R
N-187;E_R|F_I|M_R|X_R
N-189;B_R|D_R|X_R
N-19;F_I
N-190;M_R
N-191;A_R|C_R|T_R|Z_R
N-192;T_I
N-193;F_R
N-194;AC_I|A_I|E_I|F_R|M_I|Z_I
N-195;X_I
N-196;Z_R
N-197;M_I
N-198;AC_I|A_I
N-199;E_I
N-2;Z_R
N-20;F_R
N-200;C_R
N-201;X_R
N-202;Z_I
N-203;X_I
N-204;X_I
N-205;E_R
N-206;X_R
N-207;E_I
N-208;AC_R|A_R|M_R
N-209;E_R
N-21;AC_R|A_R|T_R
N-210;E_I
N-211;X_I
N-212;Z_I
N-213;E_R
N-214;E_I
N-215;D_I|E_I
N-216;C_R
N-217;D_R|E_R
N-218;C_R
N-219;AC_R|A_R|E_R|F_I|X_R|Z_R
N-22;F_R
N-220;C_R
N-221;E_R
N-222;B_R
N-223;X_I|Z_R
N-224;C_I
N-226;D_I|E_I|M_I
N-227;AC_I
N-229;AC_I
N-230;B_I
N-231;AC_R|A_R|M_R
N-232;X_R
N-233;AC_R
N-234;E_I
N-235;AC_I|A_I
N-236;X_R
N-237;E_R|M_R
N-238;B_R
N-239;AC_I|A_I|M_I
N-24;Z_R
N-240;X_I
N-241;X_R|Z_R
N-242;X_I|Z_I
N-243;F_R|X_I|Z_I
N-244;X_R
N-245;AC_I|C_I
N-246;B_I|D_I|E_I|M_I|X_I
N-247;F_R
N-248;T_R
N-249;T_I
N-25;F_R
N-250;AC_R|C_R
N-251;A_R
N-252;F_R
N-253;F_I
N-254;A_I
N-255;A_R
N-256;A_R
N-257;AC_R
N-258;C_R
N-259;F_R
N-26;T_R|Z_I
N-260;F_I
N-261;AC_I|C_I
N-263;A_I
N-264;T_I
N-265;T_R
N-266;C_I
N-267;AC_R|C_R
N-268;T_I
N-269;A_I
N-27;Z_I
N-270;AC_I|C_I
N-271;C_R
N-272;AC_R|C_R
N-273;C_R|X_I
N-274;T_R
N-275;T_I
N-276;AC_I
N-277;C_I
N-278;C_I
N-279;C_R|X_I
N-28;AC_I|A_I|T_I
N-280;T_R
N-281;T_I
N-282;C_R|X_I
N-283;AC_I
N-284;T_I
N-285;C_I
N-286;C_R
N-287;C_I
N-288;C_R
N-289;C_I
N-29;Z_R
N-290;C_R
N-291;B_I|D_I|E_I|M_I|X_I
N-292;B_R|D_R|E_R|M_R|X_R
N-293;B_I|D_I|E_I|M_I|X_I
N-294;B_R|D_R|E_R|M_R|X_R
N-295;B_I|D_I|E_I|M_I|X_I
N-296;B_R|D_R|E_R|M_R|X_R
N-297;B_I|D_I|E_I|M_I|X_I
N-298;B_R|D_R|E_R|M_R|X_R
N-299;B_I|D_I|E_I|M_I|X_I
N-3;Z_I
