113e;Ciudad Satelite;Lunes a Viernes;17:33;21:24
114;Mall Plaza Tobalaba;Domingo y Festivos;05:30;20:59
114;Mall Plaza Tobalaba;Lunes a Viernes;05:30;21:21
114;Mall Plaza Tobalaba;Sábado;05:30;20:15
114;Providencia;Lunes a Viernes;05:39;21:29
114;Providencia;Sábado;05:30;20:29
114;Providencia;Domingo y Festivos;05:33;20:59
115;(M) La Moneda;Lunes a Viernes;05:30;23:45
115;(M) La Moneda;Sábado;05:30;23:45
115;(M) La Moneda;Domingo y Festivos;05:30;23:30
115;Villa El Abrazo;Lunes a Viernes;06:30;00:30
115;Villa El Abrazo;Domingo y Festivos;06:15;23:40
115;Villa El Abrazo;Sábado;06:36;23:45
116;Santiago Centro;Lunes a Viernes;05:30;23:45
116;Santiago Centro;Sábado;05:30;23:30
116;Santiago Centro;Domingo y Festivos;06:00;23:40
116;Huechuraba;Domingo y Festivos;06:24;23:40
116;Huechuraba;Sábado;05:30;23:30
116;Huechuraba;Lunes a Viernes;05:30;23:45
117;San Joaquin;Lunes a Viernes;05:30;23:40
117;San Joaquin;Domingo y Festivos;06:50;22:50
117;San Joaquin;Sábado;06:30;22:52
117;(M) Vespucio Norte;Lunes a Viernes;05:30;23:40
117;(M) Vespucio Norte;Domingo y Festivos;07:50;22:50
117;(M) Vespucio Norte;Sábado;06:30;22:52
117c;Providencia;Lunes a Viernes;05:39;09:07
117c;Providencia;Lunes a Viernes;17:30;21:10
117c;Huechuraba;Lunes a Viernes;05:30;09:08
117c;Huechuraba;Lunes a Viernes;17:30;21:10
118;Mall Plaza Vespucio;Sábado;05:30;23:45
118;Mall Plaza Vespucio;Lunes a Viernes;05:30;23:45
118;Mall Plaza Vespucio;Domingo y Festivos;05:30;23:30
118;Maipu;Lunes a Viernes;05:30;23:45
118;Maipu;Sábado;05:30;23:45
118;Maipu;Domingo y Festivos;05:30;23:30
119;Lo Espejo;Domingo y Festivos;00:00;23:59
119;Lo Espejo;Sábado;00:00;23:59
