iLat;iLon;stops;services;route_segments;puntos
0;9;PR-240/PR-257;X_I/X_R;29-30/10-11;
0;10;PR-241;C_I/C_R/X_I/X_R;62-63-64-65/0/30-31-32-33/7-8-9-10;
1;8;;X_I/X_R;29/11;
1;9;;X_I/X_R;29/11;
1;10;P-256/PR-242;C_I/C_R/X_I/X_R;61-62/0-1-2/33-34/6-7;
1;11;P-255;C_I/C_R/X_I/X_R;61/2/34-35/6;
2;7;;X_I/X_R;29/11;
2;8;;X_I/X_R;29/11;
2;11;P-254/PR-243;C_I/C_R/X_I/X_R;60-61/2-3/35-36/5-6;
2;12;P-244/P-252/P-253/PR-245;C_I/C_R/X_I/X_R;59-60/3-4/36-37/4-5;
3;6;;B_I/B_R/E_I/E_R/M_R;28-29/0-1/27-28-29/0-1-2/0-1;
3;7;;X_I/X_R;27-28-29/11-12;
3;12;P-251;C_I/C_R/X_I/X_R;59/4/37/4;
3;13;P-250/PR-246;C_I/C_R/X_I/X_R;57-58-59/4-5-6/37-38-39-40/2-3-4;
4;5;;E_I/E_R;27/2;
4;6;P-194/P-226;B_I/B_R/E_I/E_R/M_I/M_R;28-29/0-1/27-29/0-2/31-32/1-2;
4;7;P-216/PR-215;B_I/B_R/D_I/D_R/E_I/E_R/M_I/M_R/X_I/X_R;29-30/0/20-21/0/29-30/0/29-30-31/2/27/12-13;
4;13;P-299/PR-247;C_I/C_R/X_I/X_R;56-57/6-7/40-41/1-2;
4;14;P-249;C_I/C_R/X_I/X_R;56/7/41-44-45/0-1;
4;15;;X_I/X_R;44/0;
5;5;P-227;E_I/E_R;27/2;
5;6;P-193;B_I/B_R;28/1;
5;7;P-217;D_I/D_R/M_I/M_R/X_I/X_R;20/0/29/2-3/26-27/13;
5;8;P-238/P-239;D_I/D_R/X_I/X_R;20/0/22-23-26/13-14;
5;9;;X_I/X_R;23-24-25-26/14-15-16-17;
5;14;;C_I/C_R/X_I;56/7/41;
5;15;;C_I/C_R/X_I;51-52-53-54-55-56/7-8-9-10-11-12/41-42-43-44;
5;16;;C_I/C_R;51/12;
6;5;P-225;E_I/E_R;27/2;
6;6;P-192;B_I/B_R;27-28/1-2-3;
6;7;P-191;B_I/B_R/M_I/M_R;27/3/29/3-4;
6;8;PR-218;B_I/B_R/D_I/D_R/X_I/X_R;26-27/3-4/20/0/20-21-22/19-20;
6;9;;X_I/X_R;19-20/17-18-19;
6;16;;C_I/C_R;50-51/12-13;
6;17;;C_I/C_R;49-50/13-14;
7;4;;E_I/E_R;27/2;
7;5;P-228;E_I/E_R;27/2;
7;6;;M_I;28-29;
7;7;P-169/PR-168;M_I/M_R;27-28-29/4-5-6-7;
7;8;P-189/P-190/PR-188/PR-195;B_I/B_R/D_I/D_R/X_R;26/4/20/0/20-21;
7;9;;X_I;19;
7;17;;C_I/C_R;48-49/14;
8;4;;E_I/E_R/T_I/T_R;26-27/2-3/23-24/10-11;
8;5;;E_I/E_R/T_I/T_R;25-26/3-4/24-25-26/10;
8;7;;M_I/M_R;26-27/7-8;
8;8;PR-167;B_I/B_R/C_R/D_I/D_R/M_I/M_R/X_R;24-25-26/4/31-32/17-18-19-20/0/25-26/8-9/21;
8;9;;B_R/C_R/D_R/M_R/X_I/X_R/Z_I;4/30-31-32/0/9-10/16-17-18-19/21/32-33;
8;17;;C_I/C_R;47-48/14-15-16;
9;4;P-266/P-273;T_I/T_R;22-23/11-12;
9;5;;A_I/A_R/E_I/E_R/T_I/T_R;33-34/14-15/25/4/24-25-26/8-9-10;
9;6;;A_I/A_R/T_I/T_R;34-35-36/12-13-14/26/8;
9;7;;A_I/A_R/T_I/T_R;36-37/11-12/26-27/7-8;
9;8;P-166/PR-165;B_I/D_I/M_I;23-24/16-17/24-25;
9;9;PR-170;B_R/C_I/C_R/D_R/M_R/X_I/X_R/Z_I/Z_R;4-5/31-32-33/29-30-32-33/0-1/10/16/21-22/31-32/0;
9;11;;C_I/C_R;38-39/23-24;
9;12;;C_I/C_R;39/23;
9;15;;C_I/C_R;45/18;
9;16;;C_I/C_R;45-46-47/16-17-18;
9;17;;C_I/C_R;47/16;
10;2;P-284;A_I/A_R/F_I/F_R;31-32/16-17/12-13/15-16;
10;3;P-285;A_I/A_R/F_I/F_R;32/16/13/15;
10;4;P-264/P-265;A_I/A_R/F_I/F_R/T_I/T_R;32/16/13/15/22/12;
10;5;P-286/P-294;A_I/A_R/E_I/E_R/F_I/F_R;32-33/15-16/24-25/4-5/13/15;
10;6;P-307/P-308;E_I/F_I/F_R;22-23-24/13-14/13-14-15;
10;7;P-272;A_I/A_R/E_I/F_R/T_I/T_R;37/10-11/22/13/27/6-7;
10;8;P-271;A_R/B_I/D_I/E_I/F_R/M_I/T_R;9-10/22-23/15-16/21-22/12-13/23-24/5-6;
10;9;P-172/P-186/P-187/PR-171/PR-237;B_I/B_R/C_I/C_R/D_I/D_R/M_R/X_I/X_R/Z_I/Z_R;21-22/5/31-33-34/28-29-33/14-15/1/10/16/22/31/0;
10;10;;C_I/C_R;34-35-36/26-27-28;
10;11;;C_I/C_R;36-37-38/24-25-26;
10;12;;C_I/C_R;39-40/22-23;
10;13;;C_I/C_R;40-41-42/20-21-22;
10;14;;C_I/C_R;42-43-44/19-20;
10;15;P-300;C_I/C_R;44-45/18-19;
11;2;;A_I/A_R/F_I/F_R;31/17/12/16;
11;4;P-263/P-274;T_I/T_R;22/12;
11;5;;E_R;5-6;
11;6;P-229;E_R/F_I;6/14-15;
11;7;P-230;A_I/C_I/C_R/E_R/F_I/T_I;37-38/29-30/34-35/6/15/27-28;
