service;origin;destiny;color
A;;;#d7282f
AY1;AY;;#d7282f
B;;;#d7282f
C;;;#73308a
D;;;#d7282f
E;;;#4c9c2e
F;;;#f7be00
FY1;FY;;#f7be00
M;;;#e50695
T;;;#0047ba
X;;;#001689
Z;;;#231f20
ZY1;ZY;;#231f20
