servicio;distancia;latitud;longitud
A_I;0;-22.4285139;-68.9265816
A_I;20;-22.42835202;-68.92650117
A_I;40;-22.42837189;-68.92631145
A_I;60;-22.42841453;-68.92612259
A_I;80;-22.42845717;-68.92593373
A_I;100;-22.42849743;-68.92574428
A_I;120;-22.42853559;-68.92555431
A_I;140;-22.42857374;-68.92536435
A_I;160;-22.4286119;-68.92517438
A_I;180;-22.42865005;-68.92498442
A_I;200;-22.42868821;-68.92479445
A_I;220;-22.42885124;-68.92472694
A_I;240;-22.42903026;-68.92474193
A_I;260;-22.42920915;-68.92476918
A_I;280;-22.42938805;-68.92479643
A_I;300;-22.42956695;-68.92482367
A_I;320;-22.42974584;-68.92485092
A_I;340;-22.42992474;-68.92487817
A_I;360;-22.43010364;-68.92490542
A_I;380;-22.43028254;-68.92493267
A_I;400;-22.43046143;-68.92495991
A_I;420;-22.43064033;-68.92498716
A_I;440;-22.43081901;-68.925016
A_I;460;-22.4309976;-68.92504551
A_I;480;-22.43117618;-68.92507501
A_I;500;-22.43135477;-68.92510451
A_I;520;-22.43153336;-68.92513402
A_I;540;-22.43171194;-68.92516358
A_I;560;-22.43189049;-68.92519331
A_I;580;-22.43206905;-68.92522304
A_I;600;-22.4322476;-68.92525278
A_I;620;-22.43242616;-68.92528251
A_I;640;-22.43259085;-68.92535116
A_I;660;-22.4327366;-68.92546204
A_I;680;-22.43279593;-68.92564562
A_I;700;-22.43292204;-68.92576266
A_I;720;-22.43309776;-68.92580789
A_I;740;-22.43327348;-68.92585313
A_I;760;-22.43333977;-68.92597864
A_I;780;-22.43331478;-68.92617113
A_I;800;-22.43328978;-68.92636361
A_I;820;-22.43326479;-68.9265561
A_I;840;-22.43323979;-68.92674859
A_I;860;-22.4332148;-68.92694107
A_I;880;-22.4331898;-68.92713356
A_I;900;-22.43320607;-68.92729432
A_I;920;-22.43338347;-68.9273312
A_I;940;-22.43356086;-68.92736809
A_I;960;-22.43373826;-68.92740497
A_I;980;-22.43391566;-68.92744186
A_I;1000;-22.43409306;-68.92747874
A_I;1020;-22.43427046;-68.92751563
A_I;1040;-22.43444785;-68.92755251
A_I;1060;-22.43462525;-68.92758939
