paradas;servicios
P-121;B_R-D_R-E_R-M_R-X_R
P-122;B_I-D_I-E_I-M_I-X_I
P-123;B_I-D_I-E_I-M_I-X_I
P-124;B_R-D_R-E_R-M_R-X_R
P-125;B_R-D_R-E_R-M_R-X_R
P-126;B_I-D_I-E_I-M_I-X_I
P-127;B_R-D_R-E_R-M_R-X_R
P-128;B_I-D_I-E_I-M_I-X_I
P-129;B_I-D_I-E_I-M_I-X_I
P-131;B_I-D_I-E_I-M_I-X_I
P-132;B_I-D_I-E_I-M_I-X_I
P-133;B_R-D_R-E_R-M_R-X_R
P-134;B_R-D_R-X_R
P-139;B_I-M_I-T_I-Z_I
P-140;B_I-M_I
P-141;D_I-F_I-M_I
P-147;A_R-M_R-X_R-Z_R
P-148;A_R-E_R-M_R-X_R-Z_R
P-150;A_R-E_R-M_R-X_R-Z_R
P-151;A_I-E_I-M_I-X_I-Z_I
P-155;A_R-E_R-M_R-X_R-Z_R
P-156;A_I-E_I-M_I-X_I-Z_I
P-157;A_I-E_I-M_I-Z_I
P-158;A_I-E_I-M_I-Z_I
P-161;B_I-E_I-M_I-Z_I
P-162;E_I-M_I
P-163;E_I-M_I
P-164;E_I-M_I
P-166;B_I-D_I-M_I
P-169;M_I
P-172;B_R-C_R-D_R-M_R-X_R-Z_R
P-173;B_R-C_R-D_R-E_R-M_R-X_R-Z_R
P-174;B_R-D_R-E_R-M_R-X_R-Z_R
P-175;B_R-D_R-E_R-M_R-X_R-Z_R
P-176;B_I
P-177;B_R
P-180;B_I
P-181;B_I
P-182;B_I
P-183;B_I-C_I
P-184;B_I-D_I-X_I-Z_I
P-185;B_I-D_I-X_I-Z_I
P-186;B_I-C_I-D_I-X_I-Z_I
P-187;B_I-D_I
P-189;B_I-D_I
P-190;B_I-D_I
P-191;B_I
P-192;B_I
P-193;B_I
P-194;B_I
P-196;B_R-D_R-Z_R
P-198;B_R
P-199;B_R
P-200;A_R-B_R-C_R
P-206;D_I-F_I-T_I
P-207;D_I-F_I
P-209;D_I-F_I
P-210;D_I-F_I
P-212;D_I
P-214;D_I-Z_I
P-216;D_R-X_R
P-217;D_R-X_R
P-220;D_R-F_R
P-221;D_R-F_R
P-222;D_R
P-223;D_R-E_R
P-225;E_I
P-226;E_R
P-227;E_R
P-228;E_R
P-229;E_R
P-230;E_R
P-231;E_R
P-232;E_R-M_R
P-236;X_I
P-238;X_I
P-239;X_I
P-244;C_I-X_I
P-249;X_R
P-250;X_R
P-251;C_R-X_R
P-252;C_R-X_R
P-253;X_R
P-254;C_R-X_R
P-255;C_R-X_R
P-256;C_R-X_R
P-258;T_I
P-259;T_I
P-260;T_I
P-261;T_I-Z_I
P-262;T_I
P-263;T_I
P-264;T_I
P-265;T_I
P-266;T_I
P-269;A_I-C_I-T_I
P-270;T_I
P-271;A_R
P-272;A_R
P-273;T_R
P-274;T_R
P-275;T_R
P-276;T_R
P-277;T_R
P-278;T_R
P-279;A_I-F_I
P-281;Z_I
P-282;A_I-F_I
P-283;A_I
P-284;A_I
P-285;A_I-F_I
P-286;A_I-F_I
P-287;A_I
P-288;A_I
P-289;A_I
P-290;A_I
P-292;A_R
P-293;A_R
P-294;A_R-F_R
P-296;A_R-F_R
P-297;A_R-C_R
P-299;C_I
P-300;C_R
P-302;A_R-C_R-F_R
P-303;F_I
P-305;F_I
P-306;F_I
P-307;F_I
P-308;F_I
P-311;Z_I
P-312;Z_R
P-317;A_I
PR-130;B_R-D_R-E_R-M_R-X_R
PR-135;B_R-D_R
PR-136;D_R
PR-138;M_I
PR-142;D_R-M_R
PR-143;D_R-M_R
PR-144;D_I-F_I-M_I
PR-146;D_R-M_R
PR-149;F_I-T_I
PR-152;A_I-E_I-M_I-X_I-Z_I
PR-153;A_R-E_R-M_R-X_R-Z_R
PR-154;A_I-E_I-M_I-X_I-Z_I
PR-159;A_I-E_I-M_I-Z_I
PR-160;A_R-E_R-M_R-X_R
PR-165;B_I-D_I-M_I
PR-167;B_I-D_I-M_I
PR-168;M_I
PR-170;B_R-C_R-D_R-M_R-X_R-Z_R
PR-171;B_R-C_R-D_R-M_R-X_R-Z_R
PR-178;B_I-D_I
PR-179;B_I-D_I
PR-188;B_I-D_I
PR-195;B_R-D_R
PR-208;D_I-F_I
PR-215;D_I-X_I
PR-218;D_R
PR-224;D_R-E_R
PR-234;X_I
PR-235;X_I
PR-237;C_I-X_I-Z_I
PR-240;X_I
PR-241;X_I
PR-242;C_I-X_I
PR-243;C_I-X_I
PR-245;C_I-X_I
PR-246;C_I-X_I
PR-247;X_I
PR-257;X_R
PR-267;A_I-C_I-T_I
PR-280;A_I-C_I-F_I
PR-291;A_R
PR-304;F_I
PR-309;A_R-C_R-F_R
