paradero;servicio;distancia
P-279;A_I;3205
PR-280;A_I;3912
P-151;A_I;6579
PR-152;A_I;6797
PR-154;A_I;6968
P-156;A_I;7157
P-157;A_I;7322
P-158;A_I;7417
PR-159;A_I;7546
P-282;A_I;8359
P-283;A_I;10871
P-284;A_I;11228
P-285;A_I;11543
P-286;A_I;12005
PR-267;A_I;14042
P-269;A_I;14079
P-287;A_I;15193
P-288;A_I;15680
P-289;A_I;15921
P-290;A_I;16105
P-317;A_I;16345
PR-291;A_R;312
P-292;A_R;1953
P-293;A_R;2087
P-271;A_R;3439
P-272;A_R;3785
P-294;A_R;4719
P-296;A_R;8584
PR-160;A_R;9364
P-155;A_R;9814
PR-153;A_R;10088
P-150;A_R;10208
P-148;A_R;10333
P-147;A_R;10451
PR-309;A_R;12936
P-302;A_R;13789
P-297;A_R;15155
P-200;A_R;15327
P-122;B_I;1937
P-123;B_I;2120
P-126;B_I;2400
P-128;B_I;2669
P-129;B_I;2897
P-131;B_I;3145
P-132;B_I;3298
P-176;B_I;4071
PR-178;B_I;4794
PR-179;B_I;5028
P-140;B_I;5192
P-139;B_I;5407
P-180;B_I;6472
P-181;B_I;6836
P-182;B_I;7060
P-183;B_I;7746
P-161;B_I;8804
P-184;B_I;8864
P-185;B_I;8969
P-186;B_I;9227
P-187;B_I;9388
PR-165;B_I;9860
P-166;B_I;10024
PR-167;B_I;10248
PR-188;B_I;10500
P-189;B_I;10568
P-190;B_I;10730
P-191;B_I;11137
P-192;B_I;11629
P-193;B_I;11870
P-194;B_I;12303
PR-195;B_R;1751
PR-170;B_R;2535
PR-171;B_R;2733
P-172;B_R;2893
P-173;B_R;3149
P-174;B_R;3315
P-175;B_R;3403
P-196;B_R;3734
P-198;B_R;4916
P-199;B_R;5378
P-200;B_R;6623
P-177;B_R;7783
PR-135;B_R;8334
P-134;B_R;8567
P-133;B_R;8807
PR-130;B_R;8983
P-127;B_R;9530
P-125;B_R;9755
P-124;B_R;9988
P-121;B_R;10197
PR-280;C_I;4186
P-183;C_I;6191
PR-267;C_I;7314
P-269;C_I;7350
P-186;C_I;7582
PR-237;C_I;7710
P-299;C_I;12888
PR-246;C_I;13339
PR-245;C_I;13540
P-244;C_I;13649
PR-243;C_I;13861
PR-242;C_I;14184
P-256;C_R;489
P-255;C_R;559
P-254;C_R;768
P-252;C_R;1195
P-251;C_R;1315
P-300;C_R;4803
PR-170;C_R;7758
PR-171;C_R;7957
P-172;C_R;8117
P-173;C_R;8373
PR-309;C_R;11426
P-302;C_R;12270
P-297;C_R;13620
P-200;C_R;13792
P-122;D_I;1930
P-123;D_I;2112
P-126;D_I;2392
P-128;D_I;2661
P-129;D_I;2888
P-131;D_I;3137
P-132;D_I;3286
PR-178;D_I;4776
PR-179;D_I;5013
P-141;D_I;5304
PR-144;D_I;5486
P-206;D_I;5986
P-207;D_I;6108
PR-208;D_I;6266
P-209;D_I;6456
P-210;D_I;6541
P-212;D_I;6705
P-214;D_I;6840
P-184;D_I;7807
P-185;D_I;7911
P-186;D_I;8170
P-187;D_I;8328
PR-165;D_I;8796
P-166;D_I;8959
PR-167;D_I;9182
PR-188;D_I;9429
P-189;D_I;9498
P-190;D_I;9659
PR-215;D_I;10351
P-216;D_R;175
P-217;D_R;323
PR-218;D_R;641
PR-195;D_R;986
PR-170;D_R;1771
PR-171;D_R;1970
P-172;D_R;2129
P-173;D_R;2386
P-174;D_R;2552
P-175;D_R;2640
P-196;D_R;2989
P-220;D_R;3712
P-221;D_R;3931
P-222;D_R;4231
PR-146;D_R;4494
PR-143;D_R;4664
PR-142;D_R;4790
P-223;D_R;5448
PR-224;D_R;5520
PR-136;D_R;6259
PR-135;D_R;6420
P-134;D_R;6653
P-133;D_R;6909
PR-130;D_R;7087
P-127;D_R;7634
P-125;D_R;7859
P-124;D_R;8092
P-121;D_R;8302
P-122;E_I;1943
P-123;E_I;2126
P-126;E_I;2406
P-128;E_I;2674
P-129;E_I;2903
P-131;E_I;3151
P-132;E_I;3303
P-151;E_I;6533
PR-152;E_I;6751
PR-154;E_I;6922
P-156;E_I;7111
P-157;E_I;7261
P-158;E_I;7356
PR-159;E_I;7485
P-161;E_I;8424
P-162;E_I;8535
P-163;E_I;8886
P-164;E_I;9079
P-225;E_I;11355
P-226;E_R;345
P-227;E_R;895
P-228;E_R;1262
P-229;E_R;2833
P-230;E_R;3110
P-231;E_R;3320
P-173;E_R;3674
