trip_id,start_time,end_time,headway_secs
611,08:14:00,20:10:00,600
612,10:20:00,20:08:00,480
613,06:45:00,19:34:00,240
614,07:00:00,19:34:00,240
615,09:00:00,19:38:00,480
616,07:19:00,20:08:00,240
617,07:34:00,20:08:00,240
618,09:34:00,20:12:00,480
619,06:45:00,19:34:00,240
620,07:00:00,19:34:00,240
621,09:00:00,19:38:00,480
622,07:19:00,20:08:00,240
623,07:34:00,20:08:00,240
624,09:34:00,20:12:00,480
625,06:50:00,20:39:00,540
626,08:30:00,20:41:00,660
627,06:53:00,21:19:00,540
628,08:30:00,21:21:00,660
629,06:50:00,20:39:00,540
630,08:30:00,20:41:00,660
631,06:53:00,21:19:00,540
632,08:30:00,21:21:00,660
633,00:05:00,24:05:00,5400
634,00:55:00,24:55:00,5400
635,07:55:00,24:25:00,5400
636,08:35:00,25:05:00,5400
637,00:10:00,24:10:00,5400
638,00:50:00,24:50:00,5400
639,08:40:00,23:40:00,5400
640,09:20:00,24:20:00,5400
641,07:10:00,21:23:00,480
642,08:45:00,21:23:00,480
643,06:45:00,20:38:00,480
644,08:00:00,20:38:00,480
645,07:10:00,21:23:00,480
646,08:45:00,21:23:00,480
647,06:45:00,20:38:00,480
648,07:10:00,08:53:00,480
649,06:45:00,20:38:00,480
650,08:00:00,20:38:00,480
651,07:10:00,21:23:00,480
652,08:45:00,21:23:00,480
653,07:10:00,21:23:00,480
654,08:45:00,21:23:00,480
655,06:45:00,20:38:00,480
656,08:00:00,20:38:00,480
657,07:30:00,20:09:00,540
658,08:30:00,21:24:00,540
659,06:50:00,19:58:00,480
660,08:00:00,19:00:00,600
661,09:30:00,18:05:00,900
662,07:25:00,20:33:00,480
663,08:35:00,19:35:00,600
664,10:05:00,18:40:00,900
671,00:00:00,01:05:00,300
672,06:00:00,24:04:59,300
673,00:00:00,01:05:00,300
674,06:00:00,24:04:59,300
675,07:00:00,20:07:00,420
676,09:00:00,20:10:00,600
677,07:40:00,20:47:00,420
678,09:40:00,20:50:00,600
681,06:00:00,20:06:00,360
772,13:30:00,14:10:00,600
773,14:00:00,15:30:00,1800
780,17:10:00,17:50:00,600
781,17:40:00,19:10:00,1800
898,07:00:00,10:10:00,600
899,10:00:00,14:12:00,720
900,14:00:00,15:20:00,1200
901,15:00:00,20:45:00,900
902,07:00:00,20:50:00,1200
927,07:30:00,11:30:00,3600
934,07:00:00,09:40:00,2400
935,10:30:00,14:00:00,1800
936,13:30:00,20:30:00,3600
937,07:00:00,11:00:00,3600
938,10:00:00,18:00:00,7200
939,16:00:00,19:00:00,3600
940,08:00:00,09:30:00,1800
941,10:00:00,14:00:00,3600
942,13:00:00,20:00:00,7200
943,09:00:00,13:00:00,7200
944,17:00:00,21:30:00,5400
945,08:30:00,13:00:00,5400
946,16:00:00,22:00:00,7200
947,07:00:00,09:30:00,1800
948,10:00:00,13:00:00,5400
