code;name;latitude;longitude;services
PA1;Parada 6 / (M) Quinta Normal;-33.44011712;-70.68002531;109-406-422-426-505-507-508-513-B26-B28-J01-J02-J05-J16
PA10;Bascuñán Guerrero Esq. / Avenida El Mirador;-33.46676215;-70.67163003;109-109N-119-345-511-I18
PA100;Parada 2 / Persa Biobío;-33.47404898;-70.64194056;203-206-385
PA101;Parada 2 / Franklin Santa Rosa;-33.47199148;-70.64204164;203-203e-206-206e-385
PA102;Parada 2 / Sargento Aldea Santa Rosa;-33.46861609;-70.64223621;203-206-385-I01
PA103;Parada 2 / Miguel León Prado Santa Rosa;-33.46464577;-70.64240879;203-206-385-I01
PA104;Parada 2 / Hospital Sn. Borja Arriarán;-33.46088828;-70.64285437;203-203e-206-206e-385-I01
PA105;Parada 2 / Colegio María Auxiliadora;-33.45766315;-70.64327768;203-203e-206-206e-385
PA106;Parada 2 / Colegio Santa María;-33.45211493;-70.64410897;203-206-385
PA107;Parada 2 / Cóndor Santa Rosa;-33.44985536;-70.64448588;203-203e-206-206e-214-226-385
PA108;Parada 4 / Eleuterio Ramírez Santa Rosa;-33.44694365;-70.64507638;203-206-214-226-385
PA109;Parada 8 / (M) Santa Lucía;-33.4433868;-70.64603116;203-203e-208-B30N-B31N
PA11;Bascuñán Guerrero Esq. / Fray De La Peña;-33.46268279;-70.67253082;109-109N-119-345-511-I18
PA111;Parada 2 / Iglesia La Merced;-33.43833343;-70.64694683;203-208-B02N-B30N-B31N
PA112;Parada 2 / Casa De Los Velasco;-33.43599314;-70.64728983;203-208-B02N-B30N-B31N
PA113;Parada 3 / Mercado Central;-33.43378609;-70.64778592;203-208-B02N-B27-B30N-B31N
PA114;Parada 2 / Huérfanos Mac Iver;-33.439626;-70.64672385;203e-206-206e-207e-214-226-230-404
PA115;Parada 6 / (M) Santa Lucía;-33.44331638;-70.64590074;204-204N-204e
PA116;Carmen Esq. / Sara Del Campo;-33.44417422;-70.64309853;204-204N-205-209
PA117;Carmen Esq. / Marín;-33.4473398;-70.64240519;204-204N
PA118;Carmen Esq. / Santa Isabel;-33.4496759;-70.64169618;204-204N-204e
PA119;Carmen Esq. / Av. 10 De Julio;-33.45248211;-70.64089916;204-204N
PA12;Bascuñán Guerrero Esq. / Av. Blanco Encalada;-33.45873809;-70.67347716;109-109N-119-345-511-I18
PA120;Carmen Esq. / Coquimbo;-33.45434582;-70.64045013;204-204N
PA121;Carmen Esq. / Av. Manuel A. Matta;-33.45712384;-70.63973858;204-204N-204e
PA122;Carmen Esq. / Santa Elvira;-33.46045467;-70.6388222;204-204N
PA123;Carmen Esq. / M. León Prado;-33.46331454;-70.63805829;204-204N-204e
PA124;Carmen Esq. / Maule;-33.46590278;-70.63737531;204-204N
PA125;Carmen Esq. / Ñuble;-33.46824674;-70.63675226;204-204N
PA126;Carmen Esq. / Franklin;-33.47218347;-70.63570716;204-204N-D07
PA127;Sierra Bella Esq. / Franklin;-33.47247366;-70.63285024;204-204N
PA128;Sierra Bella Esq. / Ñuble;-33.4684196;-70.63390402;204-204N
PA129;Sierra Bella Esq. / Maule;-33.46595774;-70.63457874;204-204N
PA13;Bascuñán Guerrero Esq. / Toesca;-33.45611477;-70.67407228;109-109N-345-507-511-I18
PA130;Sierra Bella Esq. / M. León Prado;-33.46350503;-70.63524283;204-204N-204e
PA131;Sierra Bella Esq. / Santa Elvira;-33.46027367;-70.63613972;204-204N
PA132;Sierra Bella Esq. / Av. Manuel A. Matta;-33.45737932;-70.63678468;204-204N-204e
PA133;Lira Esq. / Coquimbo;-33.45484702;-70.63732881;204-204N
PA134;Lira Esq. / Av. 10 De Julio;-33.45243164;-70.63789663;204-204N
PA135;Lira Esq. / Santa Isabel;-33.44937917;-70.63890428;204-204N-204e
PA136;Lira Esq. / General Jofré;-33.44619016;-70.6400061;204-204N
PA137;Curicó Esq. / San Isidro;-33.44622017;-70.64386863;204-204N-204e-205-209
PA138;Parada 7 / (M) Santa Lucía;-33.44363294;-70.64583142;205-205e-209-209e
PA139;Parada 1 / Eyzaguirre San Francisco;-33.45175451;-70.64680248;205-205e-207e-209-209e-230
PA14;Bascuñán Guerrero Esq. / Sazié;-33.45291197;-70.67483911;109-109N-345-507-511-B26-I09-I09e-I18
PA140;Parada 1 / Copiapó San Francisco;-33.45470917;-70.64637421;205-209-230
PA141;Parada 1 / Av. Matta San Francisco;-33.45840026;-70.64549719;205-205e-207e-209-209e-230
PA142;Parada 1 / Hospital Sn. Borja Arriarán;-33.46147326;-70.64498501;205-205e-207e-209-209e-230
PA143;Parada 1 / Victoria San Francisco;-33.46491477;-70.64456584;205-209-230
PA144;Parada 1 / General Gana San Francisco;-33.47011654;-70.64401848;205-209-227-230
PA145;Parada 1 / Matadero Franklin;-33.47286912;-70.64386602;205-205e-207e-209-209e-227-230
PA146;Parada 4 / Persa Biobío;-33.4750144;-70.64190497;205-209-227-230-D07-E04
PA147;Parada 4 / Franklin Santa Rosa;-33.4727046;-70.64199053;205-205e-207e-209-209e-227-230
PA148;Parada 4 / Ñuble Santa Rosa;-33.46977127;-70.64217192;205-209-227-230
PA149;Parada 4 / Pedro Lagos Santa Rosa;-33.46597269;-70.64231547;205-209-227-230-I01
PA15;Parada / Estadio Victor Jara;-33.45045094;-70.67543727;109-109N-345-507-511-B26-I09-I09e-I14-I14N-I18
