service;origin;destiny;color;color_id
101;RECOLETA;CERRILLOS;00D5FF;4
101c;(M) BLANQUEADO;CERRILLOS;00D5FF;4
102;(M) BLANQUEADO;MALL PLAZA TOBALABA;00D5FF;4
103;PROVIDENCIA;SAN JOAQUIN;00D5FF;4
104;PROVIDENCIA;MALL PLAZA TOBALABA;00D5FF;4
105;RENCA;LO ESPEJO;00D5FF;4
106;NUEVA SAN MARTIN;LA FLORIDA;00D5FF;4
107;CIUDAD EMPRESARIAL;AV. DEPARTAMENTAL;00D5FF;4
107c;CIUDAD EMPRESARIAL;PLAZA RENCA;00D5FF;4
108;MAIPU;LA FLORIDA;00D5FF;4
109;RENCA;MAIPU;00D5FF;4
109N;(M) QUINTA NORMAL;MAIPU;00D5FF;4
110;RENCA;MAIPU;00D5FF;4
110c;RENCA;PUDAHUEL SUR;00D5FF;4
111;(M) PAJARITO;CIUDAD SATELITE;00D5FF;4
112N;AV. LA FLORIDA;RECOLETA;00D5FF;4
113;CIUDAD SATELITE;(M) LA MONEDA;00D5FF;4
113e;CIUDAD SATELITE;(M) LA MONEDA;00D5FF;4
114;PROVIDENCI;MALL PLAZA TOBALABA;00D5FF;4
115;VILLA EL ABRAZO;(M) LA MONEDA;00D5FF;4
116;HUECHURABA;SANTIAGO CENTRO;00D5FF;4
117;(M) VESPUCIO NORTE;SAN JOAQUIN;00D5FF;4
117c;HUECHURABA;PROVIDENCIA;00D5FF;4
118;MAIPU;MALL PLAZA VESPUCIO;00D5FF;4
119;MAPOCHO;LO ESPEJO;00D5FF;4
120;RENCA;(M) LA CISTERNA;00D5FF;4
121;MAPOCHO;LO ESPEJO;00D5FF;4
125;(M) U. DE CHILE;LO ESPEJO;00D5FF;4
126;(M) MANUEL MONTT;LA HIGUERA;00D5FF;4
201;MALL PLAZA NORTE;SAN BERNARDO;0067AC;5
201e;MALL PLAZA NORTE;SAN BERNARDO;0067AC;5
202c;EL CORTIJO;MAPOCHO;0067AC;5
203;HUECHURABA;LA PINTANA;0067AC;5
203e;HUECHURABA;LA PINTANA;0067AC;5
204;ALAMEDA;GABRIELA;0067AC;5
204e;ALAMEDA;GABRIELA;0067AC;5
205;SANTIAGO;PUENTE ALTO;0067AC;5
205e;SANTIAGO;PUENTE ALTO;0067AC;5
206;CENTRO;LA PINTANA;0067AC;5
206e;CENTRO;LA PINTANA;0067AC;5
207c;LA GRANJA;LA PINTANA;0067AC;5
207e;MAPOCHO;LA PINTANA;0067AC;5
208;HUECHURABA;CENTRO;0067AC;5
208c;HUECHURABA;(M) ZAPADORES;0067AC;5
209;ALAMEDA;EL VOLCAN;0067AC;5
209e;ALAMEDA;EL VOLCAN;0067AC;5
210;ESTACION CENTRAL;PUENTE ALTO;0067AC;5
210v;ESTACION CENTRAL;PUENTE ALTO;0067AC;5
211;LA FLORIDA;NOS;0067AC;5
211c;(M) LA CISTERNA;SAN BERNARDO;0067AC;5
211e;LA FLORIDA;SAN BERNARDO ;0067AC;5
212;PROVIDENCIA;LA PINTANA;0067AC;5
213e;PLAZA ITALIA;PUENTE ALTO;FFD400;3
214;SANTA OLGA;EL CORTIJO;0067AC;5
216;PABLO DE ROKHA;VITACURA;0067AC;5
217e;MAESTRANZA;(M) SANTA ANA;0067AC;5
218e;SAN BERNARDO;MATUCANA;0067AC;5
219e;(M) LA CISTERNA;CIUDAD EMPRESARIAL;0067AC;5
221e;PUENTE ALTO;MATUCANA;0067AC;5
222e;PUENTE ALTO;(M) SANTA ANA;0067AC;5
223;CIUDAD EMPRESARIAL;LO ESPEJO;0067AC;5
224;ÑUñOA;GABRIELA;0067AC;5
224N;(M) PEDRERO;GABRIELA;0067AC;5
224c;(M) VICENTE VALDES;GABRIELA;0067AC;5
225;LAS CONDES;BAHíA CATALINA;0067AC;5
226;MAPOCHO;NONATO COO;0067AC;5
227;VILLA FREI;PEDRO AGUIRRE CERDA;0067AC;5
228;(M) LA CISTERNA;ANGELMO;0067AC;5
229;(M) LA MONEDA;LA PINTANA;0067AC;5
230;CONCHALí;LA PINTANA;0067AC;5
261e;(M) LOS HEROES;SAN BERNARDO;0067AC;5
301;JUAN ANTONIO RíOS;ANGELMó;00B33C;6
301c;(M) LA CISTERNA;ANGELMó;00B33C;6
301c2;(M) LA CISTERNA;LO BLANCO ;00B33C;6
301e;(M) LA MONEDA;ANGELMó;00B33C;6
302; (M) SANTA ANA;LA PINTANA;00B33C;6
302N;ALAMEDA;LA PINTANA;00B33C;6
302e;(M) LOS HEROES;SAN RAMóN;00B33C;6
303;QUILICURA;PLAZA ITALIA;00B33C;6
303e;QUILICURA;(M) SANTA ANA;00B33C;6
307;LO MARCOLETA;PLAZA ITALIA;00B33C;6
307e;RIGOBERTO JARA;PLAZA ITALIA;00B33C;6
308;LO MARCOLETA;MAPOCHO;00B33C;6
312e;QUILICURA; MAPOCHO;00B33C;6
313e;QUILICURA;ESTACION CENTRAL ;00B33C;6
314;LO MARCOLETA;PLAZA ITALIA;00B33C;6
314e;LO MARCOLETA;PLAZA ITALIA;00B33C;6
315e;RIGOBERTO JARA;PLAZA ITALIA;00B33C;6
316e;SAN IGNACIO;(M) CAL Y CANTO;00B33C;6
321;(M) LO OVALLE;LO SIERRA;00B33C;6
322;(M) BELLAVISTA DE LA FLORIDA ;JARDIN ALTO;00B33C;6
323;(M) BELLAVISTA DE LA FLORIDA ;LA LOMA;00B33C;6
345;LO ESPEJO;ALAMEDA;00B33C;6
346N;LO ESPEJO;ALAMEDA;00B33C;6
348;RINCONADA;(M) LO OVALLE;00B33C;6
350;CIUDAD SATéLITE;RINCONADA;00B33C;6
350c;RINCONADA;(M) PLAZA DE MAIPú;00B33C;6
385;V. FRANCIA;  MALL F. CENTER;00B33C;6
401;MAIPU;HOSPITAL DIPRECA;F58220;2
401N;MAIPU;LOS DOMíNICOS;F58220;2
402;PUDAHUEL;MAPOCHO;F58220;2
403;(M) SANTA ANA;LA REINA;F58220;2
404;EL DESCANSO;MAPOCHO;F58220;2
404c;EL DESCANSO;(M) LAS REJAS;F58220;2
405;MAIPU;CANTAGALLO;F58220;2
405c;PLAZA ITALIA;VITACURA;F58220;2
406; PUDAHUEL;CANTAGALLO;F58220;2
406c;(M) ESCUELA MILITAR;CANTAGALLO;F58220;2
407;ENEA;HOSPITAL DIPRECA;F58220;2
408;RENCA;MAPOCHO;00D5FF;4
408e;RENCA;MAPOCHO;00D5FF;4
409;MAPOCHO;PLAZA SAN ENRIQUE;F58220;2
410;RENCA;PROVIDENCIA;00D5FF;4
410e;RENCA;PROVIDENCIA;00D5FF;4
411;PROVIDENCIA;PLAZA SAN ENRIQUE;F58220;2
412;(M) SAN PABLO;LA REINA;F58220;2
413c;AVENIDA PORTALES;(M) LAS REJAS;F58220;2
413v;AVENIDA PORTALES;(M) PLAZA DE MAIPU;F58220;2
414e;(M) PUDAHUEL;LOS TRAPENSES;F58220;2
