id;latitud;longitud;sec
135542531;-36.71151229;-72.97516183;1
135542531;-36.71227806;-72.97690078;2
135542531;-36.71303812;-72.97713895;3
135542531;-36.71315154;-72.97645432;4
135542531;-36.71275752;-72.97408995;5
135542531;-36.71960229;-72.97500056;6
135542531;-36.72008711;-72.97543843;7
135542531;-36.7210777;-72.97799089;8
135542531;-36.72584;-72.97955;9
135542531;-36.72579;-72.98035;10
135542531;-36.72704954;-72.98248732;11
135542531;-36.72685921;-72.98323159;12
135542531;-36.72605841;-72.98384313;13
135542531;-36.72673721;-72.98531634;14
135542531;-36.72678504;-72.98670103;15
135542531;-36.73012143;-72.98787181;16
135542531;-36.7301268;-72.98948918;17
135542531;-36.73066637;-72.98979764;18
135542531;-36.73371741;-72.98805863;19
135542531;-36.73594363;-72.99450492;20
135542531;-36.73700979;-72.994002;21
135542531;-36.73929359;-73.00039505;22
135542531;-36.74026567;-73.0001;23
135542531;-36.74150868;-73.00023328;24
135542531;-36.74436548;-73.00265053;25
135542531;-36.74491791;-73.00265548;26
135542531;-36.74829756;-73.00102872;27
135542531;-36.75017646;-72.99952601;28
135542531;-36.75565868;-73.00175224;29
135542531;-36.75815;-73.00485;30
135542531;-36.76700871;-73.01225309;31
135542531;-36.77357257;-73.01580165;32
135542531;-36.78139475;-73.02082007;33
135542531;-36.79115;-73.02516;34
135542531;-36.7941;-73.02574;35
135542531;-36.80197008;-73.02577679;36
135542531;-36.80572465;-73.02432504;37
135542531;-36.80665374;-73.02411818;38
135542531;-36.80751409;-73.02438338;39
135542531;-36.81469;-73.03144;40
135542531;-36.81695;-73.03675;41
135542531;-36.81597;-73.03739;42
135542531;-36.81648;-73.03861;43
135542531;-36.82084258;-73.03583373;44
135542531;-36.82192688;-73.03623338;45
135542531;-36.83102688;-73.05813228;46
135542531;-36.82234;-73.0637;47
135542531;-36.81847;-73.06671;48
135542531;-36.81453079;-73.06767813;49
135542531;-36.81251443;-73.06984012;50
135542531;-36.80877897;-73.07696675;51
135542531;-36.80685989;-73.07892368;52
135542531;-36.80311052;-73.08180422;53
135542531;-36.80068;-73.08446;54
135542531;-36.79937;-73.08523;55
135542531;-36.79438033;-73.08672782;56
135542531;-36.78174058;-73.08687199;57
135542531;-36.77232319;-73.08578972;58
135542531;-36.76951;-73.08596;59
135542531;-36.76641;-73.0867;60
135542531;-36.76568;-73.0861;61
135542531;-36.76559936;-73.08520303;62
135542531;-36.76584111;-73.0848791;63
135542531;-36.76644065;-73.08493396;64
135542531;-36.76655885;-73.08518402;65
135542531;-36.76151419;-73.08855102;66
135542531;-36.75537;-73.09199;67
135542531;-36.75221;-73.09255;68
135542531;-36.74620501;-73.09524853;69
135542531;-36.74378735;-73.09722598;70
135542531;-36.74418014;-73.09898417;71
135542531;-36.74525424;-73.10151752;72
135542531;-36.74794507;-73.10336288;73
135542531;-36.74761;-73.10395;74
135542531;-36.74697;-73.10465;75
135542531;-36.73675;-73.11065;76
135542531;-36.73613421;-73.11159318;77
135542531;-36.73626851;-73.11240219;78
135542531;-36.74015;-73.11822;79
135542531;-36.7403;-73.11913;80
135542531;-36.73983;-73.12036953;81
135542531;-36.73931;-73.12088;82
135542531;-36.73817;-73.12103;83
135542531;-36.72665316;-73.11657357;84
135542531;-36.72483;-73.11814;85
135542531;-36.72218;-73.12346;86
135542531;-36.721456;-73.12533437;87
135542531;-36.72456;-73.1303;88
135542531;-36.72390039;-73.13112076;89
135542531;-36.7235273;-73.13083315;90
135542531;-36.72317245;-73.13157977;91
135542531;-36.72402;-73.13365;92
135542531;-36.72477951;-73.13439857;93
135542531;-36.72465306;-73.13514599;94
135542531;-36.72495697;-73.13602539;95
135542531;-36.72471;-73.13657;96
135542531;-36.72408538;-73.13702997;97
135542531;-36.72383599;-73.13694279;98
135542531;-36.72226053;-73.13520171;99
135542531;-36.72163343;-73.13306432;100
135542531;-36.72081;-73.13256;101
135542531;-36.7193211;-73.1323105;102
135542531;-36.7191026;-73.13263391;103
135542531;-36.71806;-73.13294;104
135542531;-36.71740625;-73.13518659;105
135542531;-36.71779706;-73.1359658;106
135542531;-36.71879279;-73.13701253;107
135542531;-36.72034346;-73.14182173;108
135542531;-36.72136693;-73.14250739;109
135542531;-36.72123051;-73.14288593;110
135542531;-36.722712;-73.14371812;111
135542531;-36.72392962;-73.14295382;112
135542531;-36.72419581;-73.14154157;113
135542531;-36.72323657;-73.14132559;114
135542531;-36.72298914;-73.1422127;115
135542531;-36.72177757;-73.1425892;116
135542531;-36.72263504;-73.14318941;117
135547848;-36.71151229;-72.97516183;118
135547848;-36.71227806;-72.97690078;119
135547848;-36.71303812;-72.97713895;120
135547848;-36.71315154;-72.97645432;121
135547848;-36.71275752;-72.97408995;122
135547848;-36.71960229;-72.97500056;123
135547848;-36.72008711;-72.97543843;124
135547848;-36.7210777;-72.97799089;125
135547848;-36.72584;-72.97955;126
135547848;-36.72579;-72.98035;127
135547848;-36.72704954;-72.98248732;128
135547848;-36.72685921;-72.98323159;129
135547848;-36.72605841;-72.98384313;130
135547848;-36.72673721;-72.98531634;131
135547848;-36.72678504;-72.98670103;132
135547848;-36.73012143;-72.98787181;133
135547848;-36.7301268;-72.98948918;134
135547848;-36.73066637;-72.98979764;135
135547848;-36.73371741;-72.98805863;136
135547848;-36.73594363;-72.99450492;137
135547848;-36.73700979;-72.994002;138
135547848;-36.73929359;-73.00039505;139
135547848;-36.74026567;-73.0001;140
135547848;-36.74150868;-73.00023328;141
135547848;-36.74436548;-73.00265053;142
135547848;-36.74491791;-73.00265548;143
135547848;-36.74829756;-73.00102872;144
135547848;-36.75017646;-72.99952601;145
135547848;-36.75565868;-73.00175224;146
135547848;-36.75815;-73.00485;147
135547848;-36.76700871;-73.01225309;148
135547848;-36.77357257;-73.01580165;149
135547848;-36.78139475;-73.02082007;150
135547848;-36.79115;-73.02516;151
135547848;-36.7941;-73.02574;152
135547848;-36.80197008;-73.02577679;153
135547848;-36.80572465;-73.02432504;154
135547848;-36.80665374;-73.02411818;155
135547848;-36.80751409;-73.02438338;156
135547848;-36.81469;-73.03144;157
135547848;-36.81695;-73.03675;158
135547848;-36.81597;-73.03739;159
135547848;-36.81648;-73.03861;160
135547848;-36.82084258;-73.03583373;161
135547848;-36.82192688;-73.03623338;162
135547848;-36.83102688;-73.05813228;163
