paradas;servicios
30954;Linea 1R
30955;Linea 1R
30956;Linea 1R
30957;Linea 1R
30958;Linea 1R
30961;Linea 1R
30962;Linea 1R
30964;Linea 1R
30965;Linea 1R
31013;Linea 2R
31017;Linea 2R
31021;Linea 2R
32488;02kI-02pI-70gI-70hI
32489;02pI-70jI-70kI
32490;02pI-70jI-70kI
32491;02pI-70jI-70kI
32492;02pI-70jI-70kI
32493;02pI-70jI-70kI
32494;02dI-02pI-10lI-10nI-70fI-70jI-70kI
32495;02dI-02pI-10lI-10nI-70fI-70jI-70kI
32496;02dI-02pI-10lI-70fI-70jI
32497;02dI-02pI-10lI-70fI-70jI-70kI
32498;02dI-02pI-10lI-70fI-70jI-70kI
32499;02dI-02pI-10kI-10pI-70fI-70jI-70kI
32500;02dI-02pI-10nI-10pI
32501;02dI-02pI-10nI-10pI
32502;02aI-02kI-10aI-10bI-10cI-31dI-32eI-32hI
32503;02dI-02pI-10nI-10pI
32504;02dI-02pI-10nI-10oI-10pI-31fI-32gI-32yI
32505;02dI-02pI-10nI-10oI-10pI-31fI-32gI-32yI
32506;02dI-02pI-10nI-10oI-10pI-31fI-32gI-32yI
32507;02dI-02pI-10nI-10oI-10pI-31fI-32gI-32yI
32508;02dI-02pI-10nI-10oI-10pI-31fI-32gI-32yI-62hI-62oI-80zI
32509;02dI-02pI-10nI-10oI-10pI-14tI-16kI-16vI-31fI-32gI-32yI-57yI-62hI-62oI-80hI-80qI-80zI
32510;02dI-02pI-10nI-10oI-10pI-14tI-16kI-16vI-31fI-32gI-32yI-57yI-62hI-62oI-80hI-80qI-80zI
32511;02dI-02pI-10nI-10oI-10pI-14tI-16kI-16vI-31fI-32gI-32yI-57yI-62hI-62oI-80hI-80qI-80zI
32512;02dI-02pI-10nI-10oI-10pI-14tI-16kI-16vI-31fI-32gI-32yI-57yI-62hI-62oI-80hI-80qI-80zI
32513;02dI-02pI-10nI-10oI-10pI-14tI-16kI-16vI-31fI-32gI-32yI-57yI-62hI-62oI-80hI-80qI-80zI
32514;02dI-02pI-10nI-10pI-14tI-16kI-16vI-31fI-32gI-80qI-80zI
32515;02dI-02pI-10nI-10pI-14tI-16kI-16vI-31fI-32gI-80hI-80qI-80zI
32516;02dI-02pI-10nI-10pI-14tI-16kI-16vI-31fI-32gI-80hI-80qI-80zI
32517;02dI-02pI-10nI-10pI-14tI-16kI-16vI-31fI-32gI-70fI-70jI-70kI-80hI-80qI-80zI
32518;02dI-02pI-10kI-10nI-10pI-16kI-16vI-31fI-32gI-70fI-70jI-70kI-80hI-80qI-80zI
32519;02dI-02pI-10kI-10nI-10pI-14tI-16kI-16vI-31fI-32gI-70fI-70jI-70kI-80hI-80qI-80zI
32520;02dI-02pI-10kI-10lI-10mI-10nI-10pI-11qI-11rI-12aI-12bI-13sI-14tI-16kI-16vI-20lI-20vI-20wI-31fI-32gI-52dI-56vI-70kI-80hI-80qI-80zI
32521;02dI-02pI-10kI-10lI-10mI-10nI-10pI-11qI-11rI-12aI-12bI-13sI-14tI-16kI-16vI-20lI-20vI-20wI-31fI-32gI-52dI-56vI-70kI-80hI-80qI-80zI
32522;02dI-02pI-10kI-10lI-10mI-10nI-10pI-11qI-11rI-12aI-12bI-13sI-14tI-16kI-16vI-20lI-20vI-20wI-31fI-32gI-52dI-56vI-70kI-80hI-80qI-80zI
32523;02dI-02pI-10kI-10lI-10mI-10nI-10pI-11qI-11rI-12aI-12bI-13sI-14tI-16kI-16vI-20lI-20vI-20wI-31fI-52dI-56vI-70kI-80hI-80qI-80zI
32524;02dI-02pI-10kI-10lI-10mI-10nI-10pI-11qI-11rI-12aI-12bI-13sI-14tI-16kI-16vI-20lI-20vI-20wI-31fI-52dI-56vI-70fI-70jI-70kI-80hI-80qI-80zI-81sI
32525;02dI-02pI-10kI-10lI-10mI-10nI-10pI-11qI-11rI-12aI-12bI-13sI-14tI-16kI-16vI-20lI-20vI-20wI-31fI-52dI-56vI-70fI-70jI-70kI-80hI-80qI-80zI-81sI
32526;02dI-02pI-10kI-10lI-10mI-10nI-10oI-10pI-11qI-12qI-12rI-13sI-14tI-16kI-16vI-20lI-20vI-20wI-31fI-52dI-56vI-70fI-70jI-70kI-80hI-80qI-80zI-81cI
32527;02dI-02pI-10kI-10lI-10mI-10nI-10oI-10pI-11qI-13sI-14tI-16kI-16vI-20lI-20vI-20wI-31fI-52dI-56vI-70fI-70jI-70kI-80hI-80qI-80zI
32528;02dI-02pI-10kI-10lI-10mI-10nI-10oI-10pI-11qI-13sI-14tI-16kI-16vI-20lI-20vI-20wI-31fI-32gI-52dI-56vI-70fI-70jI-70kI-80hI-80qI-80zI
32529;02dI-02pI-10kI-10lI-10mI-10nI-10oI-10pI-11qI-13sI-14tI-16kI-16vI-20lI-20vI-20wI-31fI-32gI-52dI-56vI-70fI-70jI-70kI-80hI-80qI-80zI
32530;02dI-02pI-10kI-10lI-10mI-10nI-10oI-10pI-11qI-13sI-14tI-16kI-16vI-20lI-20vI-20wI-31fI-32gI-52dI-56vI-70fI-70jI-70kI-80hI-80qI-80zI
32531;02dI-02pI-10kI-10lI-10mI-10nI-10oI-10pI-11qI-13sI-14tI-16kI-16vI-20lI-20vI-20wI-31fI-32gI-52dI-56vI-70fI-70jI-70kI-80hI-80qI-80zI
32532;02dI-02pI-10kI-10lI-10mI-10nI-10oI-10pI-11qI-13sI-14tI-16kI-16vI-20lI-20vI-20wI-31fI-32gI-52dI-56vI-70fI-70jI-70kI-80hI-80qI-80zI
32533;02dI-02pI-10kI-10lI-10mI-10nI-10oI-10pI-13sI-14tI-20lI-20vI-20wI-31fI-32gI-52dI-56vI-70fI-70jI-70kI-80hI-80qI-80zI
32534;02dI-02pI-10kI-10lI-10mI-10nI-10oI-10pI-13sI-14tI-20lI-20vI-20wI-31fI-32gI-32yI-52dI-56vI-62hI-62oI-70fI-70jI-70kI-80hI-80qI-80zI
32535;02dI-02pI-10kI-10lI-10mI-10nI-10oI-10pI-13sI-14tI-20lI-20vI-20wI-31fI-32gI-32yI-52dI-56vI-62hI-62oI-70fI-70jI-70kI-80hI-80qI-80zI
32536;02dI-02pI-10kI-10lI-10mI-10nI-10oI-10pI-13sI-14tI-20lI-20vI-20wI-31fI-32gI-32yI-52dI-56vI-62hI-62oI-70fI-70jI-70kI-80hI-80qI-80zI
32537;02dI-02pI-10kI-10lI-10mI-10nI-10oI-10pI-13sI-14tI-20lI-20vI-20wI-31fI-32gI-32yI-52dI-56vI-62hI-62oI-70fI-70jI-70kI-80hI-80qI-80zI
32538;02dI-02pI-10kI-10lI-10mI-10nI-10oI-10pI-13sI-14tI-20lI-20vI-20wI-31fI-32gI-32yI-52dI-56vI-62hI-62oI-70fI-70jI-70kI-80hI-80qI-80zI
32539;02dI-02pI-10kI-10lI-10mI-10nI-10oI-10pI-11rI-13sI-14tI-20lI-20vI-20wI-30bI-30cI-31fI-32gI-32yI-50sI-52dI-56vI-57yI-62hI-62oI-70fI-70jI-70kI-80hI-80qI-80zI
32540;02dI-02pI-10kI-10lI-10mI-10nI-10oI-10pI-11rI-13sI-14tI-16kI-16vI-20lI-20vI-20wI-30bI-30cI-31fI-32gI-32yI-50sI-52dI-56vI-57yI-62hI-62oI-70fI-70jI-70kI-80hI-80qI-80zI
32541;02dI-02pI-30bI-31fI-32gI-32yI-52dI-56vI-62hI-62oI-70fI-70jI
32542;02dI-02pI-30bI-31fI-32gI-32yI-52dI-56vI-62hI-62oI-70fI-70jI
32543;02dI-02pI-30bI-31fI-32gI-32yI-52dI-56vI-62hI-62oI-70fI-70jI
32544;02dI-02pI-30bI-31fI-32gI-32yI-52dI-56vI-62hI-62oI-70fI-70jI
32545;02pI-30bI-31fI-32gI-32yI-52dI-56vI-62hI-62oI-70fI-70jI
32546;02pI-30bI-31fI-32gI-32yI-52dI-56vI-62hI-62oI-70fI-70jI
32547;02pI-30bI-31fI-32gI-32yI-52dI-56vI-62hI-62oI-70fI-70jI
32548;02pI-12aI-30bI-31fI-32gI-32yI-40nI-41vI-42uI-52dI-56vI-62hI-62oI-70fI-70jI
32549;02pI-12aI-30bI-31fI-32gI-32yI-40nI-41vI-42uI-52dI-56vI-62hI-62oI-70fI-70jI
32550;02pI-12aI-30bI-31fI-32gI-32yI-41vI-42uI-52dI-56vI-62hI-62oI-70fI-70jI
32551;02pI-41vI-60xI-60yI-81cI
32552;02pI-41vI-60xI-60yI-81cI
32553;02pI-41vI-60xI-60yI-81cI
32554;02pI-41vI-44eI
32555;02pI-30mI-30nI-40pI-41rI-43tI-71iI
32556;02pI-30mI-30nI-40pI-43tI-71iI
32557;B02R
32569;02pI-41vI
32571;02pI
32575;B02I
32576;02pI
32577;02pI-65eI
32578;02pI-65eI
32579;02pI-41vI
32580;02pI-41vI
32581;02pI-41vI
32582;02pI-41vI
32583;02pI-41vI-65rI
32584;02pI-41vI-60lI-60yI
32585;02pI-41vI-60lI-60yI
32586;02pI-60lI-60yI
32587;02pI
32588;02pI-60lI
32589;02dI-02pI-41vI-60kI
32590;02dI-02pI-41vI-60kI
32591;02dI-02pI-41cI-41qI-60kI
32592;02dI-02pI-42fI-60kI
32593;02dI-02pI-42fI-60kI
32594;02dI-02pI-42fI
32595;02dI-02pI-42fI-42hI-60xI
32596;02dI-02pI-42fI-42hI-60xI
32597;02dI-02pI-42fI-42hI
32598;02dI-02pI-12qI-12rI-30mI-30nI-41vI-42fI-42hI-81cI
32599;02aI-02dI-02kI-02pI-41qI-41vI-42hI-42uI
32600;02aI-02kI-12aI-12bI-30dI-30eI-41qI-42fI-42uI-42wI-81sI
32601;02aI-02kI-12aI-12bI-30dI-30eI-41qI-42uI-42wI-81sI
32602;02aI-02kI-12aI-12bI-30dI-30eI-40bI-40gI-41qI-42uI-42wI-71zI-81sI
32603;02aI-02kI-42uI-42wI
32604;02aI-02kI-42uI-42wI
32605;02aI-02kI-42uI-42wI-60lI
32606;02aI-02kI-42uI-42wI-60lI
32607;02aI-02kI-42wI
32608;02aI-02kI-42wI-60yI
32609;02aI-02kI-41rI-60yI
32610;02aI-02kI-41rI-60yI
32611;02aI-02kI-41rI-60yI
32612;02aI-02kI-60yI
32613;02kI-60yI
32614;02kI-60yI
32615;02kI-60yI
32616;02kI-60yI
32617;02kI-12rI-40pI-71iI
32618;02kI-12rI-41cI-41qI-42wI
32619;02kI-12rI-41cI-41qI-42wI
32620;02kI-40gI-41qI-42uI-60lI
32621;02kI-40gI-41qI-42uI-60lI
32622;02kI-40bI-40gI-41cI-41qI-42uI-42wI-60lI
32623;02kI-12aI-30dI-30eI-40bI-40gI-41cI-41qI-42uI-42wI-60lI-71zI-81sI
32624;02kI-12aI-30dI-30eI-40bI-40gI-41cI-41qI-42uI-42wI-60lI-71zI-81sI
32625;02kI-12aI-30dI-30eI-40bI-40gI-41cI-41qI-42uI-42wI-43jI-60lI-71zI-81sI
32626;02kI-12aI-40bI-41cI-42uI-42wI-81sI
32627;02kI-12aI-40bI-41cI-42uI-42wI-81sI
32628;02kI-44eI-60kI-60lI-81sI
32629;02kI-44eI-60kI-60lI-81sI
32630;02kI-12aI-42uI-42wI-44uI
32631;02dI
32632;02kI
32633;02aI-02kI-10aI-10bI-10cI-10dI-10jI-10tI-11fI-13gI-14hI-16hI-16iI-20aI-20jI-20zI-30qI-30rI-31dI-32eI-32hI-50uI-52aI-56oI-57pI-62mI-62nI-70gI-70hI-70iI-80jI-80kI-80lI
32634;02kI-12aI-42uI-42wI-43tI-44uI
32635;02kI-44uI
32636;02kI-44uI
32637;02kI-44uI
32638;02aI-02kI-30rI-31dI-32eI-32hI-52aI-56oI-57pI-62mI-62nI-70gI-70hI-70iI
32639;02aI-02kI-30rI-31dI-32eI-32hI-52aI-56oI-57pI-62mI-62nI-70gI-70hI-70iI
32640;02aI-02kI-30rI-31dI-32eI-32hI-52aI-56oI-57pI-62mI-62nI-70gI-70hI-70iI
32641;02aI-02kI-10aI-10bI-10cI-10dI-10jI-10tI-11fI-13gI-14hI-16hI-16iI-20aI-20jI-20zI-30qI-30rI-31dI-32eI-32hI-52aI-56oI-57pI-62mI-62nI-70gI-70hI-70iI-80jI-80lI
32642;02aI-02kI-10aI-10bI-10cI-10dI-10jI-10tI-11fI-13gI-14hI-20aI-20jI-20zI-30qI-30rI-31dI-32eI-32hI-52aI-56oI-57pI-62mI-62nI-70gI-70hI-70iI-80jI-80lI
32643;02aI-02kI-10aI-10bI-10cI-10dI-10jI-10tI-13gI-14hI-20aI-20jI-20zI-31dI-32eI-32hI-52aI-56oI-62mI-62nI-70gI-70hI-70iI-80jI-80kI-80lI
32644;02aI-02kI-10aI-10bI-10cI-10dI-10jI-10tI-13gI-14hI-20aI-20jI-20zI-31dI-32eI-32hI-52aI-56oI-62mI-62nI-70gI-70hI-70iI-80jI-80kI-80lI
32645;02aI-02kI-10aI-10bI-10cI-10dI-10jI-10tI-13gI-14hI-20aI-20jI-20zI-31dI-32eI-32hI-52aI-56oI-62mI-62nI-70gI-70hI-70iI-80jI-80kI-80lI
32646;02aI-02kI-10aI-10bI-10cI-10dI-10jI-10tI-13gI-14hI-20aI-20jI-20zI-31dI-32eI-32hI-52aI-56oI-62mI-62nI-70gI-70hI-70iI-80jI-80kI-80lI
32647;02aI-02kI-10aI-10bI-10cI-10dI-10jI-10tI-13gI-14hI-16hI-20aI-20jI-20zI-31dI-32eI-52aI-56oI-70gI-70hI-70iI-80jI-80kI-80lI
32648;02aI-02kI-10aI-10bI-10cI-10dI-10jI-10tI-11eI-13gI-14hI-16hI-16iI-20aI-20jI-20zI-31dI-32eI-52aI-56oI-70gI-70hI-70iI-80jI-80kI-80lI
32649;02aI-02kI-10aI-10bI-10cI-10dI-10jI-10tI-11eI-13gI-14hI-16hI-16iI-20aI-20jI-20zI-31dI-32eI-52aI-56oI-70gI-70hI-70iI-80jI-80kI-80lI
32650;02aI-02kI-10aI-10bI-10cI-10dI-10jI-10tI-11eI-13gI-14hI-16hI-16iI-20aI-20jI-20zI-31dI-32eI-52aI-56oI-70gI-70hI-70iI-80jI-80kI-80lI
32651;02aI-02kI-10aI-10bI-10cI-10dI-10jI-10tI-11eI-13gI-14hI-16hI-16iI-20aI-20jI-20zI-31dI-32eI-52aI-56oI-70gI-70hI-70iI-80jI-80kI-80lI
32652;02aI-02kI-10aI-10bI-10cI-10dI-10jI-10tI-11eI-13gI-14hI-16hI-16iI-20aI-20jI-20zI-31dI-32eI-52aI-56oI-70gI-70hI-70iI-80jI-80kI-80lI
32653;02aI-02kI-10aI-10bI-10cI-10dI-10jI-10tI-11eI-13gI-14hI-16hI-16iI-20aI-20jI-20zI-31dI-32eI-52aI-56oI-70gI-70hI-70iI-80jI-80kI-80lI
32654;02aI-02kI-10aI-10bI-10cI-10dI-10jI-10tI-11eI-11fI-12qI-12rI-13gI-14hI-16hI-16iI-20aI-20jI-20zI-31dI-32eI-52aI-56oI-70gI-70hI-70iI-80jI-80kI-80lI-81cI
32655;02aI-02kI-10aI-10bI-10cI-10dI-10jI-10tI-11eI-11fI-12qI-12rI-13gI-14hI-16hI-16iI-20aI-20jI-20zI-31dI-32eI-52aI-56oI-70gI-70hI-70iI-80jI-80kI-80lI-81cI
32656;02aI-02kI-10aI-10bI-10cI-10dI-10jI-10tI-11eI-11fI-12qI-12rI-13gI-14hI-16hI-16iI-20aI-20jI-20zI-31dI-32eI-52aI-56oI-70gI-70hI-70iI-80jI-80kI-80lI-81cI
32657;02aI-02kI-10aI-10bI-10cI-10dI-10jI-10tI-11eI-11fI-12qI-12rI-13gI-14hI-16hI-16iI-20aI-20jI-20zI-31dI-32eI-52aI-56oI-70gI-70hI-70iI-80jI-80kI-80lI-81cI
32658;02aI-02kI-10aI-10bI-10cI-10dI-10jI-10tI-11eI-11fI-12qI-12rI-13gI-14hI-16hI-16iI-20aI-20jI-20zI-31dI-32eI-52aI-56oI-70gI-70hI-70iI-80jI-80kI-80lI-81cI
32659;02aI-02kI-10aI-10bI-10cI-10dI-10jI-10tI-11eI-11fI-12qI-12rI-13gI-14hI-16hI-16iI-20aI-20jI-20zI-31dI-32eI-52aI-56oI-70gI-70hI-70iI-80jI-80kI-80lI-81cI
32660;02aI-02kI-10aI-10bI-10cI-10dI-10jI-10tI-11eI-11fI-12qI-12rI-13gI-14hI-16hI-16iI-20aI-20jI-20zI-31dI-32eI-52aI-56oI-70gI-70hI-70iI-80jI-80kI-80lI-81cI
32661;02aI-02kI-10aI-10bI-10cI-10lI-10mI-11eI-11qI-11rI-12aI-12bI-13sI-14hI-16hI-16iI-20lI-20vI-20wI-31dI-32eI-52dI-56vI-70gI-70hI-70iI-80jI-80kI-80lI
32662;02aI-02kI-10aI-10bI-10cI-14hI-16hI-16iI-31dI-32eI-70gI-70hI-70iI-80jI-80kI-80lI
32663;02aI-02kI-10aI-10bI-10cI-14hI-14tI-16hI-16iI-31dI-32eI-70gI-70hI-70iI-80jI-80kI-80lI
32664;02aI-02kI-10aI-10bI-10cI-14hI-16hI-16iI-31dI-32eI-80jI-80kI-80lI
32665;02aI-02kI-10aI-10bI-10cI-14hI-16hI-16iI-31dI-32eI-80jI-80kI-80lI
32666;02aI-02kI-10aI-10bI-10cI-14hI-16hI-16iI-31dI-32eI-80jI-80kI
32667;02aI-02kI-10aI-10bI-10cI-14hI-16hI-16iI-31dI-32eI-80hI-80jI-80kI
32668;02aI-02kI-10aI-10bI-10cI-14hI-16hI-16iI-31dI-32eI-32hI-57pI-62mI-62nI-80jI-80kI-80lI
32669;02aI-02kI-10aI-10bI-10cI-14hI-16hI-16iI-31dI-32eI-32hI-57pI-62mI-62nI-80jI-80kI-80lI
32670;02aI-02kI-10aI-10bI-10cI-14hI-16hI-16iI-31dI-32eI-32hI-57pI-62mI-62nI-80jI-80kI-80lI
32671;02aI-02kI-10aI-10bI-10cI-14hI-16hI-16iI-31dI-32eI-32hI-57pI-62mI-62nI-80jI-80kI-80lI
32672;02aI-02kI-10aI-10bI-10cI-14hI-16hI-16iI-31dI-32eI-32hI-57pI-62mI-62nI-80jI-80kI-80lI
32673;02aI-02kI-10aI-10bI-10cI-14hI-16hI-16iI-31dI-32eI-32hI-57pI-62mI-62nI-80jI-80kI-80lI
32674;02aI-02kI-10aI-10bI-10cI-14hI-16hI-16iI-31dI-32eI-32hI-57pI-62mI-62nI-80jI-80kI-80lI
32675;02aI-02kI-10aI-10bI-10cI-31dI-32eI-32hI
32676;02aI-02kI-10aI-10bI-10cI-31dI-32eI-32hI
