paradas;servicios
PA183;210R-210vR-221eI-302NI-345R-346NR-385R-403R-412R-418R-516R-518R-519eR-F30NI-I08NR-I10NR
PA184;125I-210R-210vR-302NI-345R-346NR-385R-401R-401NR-403R-405R-419R-421R-423R-518R-541NR-F30NI
PA185;210R-210vR-221eI-345R-346NR-385R-412R-418R-516R-518R-I08NR-I10NR
PA186;210R-210vR-345R-346NR-385R-406R-407R-412R-418R-422R-426R-427R-513R-I08NR-I10NR
PA187;210R-210vR-221eI-345R-346NR-385R-406R-407R-412R-418R-422R-426R-427R-513R-I08NR-I10NR-J03I
PA19;113I-115I-H07R-I01I
PA190;217eI
PA191;218eI-221eI
PA193;222eI
PA195;307I-307eI-404R-517I-B02NI
PA196;214R-226I-229I-301I
PA197;214R-226I-229I-301I-301eI
PA198;229R-301R
PA199;227I-H13R
PA2;109I-109NI-406I-422I-426I-507I-513I-B26I-J16I
PA20;113I-115I
PA200;227I
PA202;227I-D05R
PA203;227I
PA204;227I
PA205;227I
PA206;227R
PA207;227R
PA208;227R
PA209;227R
PA21;113I-115I
PA210;227R
PA212;201R-223R-229R-301R-301eR
PA213;301R-509I
PA214;121I-502R-502cR-503R-517R
PA215;210I-210vI-229I-301I-301eI-385I-403I-422I-513I-516I-519eI-F30NR-I08NI-I10NI
PA218;201R-223R-301R-509I
PA219;301R-509I
PA22;113I-115I
PA220;119R-301R-509I
PA221;119R-121R
PA222;402I
PA223;402I
PA224;402I
PA225;402I
PA226;121R-402I
PA228;504I-J03I
PA229;302I-504I-J03I
PA23;113I-115I-509I
PA230;302I-403I
PA231;302I-302eI-403I
PA232;302I-302NI-302eI
PA233;125I-302I-302NI-510I
PA234;302I-302NI
PA235;125R-302R-302NR
PA236;125R-302R-302NR
PA237;125R-302R-302NR
PA238;125R-302R-302NR
PA239;125R-302R-302NR
PA24;113I-115I-509I
PA240;125R-302R-302NR
PA241;302R-302NR
PA243;403R
PA244;302R-303eR
PA245;303R-307I-314I-B29R
PA246;119I-402R-505R
PA247;402R
PA248;402R-505R
PA249;402R-505R
PA25;113I-115I-D03R
PA250;402R-505R
PA251;402R-505R
PA259;307I-314I-314eR-517R-B27R
PA26;113I-115I
PA260;307I-314I-314eR-502cR-517R
PA261;214I-303R-307I-307eR-314I-314eR
PA262;214I-303R-307I-314I-314eR
PA263;303R-307I-314I-314eR
PA264;504R-505R-508R-514R
PA265;303R-307I-314I-409I-B29R
PA27;229R-301eR
PA270;119I
PA271;119I-J03I
PA272;119I-121I-J03I
PA273;119I-121I
PA274;119I-121I
PA275;119I-121I
PA276;119I-121I
PA277;119I-507R
PA278;507R
PA279;119I-511I-I18R
PA28;106I-303I-314I-314eI-315eI-404I-419I-423I-424I-518I
PA280;119I-345R-511I-I18R
PA281;119I-345R-511I-I18R
PA282;119I
PA283;119I
PA284;119I
PA285;119I-511I
PA286;119I-121I
PA287;119R-345I-H07R
PA288;345I-511R-H07R
PA289;119R-506I-506eI-506vI-509I
PA29;226I-229I-301I-301eI
PA290;506I-506vI-509I
PA291;119R-121R
PA292;119R-121R
PA293;119R-121R
PA294;119R-121R
PA295;119R-121R-J03I-J10I
PA296;119R-121R-J03I-J10I
PA297;119R-505I-508I-514I-J19I
PA298;119R-505I-508I-514I-J19I
PA299;301R-402I-502I-502cI-503I-509I-517I
PA3;109I-109NI-345R-406I-422I-426I-507I-513I-B26I-J16I
PA30;113R-115R-201I-223I-509R
PA300;402I-404R-502I-502cI-503I-509I-517I
PA302;504R-505R-508R-514R
PA303;303R-307I-307eR-312eR-314I-314eR-316eR-B29R
PA305;121I
PA307;121I
PA308;121I
PA309;121I-J10R
PA31;113R-115R-201I-223I-509R
PA310;121I-J10R
PA311;121I
PA312;121I-J10R
PA313;121I
PA314;121I
PA315;121I
PA316;121I
PA318;121R
PA319;121R
PA32;113R-115R-509R
PA320;121R
PA321;121R
PA322;121R-507R
PA323;121R-J03I-J10I
PA324;121R-J03I-J10I
PA325;J10I
PA326;J10I
PA327;J10I
PA329;214R-307I-307eI-B02NI-B03I-B04I-B20I-B30NI
PA33;113R-115R-509R
PA331;313eI
PA332;504I-505I-508I-514I
PA334;504I-505I-508I-517I-B02NI
PA335;507I-510I-513I-516I
PA336;210I-210vI-221eR-412I-418I-419I-423I-424I
PA337;210I-210vI-221eR-412I-418I-419I-423I-424I-510I
PA338;302NR-345I-346NI-401I-401NI-405I-406I-407I-412I-418I-421I-426I-427I-541NI
PA339;125R-302NR-401I-401NI-406I-407I-421I-424I-426I-427I-516I-519eI-541NI-I08NI-I10NI
PA34;113R-115R-509R
PA340;401I-401NI-407I-412I-418I-421I-427I-541NI
PA341;401I-401NI-405I-406I-407I-412I-418I-421I-426I-427I-516I-519eI-541NI
PA342;106I-401I-401NI-403I-407I-419I-421I-423I-427I-513I-516I-519eI-541NI
PA343;106R-401R-401NR-405R-419R-421R-423R-541NR
PA344;106R-125I-302NR-346NI-401R-401NR-405R-419R-421R-423R-424R-541NR
PA345;106R-125I-401R-401NR-404R-405R-419R-421R-423R-424R-541NR
PA346;106R-401R-401NR-405R-419R-421R-423R-541NR
PA347;106R-401R-401NR-405R-419R-421R-423R-510R-516R-541NR
PA348;106R-401R-401NR-404R-405R-419R-421R-423R-424R-510R-516R-541NR-J10R
PA349;106R-401R-401NR-404R-405R-419R-421R-423R-424R-510R-516R-541NR-J10R
PA35;125I-302I-302NI-510I
PA350;106I-404I-405I-419I-423I
PA352;303I-314I-314eI-315eI-402I-502I-502cI-503I-517I-518I-B29I
PA353;402I-502I-502cI-503I
PA354;402R-409R
PA355;402R-505R
PA357;422R-D03R-H13I
PA358;422R-H13I
PA359;422R-H13I
PA36;125I-302I-302NI-510I
PA360;422R
PA361;422R-518R
PA362;422R-518R
PA364;404R-517I
PA365;404R-412R-418R-424R-516R-519eR-I08NR-I10NR
PA366;404R-424R
PA367;346NR-404R-424R-510R-516R-I08NR-I09R-I09eR-I10NR-I14R-J10R-J13I
PA368;405I-406I-422I-426I-507I-513I
PA369;401I-401NI-405I-406I-407I-421I-426I-427I-541NI
PA37;125I-302I-302NI
PA370;401I-401NI-405I-406I-407I-421I-426I-427I-541NI
PA371;303I-307I-307eI-314I-314eI-315eI-405I-406I-426I
PA372;405I-406I-426I
PA373;116R-303I-406R-407R-426R-427R-513R
PA374;406R-407R-422R-426R-427R-I08NI-I10NI
PA375;406R-407R-422R-426R-427R-513R
PA376;406R-407R-422R-426R-427R-513R
PA377;406R-407R-422R-426R-427R-513R
PA378;406R-422R-426R
PA38;125I-302I-302NI
PA380;408I-408eI-B20R
PA383;412I-418I-503I-505I-508I-514I-515NI-517I
PA384;412R-418R-514R-515NR
PA385;412R-418R-516R-519eR
PA387;502I-502cI-503I-504I-517I-518I-B26R-J03I
PA388;502I-502cI-503I-504I-517I-518I-B26R-J03I
PA39;125I-302I-302NI
PA390;502I-502cI-503I-504I-517I-518I-J03I-J10R
PA391;502I-502cI-503I-504I-517I-518I-J03I
PA392;502I-502cI-503I-504I-517I-518I-J03I
PA393;502cR-504R-505R-508R-517R-B27R
PA395;502cR-504R-505R-508R
PA396;502R-502cR-503R-509R-517R
PA397;502R-502cR-503R-517R
PA4;109R-109NR-406R-422R-426R-507R-513R-J16I
PA40;505I-508I-514I-515NI-517I-B02NI
PA405;502I-502cI-503I-504I-517I-518I-J03I-J10R
PA409;502I-502cI-503I-B27I
PA41;106R-401R-401NR-405R-419R-421R-423R-514R-515NR-541NR
PA410;502I-502cI-503I-B27I
PA411;502I-502cI-B27I
PA412;502R-502cR-503R-504R-517R-518R
PA413;502R-502cR-503R-504R-517R-518R
PA414;502R-502cR-503R-504R-517R-518R
PA415;502R-502cR-503R-504R-517R-518R-J03I
PA416;503R-504R-517R-518R
PA417;504I-505I-508I-514I
PA419;H13R
PA42;210R-210vR-403R-406R-407R-412R-418R-426R-427R-513R-516R-519eR-B02NR-F30NI
PA420;504I-518I
PA421;504R-505R-508R-514R
PA422;504R-505R-508R-514R
PA423;504R-505R-508R-514R
PA424;504R
PA425;504R-518R
PA426;504R-518R
PA427;505I-508I-514I-B28I-J01I-J02I-J05I-J19I
PA428;505I-508I-514I-B28R-J02I-J05I-J19I
PA429;505I-508I-514I-J19I
PA43;116R-303R-514R-515NR
PA430;505I-508I-514I-J19I
PA431;505R
PA433;506I-506eI-506vI-507I-509I
PA434;506I-506vI-507I-509I
PA435;506I-506eI-506vI-507I-507cI-510I
PA436;506I-506vI-507I-507cI-510I
PA438;506I-506vI-507I-507cI-510I-H06R
PA439;506I-506eI-506vI-507I-507cI-510I
PA44;303R-514R-515NR
PA440;506I-506vI-507I-507cI-510I
PA442;506I-506vI-507I-507cI-510I
PA443;506R-506vR-507R-507cR-510R
PA444;506R-506vR-507R-507cR-510R
PA445;506R-506vR-507R-507cR-510R
PA446;506R-506vR-507R-507cR-510R
PA447;506R-506eR-506vR-507R-507cR-510R
PA448;506R-506eR-506vR-507R-507cR-510R
PA449;506R-506vR-507R-507cR-510R
PA450;506R-506eR-506vR-507R-507cR-509R-510R
PA451;506R-506vR-509R
PA452;506R-506eR-506vR-509R
PA453;506R-506vR-509R
PA454;506R-506eR-506vR-509R
PA455;507I
PA456;507I
PA457;507I
PA458;507I
PA459;507R
PA46;503I
PA460;508R-514R-J03I-J19I
PA461;508R-514R-J19R
PA462;508R-514R-J19R
PA463;508R-514R-J19R
PA465;509I
PA466;509I
PA467;509I
PA468;509I
PA469;510I
PA47;116R-502cR-517R
PA470;510R
PA471;510R
PA472;510R
PA474;J02I-J05I
PA476;307I-307eI-B02I-B02NI-B04I-B15R-B20I-B23I-B27I-B30NI
PA477;B15R
PA478;D03I
PA479;D03I
PA48;201I-201eI-223I-301I
PA480;D03I
PA481;D03I
PA482;D03I
PA483;D03I
PA487;519eI
PA488;D03R
PA489;D03R
PA49;119I-201I-223I-301I-402R-408R-409I-509R
PA490;D03R
PA491;D03R
PA492;D03R
PA493;D03R
PA494;113I-115I-D03R
PA495;511I-D05I-D07R-H07R-H13I
PA496;511I-D05I-D07R-H07R-H13I
PA497;511I-D05I-D07R-H07R-H13I
PA498;511I-D05I-D07R-H07R-H13I
PA499;511I-D05I-H07R-H13I
PA5;406R-422R-426R-507R-513R-514I-B26R-B28R-J01R-J02I-J05I-J16I-J19I
PA50;201I-223I-301I-509R-518I-B29I
PA500;D05I
PA501;D05I
PA502;D05I-H07R
PA503;D05R-H13R
PA504;D05R-H13R
PA505;511R-D05R-H07I-H13R
PA506;511R-D05R-H07I-H13R
PA507;511R-D05R-H07I-H13R-I01R
PA508;511R-D05R-H07I-H13R-I01R
PA509;511R-D05R-D07I-E04I-H06R-H07I-H13R-I01R
PA51;201I-223I-301I-509R-518I
PA510;I01R
PA511;I01R
PA513;H06R
PA514;H06R
PA515;H06R
PA516;H06R
PA517;H06R-H07R
PA52;201I-223I-301I-303I-314I-314eI-315eI-509R-518I
PA527;I01R
PA53;201I-223I
PA531;511I-E04R-H12R
PA532;511R-H07I-I01R
PA534;511R-H07I-I01R
PA535;511R-H07I
PA536;H07I
PA537;511I-H07R-I01I
PA538;H07R-I01I
PA539;H07R-I01I
PA54;201I-223I-D03I
PA541;D05R-D07I
PA542;H13I
PA543;422I-H13R
PA544;E04I-H14I
PA547;J01R-J02I-J05I-J16I
PA55;201I-214R-223I-226I-229I-301I-D03I
PA551;345R-346NR-510R-516R-I08NR-I10NR-J02I-J05I
PA552;B26R-I17I-J02I-J05I
PA556;J02I-J05I
PA558;J02I-J05I
PA56;201I-214R-223I-226I-229I-301I
PA562;B26R-I17I-J02I-J05I
PA563;B26R-I17I-J02I-J05I
PA569;I01R
PA57;201I-214R-223I-226I-229I-301I-301eI
PA570;I01R
PA571;I01R
PA572;I01R
PA573;113R-115R-125I-H07I-I01R
PA574;113R-115R-125I-345R-H07I-I01R
PA579;I09R-I09eR
PA58;201I-214R-223I-226I-229I-301I
PA585;518R-H13I
PA587;116R-214I
PA589;345R-511I-I18R
PA590;345R-511I
PA591;345R-511I-I18R
PA592;345R-I18R
PA593;511R-H07I-I01R
PA594;511R-H07I-I01R
PA595;511R-H07I-I01R
PA596;511R-H07I-I01R
PA597;345R-511I-B26R-J13R
PA598;303I-314I-314eI-315eI-406I-426I-516I
PA599;109I-406I-422I-426I-507I-513I-514R-B26I-I17R-J16I-J19R
PA6;109R-109NR-406R-422R-426R-514I-B26R-B28R-J19I
PA60;201I-214R-223I-226I-229I-301I-301eI
PA600;121R-402I
PA601;119R-121R
PA602;J10R
PA603;J10R
PA605;H07R-I01I
PA606;H07R-I01I
PA608;H13I
PA609;H13I
PA61;201I-214R-223I-226I-229I-301I
PA610;H13I
PA611;H13I
PA612;H13I
PA613;H13I
PA614;H07R-H13I
PA615;D03I-H13I
PA617;H13R
PA618;H13R
PA619;H13R
PA62;201I-214R-223I-226I-229I-301I-301eI-H06R-H12R-H13R-H14R
PA620;H13R
PA621;J03I
PA622;J03I
PA626;404I-B02NR-B30NR
PA627;201I-214R-223I-226I-229I-301I
PA629;H13R
PA63;201R-214I-223R-226R-229R-301R-H06I-H12I-H13I-H14I
PA630;113R-115R
PA633;113R-115R
PA634;113R-115R-511I
PA635;113R-115R
PA636;H12I
PA637;511R-H07I
PA638;511I-H07R-H13I
PA639;511I-H07R-H13I
PA64;201R-214I-223R-226R-229R-301R-511I-D05I-D07R-H06I-H13I
PA640;514R-J19R
PA641;514R-J19R
PA642;514R-J19R
PA643;J02I-J05I
PA65;201R-214I-223R-226R-229R-301R-H06I
PA652;201eI-261eI
PA654;214R-230I
PA655;I14I-I17I-I18I
PA656;I09I-I09eI
PA657;401I-401NI-405I-406I-407I-412I-418I-421I-426I-427I-541NI-J10I
PA658;506I-506eI-506vI-507I-507cI-510I
PA659;113R-115R-125I-345R-H04I-H07I-I01R
PA66;201R-214I-223R-226R-229R-301R-H06I
PA660;I01R
PA661;I01R
PA662;113I-115I
PA663;205I-206I-209I
PA664;345R
PA665;301R-509I
PA666;506I-506vI-507I-507cI-510I
PA667;313eI
PA668;403I-404I-422I-513I
