code;name;latitude;longitude;services
PA1;Parada 6 / (M) Quinta Normal;-33.4401;-70.68;109-406-422-426-505-507-508-513-B26-B28-J01-J02-J05-J16
PA10;Bascuñán Guerrero Esq. / Avenida El Mirador;-33.4668;-70.6716;109-109N-119-345-511-I18
PA100;Parada 2 / Persa Biobío;-33.474;-70.6419;203-206-385
PA101;Parada 2 / Franklin Santa Rosa;-33.472;-70.642;203-203e-206-206e-385
PA102;Parada 2 / Sargento Aldea Santa Rosa;-33.4686;-70.6422;203-206-385-I01
PA103;Parada 2 / Miguel León Prado Santa Rosa;-33.4646;-70.6424;203-206-385-I01
PA104;Parada 2 / Hospital Sn. Borja Arriarán;-33.4609;-70.6429;203-203e-206-206e-385-I01
PA105;Parada 2 / Colegio María Auxiliadora;-33.4577;-70.6433;203-203e-206-206e-385
PA106;Parada 2 / Colegio Santa María;-33.4521;-70.6441;203-206-385
PA107;Parada 2 / Cóndor Santa Rosa;-33.4499;-70.6445;203-203e-206-206e-214-226-385
PA108;Parada 4 / Eleuterio Ramírez Santa Rosa;-33.4469;-70.6451;203-206-214-226-385
PA109;Parada 8 / (M) Santa Lucía;-33.4434;-70.646;203-203e-208-B30N-B31N
PA11;Bascuñán Guerrero Esq. / Fray De La Peña;-33.4627;-70.6725;109-109N-119-345-511-I18
PA111;Parada 2 / Iglesia La Merced;-33.4383;-70.6469;203-208-B02N-B30N-B31N
PA112;Parada 2 / Casa De Los Velasco;-33.436;-70.6473;203-208-B02N-B30N-B31N
PA113;Parada 3 / Mercado Central;-33.4338;-70.6478;203-208-B02N-B27-B30N-B31N
PA114;Parada 2 / Huérfanos Mac Iver;-33.4396;-70.6467;203e-206-206e-207e-214-226-230-404
PA115;Parada 6 / (M) Santa Lucía;-33.4433;-70.6459;204-204e
PA116;Carmen Esq. / Sara Del Campo;-33.4442;-70.6431;204-205-209
PA117;Carmen Esq. / Marín;-33.4473;-70.6424;204
PA118;Carmen Esq. / Santa Isabel;-33.4497;-70.6417;204-204e
PA119;Carmen Esq. / Av. 10 De Julio;-33.4525;-70.6409;204
PA12;Bascuñán Guerrero Esq. / Av. Blanco Encalada;-33.4587;-70.6735;109-109N-119-345-511-I18
PA120;Carmen Esq. / Coquimbo;-33.4543;-70.6405;204
PA121;Carmen Esq. / Av. Manuel A. Matta;-33.4571;-70.6397;204-204e
PA122;Carmen Esq. / Santa Elvira;-33.4605;-70.6388;204
PA123;Carmen Esq. / M. León Prado;-33.4633;-70.6381;204-204e
PA124;Carmen Esq. / Maule;-33.4659;-70.6374;204
PA125;Carmen Esq. / Ñuble;-33.4682;-70.6368;204
PA126;Carmen Esq. / Franklin;-33.4722;-70.6357;204-D07
PA127;Sierra Bella Esq. / Franklin;-33.4725;-70.6329;204
PA128;Sierra Bella Esq. / Ñuble;-33.4684;-70.6339;204
PA129;Sierra Bella Esq. / Maule;-33.466;-70.6346;204
PA13;Bascuñán Guerrero Esq. / Toesca;-33.4561;-70.6741;109-109N-345-507-511-I18
PA130;Sierra Bella Esq. / M. León Prado;-33.4635;-70.6352;204-204e
PA131;Sierra Bella Esq. / Santa Elvira;-33.4603;-70.6361;204
PA132;Sierra Bella Esq. / Av. Manuel A. Matta;-33.4574;-70.6368;204-204e
PA133;Lira Esq. / Coquimbo;-33.4548;-70.6373;204
PA134;Lira Esq. / Av. 10 De Julio;-33.4524;-70.6379;204
PA135;Lira Esq. / Santa Isabel;-33.4494;-70.6389;204-204e
PA136;Lira Esq. / General Jofré;-33.4462;-70.64;204
PA137;Curicó Esq. / San Isidro;-33.4462;-70.6439;204-204e-205-209
PA138;Parada 7 / (M) Santa Lucía;-33.4436;-70.6458;205-205e-209-209e
PA139;Parada 1 / Eyzaguirre San Francisco;-33.4518;-70.6468;205-205e-207e-209-209e-230
PA14;Bascuñán Guerrero Esq. / Sazié;-33.4529;-70.6748;109-109N-345-507-511-B26-I09-I09e-I18-J13
PA140;Parada 1 / Copiapó San Francisco;-33.4547;-70.6464;205-209-230
PA141;Parada 1 / Av. Matta San Francisco;-33.4584;-70.6455;205-205e-207e-209-209e-230
PA142;Parada 1 / Hospital Sn. Borja Arriarán;-33.4615;-70.645;205-205e-207e-209-209e-230
PA143;Parada 1 / Victoria San Francisco;-33.4649;-70.6446;205-209-230
PA144;Parada 1 / General Gana San Francisco;-33.4701;-70.644;205-209-227-230
PA145;Parada 1 / Matadero Franklin;-33.4729;-70.6439;205-205e-207e-209-209e-227-230
PA146;Parada 4 / Persa Biobío;-33.475;-70.6419;205-209-227-230-D07-E04
PA147;Parada 4 / Franklin Santa Rosa;-33.4727;-70.642;205-205e-207e-209-209e-227-230
PA148;Parada 4 / Ñuble Santa Rosa;-33.4698;-70.6422;205-209-227-230
PA149;Parada 4 / Pedro Lagos Santa Rosa;-33.466;-70.6423;205-209-227-230-I01
PA15;Parada / Estadio Victor Jara;-33.4505;-70.6754;109-109N-345-507-511-B26-I09-I09e-I14-I17-I18-J13
PA150;Parada 4 / Hospital Sn. Borja Arriarán;-33.4616;-70.6428;205-205e-207e-209-209e-230
PA151;Parada 4 / Colegio María Auxiliadora;-33.4586;-70.6431;205-205e-207e-209-209e-230-I01
PA152;Parada 4 / Diez De Julio Santa Rosa;-33.4536;-70.6439;205-209-230
PA153;Parada 4 / Santa Isabel Santa Rosa;-33.4509;-70.6443;205-205e-207e-209-209e-230
PA154;Parada 2 / Curicó Santa Rosa;-33.4477;-70.6449;205-209-230
PA155;Parada / Cerro Santa Lucía;-33.4394;-70.6442;504
PA156;Parada 1 / (M) Santa Lucía;-33.442;-70.6463;203e-206-206e-207e-214-226-230
PA158;Parada 8 / Estación Mapocho;-33.4331;-70.6525;207e-226-230
PA159;Parada 2 / Monjitas MacIver;-33.4372;-70.6471;206-226-230-404
PA16;Parada 2 / (M) Estación Central;-33.4505;-70.6784;109-109N-210-210v-221e-385-407-412-418-427-507-511-513-J16
PA160;Parada 2 / Iglesia San Pedro;-33.4348;-70.6475;203e-206-206e-226-230-404
PA161;Parada 1 / Mercado Central;-33.4333;-70.6483;207e-226-230-404
PA162;Parada 1 / Teatro Municipal;-33.4402;-70.6481;307-307e-404-B30N-B31N
PA163;Parada 1 / (M) Unión Latinoamericana;-33.4489;-70.6708;106-210-210v-345-346N-385-404-419-422-423-424-I08N-I10N
PA164;Parada 2 / (M) República;-33.4479;-70.6668;106-345-346N-385-404-422-510-513-516-I08N-I10N
PA165;Parada 7 / (M) Los Héroes;-33.4467;-70.6611;106-345-346N-385-516-519e-I08N-I10N
PA166;Parada 8 / (M) La Moneda;-33.446;-70.658;113-113e-115-125
PA167;Parada 6 / (M) Universidad De Chile;-33.4441;-70.6509;210-210v-221e-345-346N-385-403-412-418-422-513-518-F30N
PA168;Parada 4 / (M) Santa Lucía;-33.4425;-70.6445;106-210-210v-221e-345-403-419-422-423-513-516-518-519e-F30N
PA169;Parada 1 / (M) Universidad Católica;-33.4404;-70.6406;106-210-210v-303-307-307e-314-314e-315e-403-419-422-423-513-F30N
PA17;Parada 2 / Centro De Justicia;-33.4724;-70.6551;113-115-125-302-302N-511-H07-I01
PA170;Parada 6 / Plaza Italia;-33.4381;-70.6363;210-210v-213e-221e-303-307-307e-314-314e-315e-B02N-F30N
PA171;Barón P. De Coubertin Esq. / Av.Vicuña Mackenna;-33.4402;-70.6347;210-210v-307-307e-314-314e-315e-403-B02N-F30N
PA172;Parada 1 / (M) Parque Bustamante;-33.443;-70.6336;210-210v-213e-403-513-516-519e-F30N
PA174;Parada 1 / (M) Santa Isabel;-33.4482;-70.632;210-210v-213e-403-513-516-F30N
PA176;Parada 6 / (M) Irarrázaval;-33.4528;-70.6307;210-210v-F30N
PA177;Parada 4 / (M) Irarrázaval;-33.4551;-70.6301;210-210v-213e-221e-F30N
PA178;Av. Vicuña Mackenna Esq. / Victoria;-33.4597;-70.6287;210-210v-213e-227-F30N
PA179;Av. Vicuña Mackenna Esq. / M. León Prado;-33.4616;-70.6282;210-210v-227-F30N
PA18;Parada 2 / (M) Rondizzoni;-33.4706;-70.6559;113-115-125-302-302N-511-H07-I01
PA180;Av. Vicuña Mackenna Esq. / Maule;-33.4646;-70.6273;210-210v-227-F30N
PA181;Parada / (M) Ñuble;-33.4671;-70.6266;210-210v-213e-221e-F30N
PA182;Parada 2 / (M) Santa Lucía;-33.4426;-70.646;210-210v-221e-345-403-513-518-F30N
PA183;Parada 3 / (M) Universidad De Chile;-33.4438;-70.6513;210-210v-221e-302N-345-346N-385-403-412-418-516-518-519e-F30N-I08N-I10N
PA184;Parada 4 / (M) La Moneda;-33.4446;-70.6554;125-210-210v-302N-345-346N-385-401-401N-403-405-419-421-423-518-541N-F30N
PA185;Parada 3 / (M) Los Héroes;-33.446;-70.6611;210-210v-221e-345-346N-385-412-418-516-518-I08N-I10N
PA186;Parada 6 / (M) Unión Latinoamericana;-33.4486;-70.6713;210-210v-345-346N-385-406-407-412-418-422-426-427-513-I08N-I10N
