iLat;iLon;stops;services;route_segments;puntos
4;69;38295/38296;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;46-47/18-19/65-66/43/31/67-68/39-40/82-83/55/17;
4;70;34549;Linea 1I/Linea 1R;55/17;
4;84;;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;54/11/72/36/24/74/33/89/62/10-11;
4;85;;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;54-55/11/72/35-36/23-24/74/32-33/89/62-63/10;
4;86;34548/34791/34818;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;55-56-57/8-9-10-11/72-73-74/33-34-35/21-22-23/74-75-76/30-31-32/89-90-91/63-64/9-10;
4;87;34540/34541/34542/34819;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;57-58-59/6-7-8/74-75/31-32-33/19-20-21/76-77/28-29-30/91-92/64-65-66/7-8-9;
4;88;;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;59-60/5-6/75-76-77/30-31/18-19/77-78-79/27-28/92-93-94/66-67/5-6-7;
4;89;;18yI/80hI/80qI/81sI;5/77/79/94;
4;94;34881/34882/34883/49236;18pI/81cI/81sI;74-75-76-81-82-83/3-4-5-9-10-11-12/110-111-112-116-117-118;
4;95;34880/34889/34890;18pI/81cI/81sI;73-74-83-84/2-3-12-13/109-110-118-119;
4;96;34891/40282/40965/40968;18pI/80jI/80qI/81cI/81sI;84-85/10-11-12-14-15-16/96-97-98-100-101-102/1-2/119-120;
4;97;34892/40341/40343;18pI/80jI/80qI;85-86-87-88-91-92/4-5-12-13-14/98-99-100-106-107;
4;98;34531/34535/40337/40338/40339/40340;18pI/18yI/80jI/80qI/81cI/81sI;92-93/0/3-4/107-108/0/121;
4;99;34530;18pI/18yI/81cI/81sI;93-94/0/0/121-122;
5;64;;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI;43/20-21/62/45-46/33-34/64/43/79;
5;65;;18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI/Linea 1I/Linea 1R;43-44-45/20/62-63/44-45/32-33/64-65/41-42-43/79-80/50-51-52/19-20-21-22;
5;94;34884/34885/34888;18pI/81cI/81sI;76-77-80-81/5-6-8-9/112-113-115-116;
5;95;34886/34887/49232;18pI/81cI/81sI;77-78-79-80/6-7-8/113-114-115;
5;96;;80jI/80qI;9-10/102-103;
5;97;34893/40342;18pI/80jI/80qI;88-89-90-91/5-6-7-8-9/103-104-105-106;
6;61;42239;10aI/10nI/11eI/11fI/11qI/11rI;6/95/4/4/67/68;
6;62;42238;10aI/10nI/11eI/11fI/11qI/11rI;6-7-8/93-94-95/4-5-6/4-5-6/65-66-67/66-67-68;
6;63;33858/33859;10bI/10dI/10kI/12aI/12bI/12qI/12rI/13gI/13sI/16hI/16iI/16kI/16vI/17oI/18pI/18yI/80hI/80jI/80kI/80qI/81cI/81sI;14-15-16/2-3-4/114-115/73-74/71-72/0/0/0/54-55/0/0/72-73-74/75-76-77/9-10-11/42/21-22/59-60/46-47/34-35/61-62/43/76-77;
