code;name;latitude;longitude;services
33656;Obispo San Miguel / Oriente;-36.90519162;-73.03125668;10a-10c-10d-10j-10t-11e-11f-12q-13g-14h-16h-16i-17o-80j-80k
33657;Colón Viejo - Las Violetas / Oriente;-36.90125756;-73.03153735;10a-10c-10d-10j-10t-11e-11f-12q-13g-14h-16h-16i-17o-80j-80k
33658;Colón Viejo - Estadio Español / Oriente;-36.89812801;-73.03250431;10a-10c-10d-10j-10t-11e-11f-12q-13g-14h-16h-16i-17o-80j-80k
33659;Cno. A Chiguayante - Las Palmas / Oriente;-36.89058351;-73.03573893;10a-10b-10c-10d-10j-10t-11e-11f-12q-12r-13g-14h-14z-16h-16i-17a-17o-18y-80j-80k-80l-81c
33660;Cno. A Chiguayante - Pje C / Oriente;-36.88490584;-73.03741038;10a-10b-10c-10d-10j-10t-11e-11f-12q-12r-13g-14h-14z-16h-16i-17a-17o-18y-80j-80k-80l-81c
33661;Cno. A Chiguayante - Ignacio Verdugo / Oriente;-36.87967736;-73.03790326;10a-10b-10c-10d-10j-10t-11e-11f-12q-12r-13g-14h-14z-16h-16i-17a-17o-18y-80j-80k-80l-81c
33662;Cno A Chiguayante - Av. Nahuelbuta;-36.87587691;-73.03972823;10k-10l-10m-10n-10o-10p-12q-12r-13g-14t-14u-18p
33663;Cno A Chiguayante - Uno Pte / Oriente;-36.87024425;-73.04194755;10a-10b-10c-10d-10j-10t-11e-11f-12q-12r-13g-14h-14z-16h-16i-17a-17o-18y-80j-80k-80l-81c
33664;Cno. Chiguayante - Abraham Romero / Oriente;-36.86741702;-73.04267036;10a-10b-10c-10d-10j-10t-11e-11f-12q-12r-13g-14h-14z-16h-16i-17a-17o-18y-80j-80k-80l-81c
33665;Cno. A Chiguayate - Errázuriz / Oriente;-36.86552417;-73.04321222;10a-10b-10c-10d-10j-10t-11e-11f-12q-12r-13g-14h-14z-16h-16i-17a-17o-18y-80j-80k-80l-81c
33666;Pedro De Valdivia - Corina Vargas De Medina;-36.86060726;-73.04675873;10a-10b-10c-10d-10j-10t-11e-11f-12q-12r-13g-14h-14z-16h-16i-17a-17o-18y-72w-72z-80j-80k-80l-81c
33667;Colegio Concepción P. De Valdivia;-36.85745165;-73.04944123;10a-10b-10c-10d-10j-10t-11e-11f-12q-12r-13g-14h-14z-16h-16i-17a-17o-18y-72w-72z-80j-80k-80l-81c
33668;Pedro De Valdivia - Sanders / Oriente;-36.85586821;-73.04961607;10a-10b-10c-10d-10j-10t-11e-11f-12q-12r-13g-14h-14z-16h-16i-17a-17o-18y-60m-72w-72z-80j-80k-80l-81c
33669;Pedro De Valdivia - Inglesa / Oriente;-36.85285227;-73.05037687;10a-10b-10c-10d-10j-10t-11e-11f-12q-12r-13g-14h-14z-16h-16i-17a-17o-18y-60m-72w-72z-80j-80k-80l-81c
33670;Pedro De Valdivia - Av Alemana / Oriente;-36.85094153;-73.0509301;10a-10b-10c-10d-10j-10t-11e-11f-12q-12r-13g-14h-14z-16h-16i-17a-17o-18y-60m-72w-72z-80j-80k-80l-81c
33671;Pedro De Valdivia - La Mochita;-36.84693712;-73.05132337;10a-10b-10c-10d-10j-10t-11e-11f-12q-12r-13g-14h-14z-16h-16i-17a-17o-18y-60m-72w-72z-80j-80k-80l-81c
33672;Pedro De Valdivia - Arturo Junge;-36.84418059;-73.05251477;10a-10b-10c-10d-10j-10t-11e-11f-12q-12r-13g-14h-14z-16h-16i-17a-17o-18y-60m-72w-72z-80j-80k-80l-81c
33673;Pedro De Valdivia - Geswein;-36.84226726;-73.05346043;10a-10b-10c-10d-10j-10t-11e-11f-12q-12r-13g-14h-14z-16h-16i-17a-17o-18y-60m-72w-72z-80j-80k-80l-81c
33674;Pedro De Valdivia - Pje Ccu;-36.84007756;-73.05459246;10a-10b-10c-10d-10j-10t-11e-11f-12q-12r-13g-14h-14z-16h-16i-17a-17o-18y-60m-72w-72z-80j-80k-80l-81c
33675;Pedro De Valdivia - Alonso De Ercilla;-36.83862958;-73.0553356;10a-10b-10c-10d-10j-10t-11e-11f-12q-12r-13g-14h-14z-16h-16i-17a-17o-18y-60m-72w-72z-80j-80l-81c
33676;Pedro De Valdivia - Rancagua / Oriente;-36.83634741;-73.05577465;10a-10b-10c-10d-10j-10t-11e-11f-12q-12r-13g-14h-14z-16h-16i-17a-17o-18y-60m-72w-72z-80j-80k-80l-81c
33677;Arturo Prat - Chacabuco;-36.83415313;-73.05607688;10a-10b-10c-10d-10j-10t-11e-11f-12q-12r-13g-14h-14z-16h-16i-17a-17o-18y-60m-72w-72z-80j-80k-80l-81c
33678;Arturo Prat - Cochrane;-36.83348347;-73.05646385;10a-10b-10c-10d-10j-10t-11e-11f-12q-12r-13g-14h-14z-16h-16i-17a-17o-18y-60m-72w-72z-80j-80k-80l-81c
33679;Arturo Prat - San Martín;-36.83248485;-73.05712824;10a-10b-10c-10d-10j-10t-11e-11f-12q-12r-13g-14h-14z-16h-16i-17a-17o-18y-60m-72w-72z-80j-80k-80l-81c
33680;San Martín - Serrano;-36.83173801;-73.05665379;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-14z-16h-16i-17o-18y-42u-56v-72w-72z-80j-80k-80l
33681;San Martín - Salas;-36.83125892;-73.05546618;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-14z-16h-16i-17o-18y-20j-42u-56v-72w-72z-80j-80k-80l
33682;San Martín - Lincoyán;-36.83018908;-73.05288081;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-14z-16h-16i-17o-18y-20j-21q-22j-22r-22s-22x-24t-40n-42u-56v-72w-72z-80j-80k-80l-B02
33683;San Martín - Caupolicán;-36.82910908;-73.0502285;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-14z-16h-16i-17o-18y-20j-21q-22j-22r-22s-22x-24t-40n-42u-56v-72w-72z-80j-80k-80l-B02
33684;San Martín - Aníbal Pinto;-36.82861246;-73.04907506;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-14z-16h-16i-17o-18y-20j-21q-22j-22r-22s-22x-24t-40n-42u-56v-72w-72z-80j-80k-80l
33685;San Martín - Tucapel;-36.82708113;-73.04529073;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-14z-16h-16i-17o-18y-20j-21q-22j-22r-22s-22x-24t-40n-42u-56v-72w-72z-80j-80k-80l
33686;San Martín - Orompello;-36.82640682;-73.04374947;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-14z-16h-16i-17o-18y-20j-21q-22j-22r-22s-22x-24t-40n-42u-56v-72w-72z-80j-80k-80l
33687;San Martín - Ongolmo;-36.82583603;-73.04247467;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-14z-16h-16i-17o-18y-20j-21q-22j-22r-22s-22x-24t-40n-42u-56v-72w-72z-80j-80k-80l-B02
33688;San Martín - Paicaví;-36.82535661;-73.04127604;10a-10b-10c-10d-10j-11e-11f-13g-14h-14z-16h-16i-17o-18y-20j-21q-22j-22r-22s-22x-24t-40n-42u-56v-72w-72z-80j-80k-80l
33689;Picavi 358;-36.82468973;-73.04128184;10a-10b-10c-10d-11e-11f-13g-14h-16h-16i-20j-40n-80j-80k
33690;Paicaaví - Barros Arana / Oriente;-36.8232185;-73.04224988;10a-10b-10c-10d-11e-11f-13g-14h-16h-16i-20j-40n-80j-80k-80l-B02
33691;Paicaví - Freire;-36.82249538;-73.04267191;10a-10b-10c-10d-10t-11e-11f-13g-14h-16h-16i-20j-40n-80j-80k-80l-B02
33692;Paicaví - Maipú / Oriente;-36.82141612;-73.04336085;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-16h-16i-20j-40n-80j-80k-80l-B02
33693;Paicaví - Martínez De Rosas;-36.81837506;-73.04533287;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-16h-16i-20a-20j-20z-40n-41v-42f-60k-60l-80j-80k-80l-B02
33694;Paaicaví - Manuel Bulnes / Norte;-36.81662671;-73.04644231;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-16h-16i-20a-20j-20z-40n-41v-42f-60k-60l-80j-80k-80l
33695;Univ Sn Sebastián - Paicaví;-36.81473456;-73.04757778;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-16h-16i-20a-20j-20z-40n-41v-42f-60k-60l-80j-80k-80l-B02
33696;Paicaví - Bandera / Norte;-36.81268391;-73.04894141;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-16h-16i-20a-20j-20z-40n-41v-42f-60k-60l-80j-80k-80l
33697;Paicaví - Brasil / Norte;-36.81058709;-73.05023888;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-16h-16i-20a-20j-20z-40n-41v-42f-60k-60l-80j-80k-80l-B02
33698;Paicaví - Juan De Dios Rivera;-36.80839445;-73.05174047;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-16h-16i-20a-20j-20z-40n-41v-42f-60k-60l-80j-80k-80l-B02
33699;Paicaví - Ventus;-36.80628987;-73.05311644;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-16h-16i-20a-20j-20z-40n-41v-42f-60k-60l-80j-80k-80l-B02
33700;Paicaví - El Carmen;-36.80434707;-73.05446583;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-16h-16i-20a-20j-20z-40n-41v-42f-80j-80k-80l
33701;Paicaví - A Gral. Bonilla;-36.800975;-73.05660222;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-16h-16i-20a-20j-20z-40n-41v-42f-80j-80k-80l-B02
33702;Duoc - Uc / Paicaví;-36.79762983;-73.06149479;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-16h-16i-20a-20j-20z-40n-41v-42f-80j-80k-80l-B02
33703;Mall Plaza Trebol;-36.7915681;-73.07006376;10a-10b-10c-10d-10j-10t-11e-11f-13g-14h-16h-16i-20a-20j-20z-30q-40n-41v-42f-50u-80j-80k-80l-B02
