service;origin;destiny;color_id;stopsI;stopsR;scheduleI;scheduleR
02a;Centinela;;0;32599---32722---32723---32600---32601---32724---32602---32603---32604---32605---32606---32607---32608---32609---32610---32611---32612---32725---32727---32728---32729---32730---32731---32726---32732---32733---32734---32735---32736---32738---32739---32740---32741---32742---32743---32744---32745---32746---32747---32748---32749---32750---32638---32639---32640---32633---32641---32642---32643---32644---32645---32646---32647---32648---32649---32650---32651---32652---32653---32654---32655---32656---32657---32658---32659---32660---32661---32662---32663---32664---32665---32666---32667---32668---32669---32670---32671---32672---32673---32674---32675---32676---32677---32678---32502---32679---32680---32681---32682---32683---32684---32685---32686---32751---32752---32753---32737---32693;32693---32694---32695---32696---32494---32495---32496---32497---32498---32499---32500---32501---32503---32504---32505---32506---32507---32508---32509---32510---32511---32512---32513---32514---32515---32516---32517---32518---32519---32520---32521---32522---32523---32524---32525---32526---32527---32528---32529---32530---32531---32532---32533---32534---32535---32536---32537---32538---32539---32540---32541---32542---32543---32544---32631---32697---32698---32692---32699---32702---32703---32704---32705---32706---32707---32708---32709---32710---32711---32712---32713---32714---32715---32716---32717---32700---32718---32719---32720---32721---32589---32590---32591---32592---32593---32594---32595---32596---32597---32701---32598---32599;-;-
02d;Diego Portales;;0;32693---32694---32695---32696---32494---32495---32496---32497---32498---32499---32500---32501---32503---32504---32505---32506---32507---32508---32509---32510---32511---32512---32513---32514---32515---32516---32517---32518---32519---32520---32521---32522---32523---32524---32525---32526---32527---32528---32529---32530---32531---32532---32533---32534---32535---32536---32537---32538---32539---32540---32541---32542---32543---32544---32631---32697---32698---32692---32699---32702---32703---32704---32705---32706---32707---32708---32709---32710---32711---32712---32713---32714---32715---32716---32717---32700---32718---32719---32720---32721---32589---32590---32591---32592---32593---32594---32595---32596---32597---32701---32598---32599;32599---32722---32723---32600---32601---32724---32602---32603---32604---32605---32606---32607---32608---32609---32610---32611---32612---32725---32727---32728---32729---32730---32731---32726---32732---32733---32734---32735---32736---32738---32739---32740---32741---32742---32743---32744---32745---32746---32747---32748---32749---32750---32638---32639---32640---32633---32641---32642---32643---32644---32645---32646---32647---32648---32649---32650---32651---32652---32653---32654---32655---32656---32657---32658---32659---32660---32661---32662---32663---32664---32665---32666---32667---32668---32669---32670---32671---32672---32673---32674---32675---32676---32677---32678---32502---32679---32680---32681---32682---32683---32684---32685---32686---32751---32752---32753---32737---32693;-;-
02k;Los Copihues;;0;32599---32600---32601---32602---32603---32604---32605---32606---32607---32608---32609---32610---32611---32612---32613---32614---32615---32616---32617---32618---32619---32620---32621---32622---32623---32624---32625---32626---32627---32628---32629---32630---32634---32635---32636---32637---32632---32638---32639---32640---32633---32641---32642---32643---32644---32645---32646---32647---32648---32649---32650---32651---32652---32653---32654---32655---32656---32657---32658---32659---32660---32661---32662---32663---32664---32665---32666---32667---32668---32669---32670---32671---32672---32673---32674---32675---32676---32677---32678---32502---32679---32680---32681---32682---32683---32684---32685---32686---32687---32688---32689---32690---32691---32488;32488---32489---32490---32491---32492---32493---32494---32495---32496---32497---32498---32499---32500---32501---32503---32504---32505---32506---32507---32508---32509---32510---32511---32512---32513---32514---32515---32516---32517---32518---32519---32520---32521---32522---32523---32524---32525---32526---32527---32528---32529---32530---32531---32532---32533---32534---32535---32536---32537---32538---32539---32540---32541---32542---32543---32544---32545---32546---32547---32548---32549---32550---32551---32552---32553---32554---32555---32556---32569---32571---32576---32577---32578---32579---32580---32581---32582---32583---32584---32585---32586---32587---32588---32589---32590---32591---32592---32593---32594---32595---32596---32597---32598---32599;-;-
02p;Peñuelas;;0;32488---32489---32490---32491---32492---32493---32494---32495---32496---32497---32498---32499---32500---32501---32503---32504---32505---32506---32507---32508---32509---32510---32511---32512---32513---32514---32515---32516---32517---32518---32519---32520---32521---32522---32523---32524---32525---32526---32527---32528---32529---32530---32531---32532---32533---32534---32535---32536---32537---32538---32539---32540---32541---32542---32543---32544---32545---32546---32547---32548---32549---32550---32551---32552---32553---32554---32555---32556---32569---32571---32576---32577---32578---32579---32580---32581---32582---32583---32584---32585---32586---32587---32588---32589---32590---32591---32592---32593---32594---32595---32596---32597---32598---32599;32599---32600---32601---32602---32603---32604---32605---32606---32607---32608---32609---32610---32611---32612---32613---32614---32615---32616---32617---32618---32619---32620---32621---32622---32623---32624---32625---32626---32627---32628---32629---32630---32634---32635---32636---32637---32632---32638---32639---32640---32633---32641---32642---32643---32644---32645---32646---32647---32648---32649---32650---32651---32652---32653---32654---32655---32656---32657---32658---32659---32660---32661---32662---32663---32664---32665---32666---32667---32668---32669---32670---32671---32672---32673---32674---32675---32676---32677---32678---32502---32679---32680---32681---32682---32683---32684---32685---32686---32687---32688---32689---32690---32691---32488;-;-
10a;Centinela;;0;41796---34413---34414---34415---34869---34870---42241---42240---42239---42238---42237---42236---33637---33638---33639---33640---33641---33642---33643---33644---33645---33646---33647---33649---33650---33651---33652---33653---33654---33655---33656---33657---33658---33659---33660---33661---33663---33664---33665---33666---33667---33668---33669---33670---33671---33672---33673---33674---33675---33676---33677---33678---33679---33680---33681---33682---33683---33684---33685---33686---33687---33688---33689---33690---33691---33692---33693---33694---33695---33696---33697---33698---33699---33700---33701---33702---33703---33704---33705---33706---33713---33714---32633---32641---32642---32643---32644---32645---32646---32647---32648---32649---32650---32651---32652---32653---32654---32655---32656---32657---32658---32659---32660---32661---32662---32663---32664---32665---32666---32667---32668---32669---32670---32671---32672---32673---32674---32675---32676---32677---32678---32502---32679---32680---32684---32685---32686---32751---32752---32753---40592;40344---32694---32695---32696---32494---32495---32500---32501---32503---32504---32505---32506---32507---32508---32509---32510---32511---32512---32513---32514---32515---32516---32517---32518---32519---32520---32521---32522---32523---32524---32525---32526---32527---32528---32529---32530---32531---32532---32533---32534---32535---32536---32537---32538---32539---32540---33770---33771---33772---33773---33774---33775---33776---33777---33778---33779---33780---33781---33782---33783---33784---33785---33786---33787---33788---33789---33790---33791---33792---33793---33794---33795---33797---33798---33799---33800---33801---33802---33803---33804---33805---33806---33829---33830---33831---33662---33832---33833---33834---33835---33836---33837---33838---33839---33840---33841---33842---33843---33844---33845---33846---33847---33848---33849---33850---33851---33852---33853---33854---33855---42236---42237---34560---34561---42077;-;-
10b;Lobos Viejos;;0;34558---34871---34872---34873---42077---33855---33857---33858---33859---33635---33636---33637---33638---33639---33640---33641---33642---33643---33644---33645---33646---33647---33649---33650---34430---34431---34432---34433---34434---34435---34436---34437---34438---33659---33660---33661---33663---33664---33665---33666---33667---33668---33669---33670---33671---33672---33673---33674---33675---33676---33677---33678---33679---33680---33681---33682---33683---33684---33685---33686---33687---33688---33689---33690---33691---33692---33693---33694---33695---33696---33697---33698---33699---33700---33701---33702---33703---33704---33705---33706---33713---33714---32633---32641---32642---32643---32644---32645---32646---32647---32648---32649---32650---32651---32652---32653---32654---32655---32656---32657---32658---32659---32660---32661---32662---32663---32664---32665---32666---32667---32668---32669---32670---32671---32672---32673---32674---32675---32676---32677---32678---32502---37829---37830---37831---37832---37833---37834;37855---37856---37857---37858---37859---37860---37861---32504---32505---32506---32507---32508---32509---32510---32511---32512---32513---49356---32526---32527---32528---32529---32530---32531---32532---32533---32534---32535---32536---32537---32538---32539---32540---33770---33771---33772---33773---33774---33775---33776---33777---33778---33779---33780---33781---33782---33783---33784---33785---33786---33787---33788---33789---33790---33791---33792---33793---33794---33795---33797---33798---33799---33800---33801---33802---33803---33804---33805---33806---33829---33830---33831---33662---33832---33833---33834---34846---34847---34848---34849---34850---34851---34852---34853---34854---33843---33844---33845---33846---33847---33848---33849---33850---33851---33852---33853---33854---41796---42077---34413---34414---34557---34559---42241---34415;-;-
10c;Las Canchas;;0;41796---34413---34414---34415---34869---34870---34558---34871---34872---33639---33640---33641---33642---33643---33644---33645---33646---33647---33649---33650---33651---33652---33653---33654---33655---33656---33657---33658---33659---33660---33661---33663---33664---33665---33666---33667---33668---33669---33670---33671---33672---33673---33674---33675---33676---33677---33678---33679---33680---33681---33682---33683---33684---33685---33686---33687---33688---33689---33690---33691---33692---33693---33694---33695---33696---33697---33698---33699---33700---33701---33702---33703---33704---33705---33706---33713---33714---32633---32641---32642---32643---32644---32645---32646---32647---32648---32649---32650---32651---32652---32653---32654---32655---32656---32657---32658---32659---32660---32661---32662---32663---32664---32665---32666---32667---32668---32669---32670---32671---32672---32673---32674---32675---32676---32677---32678---32502---32679---32680---32681---42045---42046---42047---42048---42049---42050---42051---42052---42053---42054---42055---42056---42057;41956---41957---41958---41959---41960---41961---41962---41963---41964---41965---41966---41967---41968---41969---32499---32500---32501---32503---32504---32505---32506---32507---32508---32509---32510---32511---32512---32513---32514---32515---32516---32517---32518---32519---32520---32521---32522---32523---32524---32525---32526---32527---32528---32529---32530---32531---32532---32533---32534---32535---32536---32537---32538---32539---32540---33770---33771---33772---33773---33774---33775---33776---33777---33778---33779---33780---33781---33782---33783---33784---33785---33786---33787---33788---33789---33790---33791---33792---33793---33794---33795---33797---33798---33799---33800---33801---33802---33803---33804---33805---33806---33828---33829---33830---33831---33662---33832---33833---33834---33835---33836---33837---33838---33839---33840---33841---33842---33843---33844---33845---33846---33847---33848---33849---33850---33851---33852---33853---33854---33855---34868---34869---34870---34558---34559---34560---34561---42077;-;-
10d;Las Canchas;;0;41796---33855---33857---33858---33859---33635---33636---33637---33638---33639---33640---33641---33642---33643---33644---33645---33646---33647---33649---33650---33651---33652---33653---33654---33655---33656---33657---33658---33659---33660---33661---33663---33664---33665---33666---33667---33668---33669---33670---33671---33672---33673---33674---33675---33676---33677---33678---33679---33680---33681---33682---33683---33684---33685---33686---33687---33688---33689---33690---33691---33692---33693---33694---33695---33696---33697---33698---33699---33700---33701---33702---33703---33704---33705---33706---33713---33714---32633---32641---32642---32643---32644---32645---32646---32647---32648---32649---32650---32651---32652---32653---32654---32655---32656---32657---32658---32659---32660---41942---42045---42046---42047---42048---42049---42050---42051---42052---42053---42054---42055---42056---42057;41956---41957---41958---41959---41960---41961---41962---41963---41964---41965---41966---41967---41968---42082---39081---32661---32520---32521---32522---32523---32524---32525---32526---32527---32528---32529---32530---32531---32532---32533---32534---32535---32536---32537---32538---32539---32540---33770---33771---33772---33773---33774---33775---33776---33777---33778---33779---33780---33781---33782---33783---33784---33785---33786---33787---33788---33789---33790---33791---33792---33793---33794---33795---33797---33798---33799---33800---33801---33802---33803---33804---33805---33806---33828---33829---33830---33831---33662---33832---33833---33834---33835---33836---33837---33838---33839---33840---33841---33842---33843---33844---33845---33846---33847---33848---33849---33850---33851---33852---33853---33854---41796;-;-
10j;Centinela;;0;41796---34413---34414---34415---41937---42272---34560---34561---33856---33638---33639---33640---33641---33642---33643---33644---33645---33646---33647---33649---33650---33651---33652---33653---33654---33655---33656---33657---33658---33659---33660---33661---33663---33664---33665---33666---33667---33668---33669---33670---33671---33672---33673---33674---33675---33676---33677---33678---33679---33680---33681---33682---33683---33684---33685---33686---33687---33688---34586---41939---41940---36053---33692---33693---33694---33695---33696---33697---33698---33699---33700---33701---33702---33703---33704---33705---33706---33713---33714---32633---32641---32642---32643---32644---32645---32646---32647---32648---32649---32650---32651---32652---32653---32654---32655---32656---32657---32658---32659---32660---41942---41943---32682---32683---32684---32685---32686---32751---32752---32753---32737---32693;32694---32695---32696---32494---32495---32496---32497---32498---42082---39081---32661---32520---32521---32522---32523---32524---32525---32526---32527---32528---32529---32530---32531---32532---32533---32534---32535---32536---32537---32538---32539---32540---33770---33771---33772---33773---33774---33775---33776---33777---33778---33779---33780---33781---33782---33783---33784---33785---33786---33787---33788---33789---33790---33791---33792---33793---33794---33795---33797---33798---33799---33800---33801---33802---33803---33804---33805---33806---33829---33830---33831---33662---33832---33833---33834---33835---33836---33837---33838---33839---33840---33841---33842---33843---33844---33845---33846---33847---33848---33849---33850---33851---33852---33853---33854---41796;-;-
10k;Chiguayante;;0;41948---41949---41950---41951---41952---41953---41954---41955---41956---41957---41958---41959---41960---41961---41962---41963---41964---41965---41966---41967---41968---41969---32499---40354---40355---40356---40357---32518---32519---32520---32521---32522---32523---32524---32525---32526---32527---32528---32529---32530---32531---32532---32533---32534---32535---32536---32537---32538---32539---32540---33770---33771---33772---33773---33774---33775---33776---33777---33778---33779---33780---33781---33782---33783---33784---33785---33786---33787---33788---37398---37399---36056---36090---36091---36092---36093---36094---33795---33797---33798---33799---33800---33801---33802---33803---33804---33805---33806---33828---33829---33830---33831---33662---33832---33833---33834---33835---33836---33837---33838---33839---33840---33841---33842---33843---33844---33845---33846---33847---33848---33849---33850---33851---33852---33853---33854---33855---33857---33858---33859---33860;42077---33639---33640---33641---33642---33643---33644---33645---33646---33647---33649---33650---33651---33652---33653---33654---33655---33656---33657---33658---33659---33660---33661---33663---33664---33665---33666---33667---33668---33669---33670---33671---33672---33673---33674---33675---33676---33677---33678---33679---33680---33681---33682---33683---33684---33685---33686---33687---33691---33692---33693---33694---33695---33696---33697---33698---33699---33700---33701---33702---33703---33704---33705---33706---33713---33714---32633---32641---32642---32643---32644---32645---32646---32647---32648---32649---32650---32651---32652---32653---32654---32655---32656---32657---32658---32659---32660---41942---42045---42046---42047---42048---42049---42050---42051---42052---42053---42054---42055---42056---42057---42127---42128---42129---42130---42131---42132;-;-
