stop_code;stop_name;stop_lat;stop_lon
30954;Mercado;-36.71183344;-73.11545266
30955;El Arenal;-36.72516015;-73.11689611
30956;Hospital Las Higueras;-36.73934248;-73.10297629
30957;Los Cóndores;-36.75695328;-73.09162097
30958;Univ. Técnica Federico Santa María;-36.78362584;-73.08558093
30961;Chiguayante;-36.91519607;-73.02908005
30962;Pedro Medina;-36.9254817;-73.0215968
30964;La Leonera;-36.95144259;-73.01316541
30965;Hualqui;-36.98049532;-72.94096075
31013;Alborada;-36.84647657;-73.13094824
31017;Costa Mar;-36.85492754;-73.13301928
31021;Lomas Coloradas;-36.88307467;-73.13982906
32488;Punta Corralillo - Caleta Plata;-36.72032694;-73.1471996
32489;Punta Corralillo - Caleta Chipana;-36.71848173;-73.14678489
32490;Punta Corralillo - Punta Lavapie;-36.7169793;-73.14523117
32491;Bahia Dichato - Playa El Huevillo;-36.71675033;-73.14037766
32492;Bahia Dichato - Caleta El Sold;-36.71491367;-73.13935836
32493;Bahia Dichato - Playa Chivilongo;-36.7131874;-73.13848198
32494;San Vicente - Playa El Parron / Sur;-36.71271592;-73.13542585
32495;San Vicente 882;-36.71246165;-73.13243167
32496;San Vicente - Camino San Francisco / Oriente;-36.71168214;-73.13100637
32497;Camino Nueva Los Lobos - Calle Uno / Oriente;-36.70939548;-73.12946091
32498;Camino Nuevo Los Lobos - Camino A Tumbes;-36.71041734;-73.12566344
32499;Camino A Tumbes - Los Araucanos;-36.71410436;-73.12626797
32500;Los Araucanos - Violeta Parra / Norte;-36.71463559;-73.12966971
32501;Los Araucanos - Quentrahue / Poniente;-36.71562371;-73.13175054
32502;Los Araucanos - Runcamanque / Oriente;-36.71820721;-73.13268441
32503;Los Araucanos - Rucamanque / Poniente;-36.71804608;-73.13275549
32504;Los Araucanos - Los Diaguitas;-36.72071253;-73.13265734
32505;Los Araucanos 1351 / Norte;-36.72189291;-73.133782
32506;Los Araucanos - Porvenir;-36.72287798;-73.13567281
32507;Los Araucanos - Los Yaganes / Poniente;-36.7244659;-73.13692207
32508;Almirante Latorre - La Marina;-36.72363351;-73.13097425
32509;Pedro Montt - La Marina / Sur;-36.72454537;-73.12992202
32510;Pedro Montt - Lautaro;-36.72263311;-73.12696768
32511;Brasil - Pedro Montt;-36.72218265;-73.12583656
32512;Municipalidad De Talcahuano;-36.72353563;-73.12303806
32513;Brasil - Talcahuano;-36.7248532;-73.12028511
32514;Valdivia - Miranda;-36.72393659;-73.11760901
32515;Valdivia - Riquelme / Oriente;-36.72151363;-73.11828396
32516;Valdivia - Freire Bajo;-36.71745208;-73.11850622
32517;Valdivia - Castellon;-36.71521121;-73.11758686
32518;Valdivia - Sgto Aldea;-36.71421759;-73.11631244
32519;Valdivia - Anibal Pinto;-36.7131406;-73.11546551
32520;Colon 135;-36.71241782;-73.11478906
32521;Colon 367;-36.71357454;-73.11327181
32522;Colon - Covadonga;-36.71464783;-73.11161101
32523;Colon - Angamos;-36.71749571;-73.10988428
32524;Colon - Veintiuno De Mayo;-36.72066531;-73.11025445
32525;Colon - Orella;-36.72259925;-73.11000551
32526;Colon - Manuel Rodriguez;-36.72445671;-73.11004956
32527;Colon - O´Higgins;-36.7262386;-73.11044257
32528;Colon - Chabuco;-36.72824361;-73.11069576
32529;Colon - Hualpen;-36.73233618;-73.10845662
32530;Colon - Lircay Sur;-36.73517902;-73.10528487
32531;Colon - Bernardita;-36.73715834;-73.10279488
32532;Colon - Zenteno;-36.73937079;-73.10023181
32533;Colon - Ercilla;-36.74191124;-73.09845566
32534;Colon - Desiderio Garcia;-36.74429717;-73.0971648
32535;Colon 3646;-36.74778888;-73.09456969
32536;Colon - Simon Bolivar;-36.75071518;-73.09325402
32537;Colon - Juan Guillermo Sosa / Poniente;-36.7538373;-73.09234784
32538;Colon - Los Condores;-36.75671543;-73.09140283
32539;Colon - Petunias / Poniente;-36.75897514;-73.09011461
32540;Colon - La Camelia / Poniente;-36.76087767;-73.08903682
32541;Colon - Diecisiete Nte / Poniente;-36.76945589;-73.08607904
32542;Colon - Los Pinos / Poniente;-36.77194077;-73.08590521
