paradero;servicio;distancia
32688;02kI;27372
32689;02kI;27576
32690;02kI;28098
32691;02kI;28336
32488;02kI;28589
32488;02pI;0
32489;02pI;243
32490;02pI;494
32491;02pI;1004
32492;02pI;1227
32493;02pI;1434
32494;02pI;1812
32495;02pI;2102
32496;02pI;2255
32497;02pI;2553
32498;02pI;3010
32499;02pI;3435
32500;02pI;3813
32501;02pI;4029
32503;02pI;4317
32504;02pI;4628
32505;02pI;4804
32506;02pI;5025
32507;02pI;5261
32508;02pI;5934
32509;02pI;6168
32510;02pI;6506
32511;02pI;6633
32512;02pI;6925
32513;02pI;7211
32514;02pI;7625
32515;02pI;7904
32516;02pI;8357
32517;02pI;8632
32518;02pI;8790
32519;02pI;8936
32520;02pI;9111
32521;02pI;9297
32522;02pI;9488
32523;02pI;9870
32524;02pI;10225
32525;02pI;10441
32526;02pI;10649
32527;02pI;10850
32528;02pI;11076
32529;02pI;11577
32530;02pI;12002
32531;02pI;12314
32532;02pI;12650
32533;02pI;12976
32534;02pI;13265
32535;02pI;13720
32536;02pI;14066
32537;02pI;14424
32538;02pI;14759
32539;02pI;15035
32540;02pI;15267
32541;02pI;16286
32542;02pI;16564
32543;02pI;16795
32544;02pI;16992
32545;02pI;17289
32546;02pI;17500
32547;02pI;17616
32548;02pI;17953
32549;02pI;18306
32550;02pI;18548
32551;02pI;18650
32552;02pI;18979
32553;02pI;19170
32554;02pI;19453
32555;02pI;19645
32556;02pI;19852
32569;02pI;20817
32571;02pI;21008
32576;02pI;21140
32577;02pI;21305
32578;02pI;21603
32579;02pI;21760
32580;02pI;22036
32581;02pI;22213
32582;02pI;22316
32583;02pI;22527
32584;02pI;22833
32585;02pI;23079
32586;02pI;23383
32587;02pI;23606
32588;02pI;23711
32589;02pI;23858
32590;02pI;24001
32591;02pI;24184
32592;02pI;24401
32593;02pI;24528
32594;02pI;24712
32595;02pI;24852
32596;02pI;25024
32597;02pI;25311
32598;02pI;26003
32599;02pI;26779
41796;10aI;1
34413;10aI;198
34414;10aI;273
34415;10aI;551
34869;10aI;805
34870;10aI;903
42241;10aI;1045
42240;10aI;1242
42239;10aI;1442
42238;10aI;1593
42237;10aI;1876
42236;10aI;2002
33637;10aI;2560
33638;10aI;2977
33639;10aI;3356
33640;10aI;3574
33641;10aI;3998
33642;10aI;4402
33643;10aI;4619
33644;10aI;5039
33645;10aI;5266
33646;10aI;5645
33647;10aI;5932
33649;10aI;6270
33650;10aI;6646
33651;10aI;7065
33652;10aI;7190
33653;10aI;7435
33654;10aI;7661
33655;10aI;8035
33656;10aI;8292
33657;10aI;8732
33658;10aI;9090
33659;10aI;9991
33660;10aI;10646
33661;10aI;11227
33663;10aI;12363
33664;10aI;12683
33665;10aI;12899
33666;10aI;13531
33667;10aI;13975
33668;10aI;14153
33669;10aI;14495
33670;10aI;14712
33671;10aI;15161
33672;10aI;15484
33673;10aI;15711
33674;10aI;15976
33675;10aI;16150
33676;10aI;16409
33677;10aI;16654
33678;10aI;16735
33679;10aI;16861
33680;10aI;16996
33681;10aI;17116
33682;10aI;17377
33683;10aI;17645
33684;10aI;17764
33685;10aI;18141
33686;10aI;18298
33687;10aI;18429
33688;10aI;18548
33689;10aI;18633
33690;10aI;18819
33691;10aI;18905
33692;10aI;19042
33693;10aI;19424
33694;10aI;19642
33695;10aI;19876
33696;10aI;20135
33697;10aI;20394
33698;10aI;20672
33699;10aI;20936
33700;10aI;21184
33701;10aI;21605
33702;10aI;22192
33703;10aI;23248
33704;10aI;24510
33705;10aI;25359
33706;10aI;25628
33713;10aI;25905
33714;10aI;26151
32633;10aI;26484
32641;10aI;26986
32642;10aI;27358
32643;10aI;27648
32644;10aI;27986
32645;10aI;28346
32646;10aI;28685
32647;10aI;29182
32648;10aI;29473
32649;10aI;29782
32650;10aI;30117
32651;10aI;30411
32652;10aI;30857
32653;10aI;31331
32654;10aI;31742
32655;10aI;31965
32656;10aI;32535
32657;10aI;32668
32658;10aI;32951
32659;10aI;33155
32660;10aI;33386
32661;10aI;33719
32662;10aI;33853
32663;10aI;34026
32664;10aI;34237
32665;10aI;34462
32666;10aI;34899
32667;10aI;35212
32668;10aI;35369
32669;10aI;35498
32670;10aI;35734
32671;10aI;35880
32672;10aI;36128
32673;10aI;36374
32674;10aI;36641
32675;10aI;37482
32676;10aI;37703
32677;10aI;37919
32678;10aI;38096
32502;10aI;38404
32679;10aI;38741
32680;10aI;38930
32684;10aI;39692
32685;10aI;39842
32686;10aI;40088
32751;10aI;40335
32752;10aI;40476
32753;10aI;40718
40592;10aI;41091
34558;10bI;1692
34871;10bI;1748
34872;10bI;1923
34873;10bI;2300
42077;10bI;2579
33855;10bI;2790
33857;10bI;3196
33858;10bI;3452
33859;10bI;3534
33635;10bI;3649
33636;10bI;3864
33637;10bI;4089
33638;10bI;4507
33639;10bI;4885
33640;10bI;5104
33641;10bI;5527
33642;10bI;5932
33643;10bI;6148
33644;10bI;6568
33645;10bI;6796
33646;10bI;7174
33647;10bI;7462
33649;10bI;7799
33650;10bI;8175
34430;10bI;8631
34431;10bI;8954
34432;10bI;9215
34433;10bI;9464
34434;10bI;9805
34435;10bI;10151
34436;10bI;10397
34437;10bI;10614
34438;10bI;10859
33659;10bI;11556
33660;10bI;12210
33661;10bI;12792
33663;10bI;13927
33664;10bI;14247
33665;10bI;14463
33666;10bI;15095
33667;10bI;15539
33668;10bI;15717
33669;10bI;16059
33670;10bI;16276
33671;10bI;16725
33672;10bI;17048
33673;10bI;17276
33674;10bI;17540
33675;10bI;17714
33676;10bI;17973
33677;10bI;18218
33678;10bI;18299
33679;10bI;18425
33680;10bI;18560
33681;10bI;18681
33682;10bI;18941
33683;10bI;19209
33684;10bI;19328
33685;10bI;19705
33686;10bI;19863
