101
San Joaquin,Lunes a Viernes,05:30,23:40
San Joaquin,Domingo y Festivos,06:50,22:50
San Joaquin,Sábado,06:30,22:52
(M) Vespucio Norte,Lunes a Viernes,05:30,23:40
(M) Vespucio Norte,Domingo y Festivos,07:50,22:50
(M) Vespucio Norte,Sábado,06:30,22:52

117c
Providencia,Lunes a Viernes,05:39,09:07
Providencia,Lunes a Viernes,17:30,21:10
Huechuraba,Lunes a Viernes,05:30,09:08
Huechuraba,Lunes a Viernes,17:30,21:10

118
Mall Plaza Vespucio,Sábado,05:30,23:45
Mall Plaza Vespucio,Lunes a Viernes,05:30,23:45
Mall Plaza Vespucio,Domingo y Festivos,05:30,23:30
Maipu,Lunes a Viernes,05:30,23:45
Maipu,Sábado,05:30,23:45
Maipu,Domingo y Festivos,05:30,23:30

119
Lo Espejo,Domingo y Festivos,00:00,23:59
Lo Espejo,Sábado,00:00,23:59
Lo Espejo,Lunes a Viernes,00:00,23:59
Mapocho,Domingo y Festivos,00:00,23:59
Mapocho,Sábado,00:00,23:59
Mapocho,Lunes a Viernes,00:00,23:59

120
(M) La Cisterna,Domingo y Festivos,05:30,23:30
(M) La Cisterna,Sábado,05:30,23:30
(M) La Cisterna,Lunes a Viernes,05:30,23:40
Renca,Lunes a Viernes,05:30,23:40
Renca,Domingo y Festivos,05:33,23:30
Renca,Sábado,05:30,23:30

121
Lo Espejo,Domingo y Festivos,05:30,23:48
Lo Espejo,Sábado,05:30,23:48
Lo Espejo,Lunes a Viernes,05:30,23:48
Mapocho,Domingo y Festivos,05:30,23:48
Mapocho,Sábado,05:30,23:48
Mapocho,Lunes a Viernes,05:30,23:49

125
Lo Espejo,Domingo y Festivos,05:30,22:50
Lo Espejo,Lunes a Viernes,05:30,22:59
Lo Espejo,Sábado,05:30,22:45
(M) U. De Chile,Domingo y Festivos,05:30,22:50
(M) U. De Chile,Lunes a Viernes,05:30,22:59
(M) U. De Chile,Sábado,05:30,22:45

126
La Higuera,Lunes a Viernes,06:30,20:22
(M) Manuel Montt,Lunes a Viernes,06:00,20:18

201
San Bernardo,Sábado,00:00,23:59
San Bernardo,Domingo y Festivos,00:00,23:59
San Bernardo,Lunes a Viernes,00:00,23:59
