id;id_station_measure
1300842-Wcdma;61
1301670-Wcdma;1
1301795-Wcdma;59
1302066-Wcdma;60
1302305-Wcdma;64
1302897-Wcdma;39
1302898-Wcdma;39
1302899-Wcdma;39
1302900-Wcdma;39
1302901-Wcdma;39
1302902-Wcdma;39
1302903-Wcdma;39
1302904-Wcdma;39
1302905-Wcdma;39
1304696-Wcdma;74
1305276-Wcdma;3
1305472-Wcdma;74
1305582-Wcdma;39
1305583-Wcdma;39
1305585-Wcdma;39
1305586-Wcdma;39
1305588-Wcdma;40
1305591-Wcdma;40
1305594-Wcdma;41
1305596-Wcdma;112-41
1305597-Wcdma;41
1305598-Wcdma;41
1305599-Wcdma;112-41
1305600-Wcdma;42
1305602-Wcdma;42
1305603-Wcdma;42
1305604-Wcdma;42
1305605-Wcdma;42
1305734-Wcdma;10
1305735-Wcdma;10
1305737-Wcdma;9
1305738-Wcdma;9
1305740-Wcdma;8
1305741-Wcdma;8
1305743-Wcdma;7
1305744-Wcdma;7
1305745-Wcdma;7
1305746-Wcdma;6
1305747-Wcdma;6
1305749-Wcdma;5
1305750-Wcdma;5
1305752-Wcdma;4
1305753-Wcdma;4
1305756-Wcdma;3
1305757-Wcdma;3
1305758-Wcdma;2
1305759-Wcdma;1
13057793-Lte;26
13057794-Lte;26
1309840-Wcdma;75
1316445-Wcdma;28
1316448-Wcdma;28
1316454-Wcdma;92
1316457-Wcdma;92
1316464-Wcdma;30
1316467-Wcdma;30
1316474-Wcdma;31
1316475-Wcdma;31
1316477-Wcdma;31
1316478-Wcdma;31
1316911-Wcdma;12-21
1316912-Wcdma;12-21
1316914-Wcdma;50
1316918-Wcdma;21
1316921-Wcdma;14-24
1316924-Wcdma;24
1316927-Wcdma;24
1316941-Wcdma;25
1317127-Wcdma;23
1317131-Wcdma;22
1317137-Wcdma;22-27
1317201-Wcdma;50-51
1317207-Wcdma;50-51
1319455-Lte;40
1319456-Lte;40
1319461-Lte;40
1319462-Lte;40
1322911-Wcdma;26
1322927-Wcdma;27
1324596-Wcdma;69
13263617-Lte;63
1327648-Lte;104
1328671-Lte;74
1328672-Lte;74
1328673-Lte;64
1329382-Wcdma;69
1333274-Wcdma;71
1333275-Wcdma;71
1333277-Wcdma;71
1333278-Wcdma;71
1333302-Wcdma;72
1333303-Wcdma;72
1333304-Wcdma;72
1333305-Wcdma;72
1333307-Wcdma;72
1337184-Wcdma;69
1341118-Wcdma;70
134193-Wcdma;101
134233-Wcdma;41
134733-Wcdma;41
134736-Wcdma;42
134739-Wcdma;42
134740-Wcdma;42
13486849-Lte;81
13486852-Lte;81
13487361-Lte;80
13494529-Lte;109
13494531-Lte;109
13497857-Lte;110
13497858-Lte;110
13504513-Lte;111
13504514-Lte;111
13506561-Lte;112
13506562-Lte;112
13511169-Lte;113
13514241-Lte;114
13514242-Lte;114
13514245-Lte;114
13514246-Lte;114
13515265-Lte;33
13515266-Lte;33
13521665-Lte;116
13521666-Lte;116
13523457-Lte;115
13523458-Lte;115
13523461-Lte;115
13529601-Lte;13
13529602-Lte;13
13529857-Lte;11-12
13529858-Lte;11
13548802-Lte;117
1355042-Wcdma;67-69
13553410-Lte;118
13553411-Lte;118
1355399-Wcdma;70
1355549-Wcdma;70
13561857-Lte;78
13563393-Lte;72
13565953-Lte;63
13565954-Lte;63
13586433-Lte;10
1364262-Lte;58
1364768-Lte;100
1364774-Lte;100
13649410-Lte;41
13649411-Lte;41
1365286-Lte;66
1366048-Lte;100
1366054-Lte;100
1366303-Lte;102
1366304-Lte;102
1366431-Wcdma;69-70
1366434-Wcdma;69-70
13701890-Lte;71
13701891-Lte;71
13706754-Lte;30
13750273-Lte;119
13750274-Lte;119
13750277-Lte;119
13752833-Lte;120
13752834-Lte;120
13752836-Lte;120
13755393-Lte;121
13755394-Lte;121
13755396-Lte;121
13755397-Lte;121
13760513-Lte;122
13760514-Lte;122
13768193-Lte;123
13768194-Lte;123
13773313-Lte;124
13773314-Lte;124
13778433-Lte;125
13778434-Lte;125
13783553-Lte;126
13788673-Lte;127
13788674-Lte;127
13791233-Lte;128
13791234-Lte;128
13791237-Lte;128
