service;origin;destiny;color
G07;SAN FRANCISCO;LO HERRERA;#0951BC
G08;POBLACIóN LA SELVA;(M) LA CISTERNA;#0951BC
G08v;NOS;(M) LA CISTERNA;#0951BC
G09;LO BLANCO;SANTA MARGARITA;#0951BC
G11;LO BLANCO;(M) LO OVALLE;#0951BC
G12;(M) LO OVALLE;CEMENTERIO METROPOLITANO;#0951BC
G13;(M) LA CISTERNA;EL CASTILLO;#0951BC
G14;LO BLANCO;POBLACIóN VALLE NEVADO;#0951BC
G15;(M) LA CISTERNA;SANTO TOMáS;#0951BC
G16;(M) LA CISTERNA;LO BLANCO;#0951BC
G18;SANTO TOMAS;(M) LO OVALLE;#0951BC
G22;VILLA ESPAñA;(M) LA CISTERNA;#0951BC
G23;ESTACION BLANCO;SANTA ROSA P43;#0951BC
H02;(M) CARLOS VALDOVINOS;(M) LO VIAL ;#00A77E
H03;(M) LO OVALLE;MALL PLAZA OESTE;#00A77E
H04;(M) CARLOS VALDOVINOS ; LA VICTORIA;#00A77E
H05;(M) CARLOS VALDOVINOS;POBL. DAVILA;#00A77E
H05c;POBL. DAVILA;(M) DEPARTAMENTAL;#00A77E
H06;POBL. LAS TURBINAS;AV. MATTA;#00A77E
H07;(M) ÑUBLE ;(M) LO OVALLE;#00A77E
H08;POBL.  LAS TURBINAS;(M) LO OVALLE;#00A77E
H09;POBL. DAVILA;(M) CARLOS VALDOVINOS;#00A77E
H12;LO ESPEJO;(M) FRANKLIN;#00A77E
H13;SANTA OLGA;POSTA CENTRAL;#00A77E
H14;MALL FLORIDA CENTER;(M) FRANKLIN;#00A77E
I01;VILLA LOS HéROES;HOSPITAL BORJA ARRIARáN;#00A77E
I02;RINCONADA;(M) LAGUNA SUR;#00A77E
I03;VILLA LOS HéROES;VILLA PORTALES;#00A77E
I03c;VALLE VERDE;(M) SAN ALBERTO HURTADO;#00A77E
I04;VILLA EL ABRAZO;(M) SAN ALBERTO HURTADO;#00A77E
I04c;VILLA EL ABRAZO;(M) PLAZA MAIPU;#00A77E
I04e;VILLA EL ABRAZO;(M) PLAZA MAIPU;#00A77E
I05;RINCONADA;(M) LO OVALLE;#00A77E
I07;RINCONADA;MALL ARAUCO MAIPU;#00A77E
I08;MALL ARAUCO MAIPú;(M) SAN ALBERTO HURTADO;#00A77E
I08N;LA FARFANA;ALAMEDA;#00A77E
I08c;LA FARFANA;(M) DEL SOL;#00A77E
I09;RINCONADA;(M) ULA;#00A77E
I09c;RINCONADA;(M) LAS REJAS;#00A77E
I09e;RINCONADA;(M) ULA;#00A77E
I10;VILLA LOS HéROES;USACH;#00A77E
I10N;VILLA LOS HEROES;ALAMEDA;#00A77E
I11;CIUDAD SATELITE;(M) PLAZA MAIPU;#00A77E
I12;PUEBLITO LA FARFANA;MALL FLORIDA CENTER;#00A77E
I13;VILLA LOS PRESIDENTES;(M) SAN ALBERTO HURTADO;#00A77E
I14;MALL PLAZA OESTE;ESTACIóN CENTRAL;#00A77E
I14N;MALL PLAZA OESTE;CENTRO;#00A77E
I16;POBLACION SANTIAGO;FERROCARRIL;#00A77E
I17;VILLA FRANCIA;HOSPITAL SAN JUAN DE DIOS;#00A77E
I18;RINCONADA;(M) ULA;#00A77E
I20;VALLE VERDE;MARTA OSSA RUIZ;#00A77E
I21;VILLA HERNAN DíAZ;(M) PLAZA MAIPU;#00A77E
I22;LA FARFANA;(M) DEL SOL;#00A77E
I24;VILLA LOS MAITENES;PLAZA OESTE;#00A77E
I25;(M) CERRILLOS;VILLA S. HENRíQUEZ;#00A77E
J01;PUDAHUEL SUR;(M) QUINTA NORMAL;#00929E
J01c;(M) SAN PABLO;CARRASCAL;#00929E
J02;ENEA;(M) ULA;#00929E
J03;COSTANERA SUR;(M) REPUBLICA;#00929E
J04;(M) NEPTUNO;LA ALIANZA;#00929E
J05;COSTANERA SUR;(M) ULA;#00929E
J06;(M) PUDAHUEL;(M) PAJARITOS;#00929E
J07;NOVICIADO;(M) PUDAHUEL;#00929E
J07c;(M) PUDAHUEL;LO BOZA;#00929E
J07e;NOVICIADO;(M) PUDAHUEL;#00929E
J08;PUDAHUEL SUR ;HOSPITAL FELIX BULNES;#00929E
J10;SAN DANIEL;PARQUE DE LOS REYES;#00929E
J11;LOMAS DE LO AGUIRRE;(M) PAJARITOS;#00929E
J12;(M) PAJARITOS;CIUDAD DE LOS VALLES;#00929E
J13;(M) ESTACIóN CENTRAL;COSTANERA SUR;#00929E
J13c;(M) SAN PABLO;COSTANERA SUR;#00929E
J14c;VILLA ROOSEVELT;PUDAHUEL SUR;#00929E
J15c;LA ALIANZA;(M) NEPTUNO;#00929E
J16;COSTANERA SUR;(M) ESTACIóN CENTRAL;#00929E
J17;(M) PAJARITO;PUERTO SANTIAGO;#00929E
J18;ENEA;(M) SAN PABLO;#00929E
J18c;EL TRANQUE;(M) SAN PABLO;#00929E
J19;PUDAHUEL SUR;(M) QUINTA NORMAL ;#00929E
J20;EL MONTIJO;(M) PUDAHUEL;#00929E
L1;SAN PABLO;LOS DOMINICOS;#FA0727
L2;VESPUCIO NORTE;LA CISTERNA;#FFC107
L3;LOS LIBERTADORE;FERNANDO CASTILLO VELASC;#83441D
L4;TOBALABA;PLAZA DE PUENTE ALTO;#1A1D6A
L4A;LA CISTERNA;VICUñA MACKENNA;#0A5FCA
L5;PLAZA DE MAIPú;VICENTE VALDéS;#008A63
L6;CERRILLOS;LOS LEONE;#9933FF
MTN;METROTREN NO;;#151CF3
MTR;METROTREN RANCAGU;;#F3B015
