CODIGO;ENTIDAD;NOMBRE FANTASIA;DIRECCION;COMUNA;HORARIO REFERENCIAL;ESTE;NORTE;LONGITUD;LATITUD
93245;Fullcarga;KIOSKO - LAS CONDES;AV. APOQUINDO 3072;LAS CONDES;;351441;6301351;-70.59777188824192;-33.416912598374466
93247;Fullcarga;JOSE LUIS;FRANCISCO BILBAO 2946;PROVIDENCIA;;352320;6299371;-70.58864248154877;-33.43488920057505
93249;Fullcarga;EL NARANJO;RIVADAVIA 9175;LAS CONDES;;357397;6300901;-70.53379805555555;-33.42166284722223
93253;Fullcarga;EL CISNE;CLAUDIO ARRAU 781;EL BOSQUE;;344542;6284694;-70.67483386739863;-33.56611016187268
93256;Fullcarga;EL SOCIO;JUAN ANTONIO RIOS 8482;SAN RAMON;;347770;6287947;-70.63950662266667;-33.53713724766668
93258;Fullcarga;HUGO GUZMAN;EL ABETO 8771;PUDAHUEL;;336357;6296789;-70.76075797523254;-33.45573507441057
93260;Fullcarga;COM DEUTSCHI;MANUEL RODRIGUEZ 1708;RENCA;;339817;6303406;-70.7230351467676;-33.3968660503254
93261;Fullcarga;FENITA CERRO NAVIA;CALLE ROLANDO PETERSEN 1565;CERRO NAVIA;;337466;6299992;-70.74885495;-33.42731907
93264;Fullcarga;NUEVA RESBALON CERRO NAVI;AV. HUELEN 1945;CERRO NAVIA;;338122;6301157;-70.74160363;-33.41697601
93265;Fullcarga;BAZAR NOR YEN CERRO NAVIA;CALLE RIO DOURO 8159;CERRO NAVIA;;336897;6300896;-70.75475425;-33.41905976
93267;Fullcarga;VIKINGO CERRO NAVIA;CALLE CAUQUENES 6908;CERRO NAVIA;;339170;6300295;-70.7304226469048;-33.4249487204388
93268;Fullcarga;MINIMARKET AHORA SI;FLORENCIA 1540;CERRO NAVIA;;338898;6300280;-70.73279666666669;-33.42464803030303
93269;Fullcarga;JESSICA POZO CERRO NAVIA;PASAJE AMALFI 1442;CERRO NAVIA;;338744;6299953;-70.7351803602081;-33.4277804267932
93270;Fullcarga;EL GUATON VERA;MAPOCHO SUR 7824;CERRO NAVIA;;337652;6300551;-70.7466940253886;-33.4224044950672
93271;Fullcarga;ROSALIA ELIANETH ARAZAEZ;VICUNA ROSAS 6205;CERRO NAVIA;;339862;6299309;-70.72260622222221;-33.43353933333334
93272;Fullcarga;MINIMARKET - PADRE HURTADO;PADRE HURTADO 7283;CERRO NAVIA;;338584;6299141;-70.7363802777778;-33.43486972222221
93294;Fullcarga;ERNA TROPAN;PASAJE LANALHUE 1348;PUDAHUEL;;336091;6299650;-70.76309458333333;-33.42989791666666
93295;Fullcarga;CARRASCAL;CALLE CARRASCAL 4646;QUINTA NORMAL;;342137;6300656;-70.69791490504232;-33.42184956772506
93296;Fullcarga;MIS MASCOTAS;ISMAEL BRISENO 1611;QUILICURA;;339710;6305454;-70.72315357142858;-33.37812047619047
93299;Fullcarga;EL CAMBUCHO;BERNARDO OHIGGINS PARCELA 68;PUDAHUEL;;326606;6303362;-70.865107;-33.395238
93300;Fullcarga;ERBI SANTA ROSA;SANTA ROSA 905;SANTIAGO;;347051;6298005;-70.64552388888889;-33.44634833333333
93309;Fullcarga;RINCON DEL ESTUDIANTE;EGIPTO 560;MAIPU;;336341;6286431;-70.76283437453434;-33.54922721618949
93310;Fullcarga;ALMACEN TRIUNFO;MARIA ELENA 829;LA FLORIDA;;351767;6285263;-70.59691555555555;-33.56189305555555
93313;Fullcarga;EL CRISTO;CALETA AGUA DULCE 1226;PUENTE ALTO;;355020;6281404;-70.5625191115732;-33.59725446056499
93314;Fullcarga;LULY;VINA DEL MAR 6403 DEPTO 13 A;LA FLORIDA;;352582;6290538;-70.5872657793765;-33.51445160671461
93315;Fullcarga;OASIS - MAIPU;LIQUIDAMBAR SUR 18372;MAIPU;;333901;6285710;-70.789922;-33.55565
93317;Fullcarga;ALMACEN LA ESQUINA;BAHIA FITZ ROY 1640;PUENTE ALTO;;351358;6284016;-70.6015300378788;-33.573083068181816
93318;Fullcarga;LAS TRES HERMANAS;LUIS MATTE LARRAIN 827;PUENTE ALTO;;352507;6282536;-70.58939683333334;-33.5865825
93325;Fullcarga;LAS HORMIGUITAS;BACTERIOLOGICO 10296;LA FLORIDA;;353065;6286434;-70.58274762647062;-33.55162951436268
93343;Fullcarga;LA VEGUITA - MAIPU;SEGUNDA TRANSVERSAL 3437;MAIPU;;337993;6292285;-70.7439711111111;-33.496585
93346;Fullcarga;CIBERGAMERS;SALADILLO 02486;PUENTE ALTO;;355705;6283257;-70.5548307563699;-33.5805196511437
93351;Fullcarga;NACIMIENTO;PASAJE VICARIA 2501;MAIPU;;333688;6290978;-70.79053815476189;-33.50771261904762
93357;Fullcarga;LA GIULIANA;PASAJE CARRENLEUFU 05811;PUENTE ALTO;;355684;6285250;-70.55473066666666;-33.562554866666666
93361;Fullcarga;LA CAMPANA QTA NORMAL;CALLE LA RIOJA 2085;QUINTA NORMAL;;340922;6300756;-70.71171936;-33.42094269
93375;Fullcarga;ENTRETENIMIENTOS;BERNARDO OHIGGINS 4110 L-A;ESTACION CENTRAL;;342773;6297063;-70.6924532196383;-33.4545131770892
93376;Fullcarga;ROSA - CERRO NAVIA;AV. SALVADOR GUTIERREZ 7337;CERRO NAVIA;;338278;6300993;-70.7393489024297;-33.41823887788461
93388;Fullcarga;GONI MELGAREJO;AV. GRECIA 816 LOC 2;NUNOA;;349198;6296619;-70.62267059452762;-33.459150251960786
93395;Fullcarga;JAMAICA PTE ALTO;AV. EYZAGUIRRE 565;PUENTE ALTO;;353228;6279654;-70.58286217;-33.61296101
93401;Fullcarga;RENE PTE ALTO;AV. RAMON VENEGAS 3120;PUENTE ALTO;;355648;6283274;-70.556202;-33.58065178
93402;Fullcarga;SAN ALBERTO PTE ALTO;PASAJE EL RACIMO 566;PUENTE ALTO;;351944;6280039;-70.59587299999998;-33.60902033333334
93405;Fullcarga;MARSAN - LAS LLUVIAS;PASAJE LAS LLUVIAS 1913;PUENTE ALTO;;354503;6281690;-70.56803291666665;-33.594486666666675
93406;Fullcarga;DONDE LA TIA PATY PTE ALT;CALLE VOLCAN LONQUIMAY 545;PUENTE ALTO;;355738;6280664;-70.55565864;-33.60419379
93407;Fullcarga;LOS COROTICOS PTE ALTO;CALLE LUIS MATTE. LARRAIN 0970;PUENTE ALTO;;354440;6282677;-70.56855416666667;-33.585577916666644
93408;Fullcarga;DONDE CLAUDIO;PASAJE HUENTELAUQUEN 840;PUENTE ALTO;;352275;6283242;-70.591778;-33.58018766666667
93410;Fullcarga;ALMENDRA;CALLE SAN ALBERTO 1723;PUENTE ALTO;;355733;6281627;-70.55548055;-33.5956817
93411;Fullcarga;PUNTO BIP JUNNY PTE ALTO;CALLE LA SERRANIA 02235;PUENTE ALTO;;355374;6283241;-70.5583985897436;-33.58062512820513
93414;Fullcarga;MARSAN;AV. SAN CARLOS 0314;PUENTE ALTO;;354069;6281348;-70.57276333333333;-33.59750714285714
93415;Fullcarga;ALONSITO;VALLE CENTRAL 0655;PUENTE ALTO;;351973;6278528;-70.5964750301598;-33.6231179784266
93416;Fullcarga;VERONICA ROJAS PTE ALTO;CALLE DEL VIRREY 4585;PUENTE ALTO;;356158;6285827;-70.55065583;-33.55777658
93421;Fullcarga;EL CHAYAVIENTOS PTE ALTO;CALLE CHAYAVIENTOS 3033;PUENTE ALTO;;354248;6283076;-70.57131338;-33.58224125
93423;Fullcarga;EL FAIFITA PTE ALTO;LIBERTADOR 160;PUENTE ALTO;;352525;6279296;-70.59126173;-33.6140254
93431;Fullcarga;LA FERIA DEL CASSETTE PTE;JOSE LUIS COO 159;PUENTE ALTO;;354037;6280087;-70.57407537;-33.60916147
93435;Fullcarga;TRINIDAD PTE ALTO;PARQUE INSTITUCIONAL 0997;PUENTE ALTO;;354107;6284199;-70.57188473958334;-33.57181430208335
93436;Fullcarga;CARNICERIA RP PTE ALTO;LUIS MATTE LARRAIN 02407;PUENTE ALTO;;355697;6282833;-70.55498133333332;-33.58434705555556
93437;Fullcarga;CACHUREO PTE ALTO;LAGUNA DEL INCA 4381;PUENTE ALTO;;354585;6285117;-70.56659569444444;-33.56360486111112
93439;Fullcarga;BAZAR MONY PTE ALTO;VICEPDTE. BERNARDO LEIGHTON 1191;PUENTE ALTO;;354432;6281279;-70.56886987179487;-33.5981789102564
93440;Fullcarga;GLADYS HERNANDEZ FLORES P;EL PATIO 0585;PUENTE ALTO;;353745;6283722;-70.57586492098348;-33.576063253003
93442;Fullcarga;ALMACEN DON TONO;NONATO COO 4214;PUENTE ALTO;;353962;6284859;-70.57410804;-33.56612817
93443;Fullcarga;SANTA ELVIRA;CALLE 1 3587;PUENTE ALTO;;349830;6278859;-70.61946124;-33.6196539
93444;Fullcarga;EL ALBA PTE ALTO;LAGO TODOS LOS SANTOS 05717;PUENTE ALTO;;355341;6286570;-70.55821263888889;-33.550605138888905
93445;Fullcarga;BAZAR VIKINGO PTE ALTO;GABRIELA ORIENTE 01099;PUENTE ALTO;;354318;6283654;-70.56970397369878;-33.57675365586931
93446;Fullcarga;T & K;PASAJE CHIAPA 2711;PUENTE ALTO;;351605;6282409;-70.59975399;-33.58799392
93447;Fullcarga;NOCEDAL PTE ALTO;NOCEDAL 725;PUENTE ALTO;;352176;6278442;-70.59440432;-33.62373813
93449;Fullcarga;PC PLANET LA FLORIDA;PASAJE LAS PRIMULAS 1884;LA FLORIDA;;353001;6290404;-70.58278145833334;-33.515716250000004
93450;Fullcarga;BAZAR;LIMONEROS 3749;LA FLORIDA;;352091;6294265;-70.5919431814991;-33.48089542361582
93451;Fullcarga;JUAN E. GONZALEZ MONSALVE;AV. COLOMBIA 9027;LA FLORIDA;;352861;6288091;-70.5846643838037;-33.5365479037436
93452;Fullcarga;MINIMARKET KAREN LA FLORI;CALLE ELISA CORREA SANFUENTES 675;LA FLORIDA;;352255;6284390;-70.59180138888888;-33.569835231481484
93454;Fullcarga;ENRIQUE SANHUEZA OSSES;WALKER MARTINEZ CON AV. LA FLORIDA SUR;LA FLORIDA;;353467;6289314;-70.579019;-33.522618
93455;Fullcarga;KIOSCO JULIA;ROJAS MAGALLANES ESQ AV. LA FLORIDA;LA FLORIDA;;353999;6288267;-70.573159;-33.535349
93456;Fullcarga;YINNEREL LA FLORIDA;PASAJE LIMACHE 899;LA FLORIDA;;351013;6288095;-70.60537004;-33.53682549
93457;Fullcarga;MYC;LOS TULIPANES 8512;LA FLORIDA;;355161;6288895;-70.55977987918455;-33.52961248398628
93458;Fullcarga;SANTA TERESITA LA FLORIDA;CALLE COSTA RICA 8420;LA FLORIDA;;353222;6288813;-70.580665;-33.53009
93459;Fullcarga;CHO CHOL LA FLORIDA;CALLE STA. MARIA DE LA ESTRELLA 10390;LA FLORIDA;;350698;6286348;-70.60824292611574;-33.5519605321763
93460;Fullcarga;ALFONSO RIVERA LA FLORIDA;CALLE MARIA ELENA 714;LA FLORIDA;;351946;6285277;-70.59498416666663;-33.561798055555556
93468;Fullcarga;YENNEVA;ARGELIA 220;QUILICURA;;338032;6307811;-70.74139511;-33.35707248
93470;Fullcarga;SANTA CAROLINA;PJE. PASEO LOS DURAZNOS 6820;LA FLORIDA;;355869;6290070;-70.5527187;-33.5195417
93471;Fullcarga;COMERCIAL JAIME;CUATRO ORIENTE 25 L-A;QUILICURA;;340336;6306652;-70.7169041723112;-33.3677272244034
93472;Fullcarga;ANGELICA GALVEZ LA FLORID;AV. TRINIDAD 1593;LA FLORIDA;;350820;6286942;-70.60682913157892;-33.54662704830826
93473;Fullcarga;BELEN LA FLORIDA;AV. STA. RAQUEL 4416;LA FLORIDA;;351641;6284952;-70.5983202490973;-33.56468020454632
93474;Fullcarga;DAYANA LA FLORIDA;CALLE SAN JOSE DE LA ESTRELLA 675;LA FLORIDA;;353351;6286268;-70.57969339080461;-33.55304977011494
93476;Fullcarga;CARLOS HECTOR CASTILLO LA;CALLE LAS HIGUERAS 3441;LA FLORIDA;;354885;6290532;-70.56324576;-33.51510618
93477;Fullcarga;ELENA SOTO BENAVIDES LA F;CALLE ROJAS MAGALLANES 908;LA FLORIDA;;353225;6288181;-70.5807398453999;-33.535898933013655
93478;Fullcarga;ERBI LA FLORIDA;CALLE RAYEN 1637;LA FLORIDA;;353478;6289130;-70.5785632;-33.5276372
93480;Fullcarga;ALISON;PASAJE RENATO ZANELLI 10781;LA FLORIDA;;354357;6286117;-70.5695765;-33.5548618
93481;Fullcarga;EL VECINO - LA FLORIDA;AV. DEPARTAMENTAL 2145;LA FLORIDA;;353185;6290950;-70.5807107070707;-33.51081444444445
93482;Fullcarga;WALDO CHRISTIAN RUBIO LA;AV. LA FLORIDA 10149 ;LA FLORIDA;;354612;6286685;-70.56680329;-33.54975932
93483;Fullcarga;KIOKO KRISMAN LA FLORIDA;ROJAS MAGALLANES 1280;LA FLORIDA;;353887;6288246;-70.57416103;-33.53557692
93484;Fullcarga;ALEJANDRO OLIVARES J LA F;CALLE JOSE MIGUEL CARRERA 1523;LA FLORIDA;;350753;6286541;-70.6082311;-33.5505838
93485;Fullcarga;JUAN AVILES LA FLORIDA;CALLE BAHIA CATALINA 11205;LA FLORIDA;;350535;6285021;-70.61022;-33.56391
93491;Fullcarga;SANTA HELITA LA FLORIDA;LOS ARARIOS 2012;LA FLORIDA;;353388;6290220;-70.5792151;-33.5178366
93492;Fullcarga;GEMITA;NAVIDAD 2436;PEDRO A. CERDA;;344133;6291361;-70.67806633333335;-33.505832333333366
93496;Fullcarga;SANTA TERESITA;BRAVO LUCO 1455;PUDAHUEL;;335678;6299449;-70.76758018462013;-33.43175753910851
93513;Fullcarga;LA ESQUINA MAIPU;INGENIERO EDUARDO DOMINGUEZ 1000;MAIPU;;334594;6292946;-70.78042765957449;-33.490112092198565
93514;Fullcarga;ALMACEN GUILLERMINA MAIPU;PASAJE CHUNGARA 2326;MAIPU;;333809;6290651;-70.78929444444445;-33.51067246031745
93518;Fullcarga;LA PANCHITA MAIPU;PASAJE LAS PIRCAS 1703;MAIPU;;334624;6290153;-70.78061761904762;-33.51529666666667
93522;Fullcarga;MARY - QUILICURA;ESTERO COTRAUCO 0130;QUILICURA;;338141;6307108;-70.73971655952381;-33.36296932738095
93540;Fullcarga;CASA MARCOS MAIPU;PASAJE PINOCHET LE BRUN  L 4;MAIPU;;336828;6290828;-70.757889;-33.510484
93542;Fullcarga;SERVICIO TOTAL MAIPU;CALLE CHACABUCO 57;MAIPU;;336762;6290929;-70.75823032;-33.50890995
93543;Fullcarga;MINIMARKET MACARENA MAIPU;CALLE ALASKA 1376;MAIPU;;338331;6292917;-70.74022780024792;-33.490939197385316
93546;Fullcarga;FARM PRINCIPAL - CHACABUCO;CALLE CHACABUCO 50 L 2;MAIPU;;336690;6290872;-70.75825567312238;-33.5091267292235
93547;Fullcarga;EL CIELO MAIPU;CALLE EL CIELO 1271;MAIPU;;339757;6294390;-70.72537427;-33.47816319
93548;Fullcarga;GENESIS - LA GALAXIA;CALLE LA GALAXIA 01530;MAIPU;;333396;6289938;-70.79463938;-33.51732888
93549;Fullcarga;LAS VENTANAS MAIPU;PASAJE 1  912;MAIPU;;337621;6290127;-70.7483794587869;-33.51609891676154
93551;Fullcarga;MARY MAIPU;CALLE LOS CAPUCHINOS 0378;MAIPU;;338988;6295010;-70.73278780059202;-33.47228727931895
93552;Fullcarga;MAGGY MAIPU;PASAJE DOMINGO FAUSTINO SARMIENTO 0550;MAIPU;;334406;6288035;-70.783355625;-33.53435197916667
93555;Fullcarga;ANGEL MAIPU;AV. LAS NACIONES 822;MAIPU;;334090;6289470;-70.78649746527778;-33.52136913194445
93557;Fullcarga;ALMACEN NICOLE;PASAJE CARLOS RIESCO 1254;MAIPU;;336944;6295440;-70.7554571136144;-33.4683718241639
93558;Fullcarga;JUEGOS BIP MAIPU;CALLE AVES DEL PARAISO 600 A;MAIPU;;337589;6295054;-70.74858419;-33.47185115
93563;Fullcarga;LA EMERGENCIA MAIPU;CENTRAL GONZALO PEREZ LLONA 987;MAIPU;;337867;6291789;-70.74541462730643;-33.501035761646605
93564;Fullcarga;DELFA MAIPU;ACADEMIA DE GUERRA 3285;MAIPU;;333114;6290954;-70.79747825;-33.50812291
93565;Fullcarga;RAFAEL HERNANDEZ;EL CHAMPION 1401;MAIPU;;335133;6290955;-70.77574836;-33.50841869
93566;Fullcarga;ACIERTO EIRL;5 DE ABRIL 17;MAIPU;;336814;6290756;-70.75750968;-33.51044214
93567;Fullcarga;FARM PRINCIPAL MAIPU;5 DE ABRIL 176;MAIPU;;336634;6290730;-70.75963399;-33.51079445
93568;Fullcarga;FARM ESPOZ MAIPU;MONUMENTO 1977;MAIPU;;336707;6290880;-70.7586932221819;-33.5093289172745
93569;Fullcarga;VERONICA - PORTALES;PORTALES 1727;MAIPU;;334465;6289862;-70.78289624;-33.51847466
93570;Fullcarga;ELISA ALARCON MAIPU;LOS PESCADORES 16580;MAIPU;;336182;6286584;-70.7651910507365;-33.5481614468125
93571;Fullcarga;LA VEGUITA MAIPU;SAN JOSE 2757;MAIPU;;333376;6289930;-70.7946553897474;-33.5173872646549
93572;Fullcarga;LOS PORTALES MAIPU;EL LABRADOR 16731;MAIPU;;335937;6286434;-70.76717555555554;-33.54901944444443
93573;Fullcarga;MI AMIGA;SIMON BOLIVAR 3701;MAIPU;;341478;6276294;-70.7310018199462;-33.4792940549497
93575;Fullcarga;EL MONTINO MAIPU;CALLE JOSE MANUEL IRARRAZAVAL 995 ;MAIPU;;337676;6290410;-70.74772708324075;-33.51343912046298
93576;Fullcarga;MINIMARKET MELITA MAIPU;PASAJE SUR 167;MAIPU;;336601;6289570;-70.7594433333333;-33.5208483333333
93577;Fullcarga;BOTILLERIA ROYAL MAIPU;CALLE MONTE PALOMAR 142;MAIPU;;335394;6288894;-70.77332103;-33.52704742
93581;Fullcarga;SANTA ENRIQUETA MAIPU;PASAJE OSMIO 1812;MAIPU;;334265;6289760;-70.78455469696969;-33.51878106060605
93582;Fullcarga;LUPITA MAIPU;CALLE PTO. MONTT 18681;MAIPU;;334736;6284486;-70.78046538194444;-33.566394236111115
93583;Fullcarga;PANADERIA SUPER PAN;CALLE LUMEN 2927;MAIPU;;338566;6291484;-70.73864587;-33.50452471
93584;Fullcarga;NICO- TUCAN;PASAJE TUCAN 949;MAIPU;;337157;6295180;-70.75244524390243;-33.47036154471546
93585;Fullcarga;MINIMARKET EL TATA MAIPU;CALLE ING. ROBERTO LLONA 5482;MAIPU;;337271;6295414;-70.7511729710145;-33.468267536231885
93586;Fullcarga;JAMES PAUL FLORES ALCANTARA;RECOLETA 2193;RECOLETA;;347280;6302397;-70.6430758120044;-33.4070705424299
93588;Fullcarga;GENESIS MAIPU;CALLE CABO DE HORNOS 0671;MAIPU;;334042;6287931;-70.78729666666666;-33.53523041666666
93601;Fullcarga;MARIELA MORALES MALDONADO;CALLE LOS GENERALES 449 A;MAIPU;;335606;6289313;-70.77020303030302;-33.52301424242424
93602;Fullcarga;ALMACEN GUTIERREZ MAIPU;CALLE LOS DIAMANTES 071;MAIPU;;335923;6288278;-70.76698366666669;-33.53239472222223
93609;Fullcarga;ALMACEN EL VECINO;AV. PARQUE SUR 18415;MAIPU;;335191;6284792;-70.7767506539588;-33.5649065519185
93613;Fullcarga;AINHOITA;AV. STA. ELENA 320 1;MAIPU;;337771;6293957;-70.7465241704951;-33.4791823206263
93635;Fullcarga;ELIZABETH MAIPU;AV. PDTE. GABRIEL GONZALEZ VIDELA 2216;MAIPU;;334254;6287942;-70.78501372815788;-33.53516495622809
