iLat;iLon;stops;services;route_segments;puntos
68;80;PF303/PF331/PF431/PF432/PF433/PF456/PF457/PF611/PF804/PF925;210vI/210vR/F05I/F05R/F06I/F06R/F09I/F09R/F14I/F14R/F19I;28-29/4-5-6/31/6-10/42-43-44/5-6-7/5-6-7/5-6/16-18-19-20/9-13/6-7-8-26-27-28;
68;81;PF278/PF279/PF280/PF281/PF284/PF285/PF295/PF296/PF297/PF299/PF300/PF301/PF302/PF610/PF614/PF615/PF926;F05I/F05R/F07R/F14I/F14R/F19I/F20R;31-32/6-7-8-10/16-25-26/16-17-18/9-10-11-13/8-9-10-24-25-26/13-14-15;598/1034/1878
68;82;PF283/PF286/PF294/PF780;102I/104I/114I/F05R/F14I/F14R/F19I/F24I;39/23/20/6-7-8-9-10/17-18/9-10-11-12-13/8-9-10-11-23-24-25-26/32-33;596/603
68;83;PF698/PF702;102I/104I/114I/F19I/F24I;39-40-41/23-24-25/20-21-22/11-12/17-18-33;
68;84;PF697/PF703;F24I;16-17-33-34;
68;85;PF704;F24I;16-34;
69;42;PB1546/PG74/PG83/PG84/PG85;201eI/201eR/217eR/G09I/G09R;25-26-27/10-11-12/22-23/25-26-29-30/25-26;
69;43;PG1199/PG1224/PG1225/PG1226;217eR/G09I/G09R;23/25-26-27-28-29/25-26;
69;44;PG1063/PG1197/PG1198;217eR/G09R;23-24/22-23-24-25;1583
69;45;PG1033/PG1037/PG1038/PG1061/PG1062/PG1403/PG1426;217eI/217eR/G09R/G22I/G22R;7/24-25/20-21-22/7/11;255
69;46;PG1942/PT0105/PT0205;217eI/G09R/G14I/G14R/G22I/G22R/G23I/G23R/MTNI/MTNR/MTRI/MTRR;7/20/0-1-2/21-22/7/11/0-1-2/19-20/7-8/2-3/7-8/42-43;500/2084
69;47;PG1194/PG1195/PG1231/PG1232/PG1639/PG23/PG24/PG45;201I/201R/211I/211R/211cI/211cR/271I/271R/G14I/G14R/G23I/G23R;31/11/28/14/4/9/12/11/2/21/2/19;
69;48;PG1193/PG1633/PG21/PG22/PG46/PG47;201I/201R/211I/211R/211cI/211cR/271I/271R/G14I/G14R/G23I/G23R;31/11/28/14/4/9/12/11/2/21/2/19;1574/2068
69;49;PG1233/PG1796/PG1943/PG769/PG770/PG793/PG794;G07I/G07R/G14I/G14R/G23I/G23R;9-10-11-12/28-29/2/21/2/19;
69;50;PG791;G07I;8-9;
69;51;PG790/PG870;301I/301c2I/301cI/G05I/G07I/G16I;22/3/4/21/6-7-8/11;
69;52;PG1277/PG1283/PG352/PG353/PG354/PG355/PG377/PG378/PG379/PG789/PG867/PG868/PG869/PG879/PG880;301I/301R/301c2I/301c2R/301cI/301cR/G05I/G05R/G07I/G07R/G16I/G16R;22/2/3/2/4/2/18-19-20-21/4-5-6/6/30-31/10-11/5-6;249/781
