Codigo;Abreviacion;Nombre;Linea;Dias;Apertura Estacion;Apertura Boletaria;Cierre boleteria;Cierre Estacion;Destino 1;Primer Tren D1;Ultimo tren D1;Destino 2;Primer Tren D2;Ultimo tren D2;Expreso
46;LM;La Moneda;L1;Sábado;6:30;6:30;23:00;23:30;San Pablo;6:36;23:37;Los Dominicos;6:33;23:19;
15;CH;Universidad de Chile;L1;Sábado;6:30;6:30;23:00;23:25;San Pablo;6:35;23:36;Los Dominicos;6:34;23:21;
89;SL;Santa Lucía;L1;Sábado;6:30;6:30;23:00;23:25;San Pablo;6:33;23:35;Los Dominicos;6:35;23:22;
96;UC;Universidad Católica;L1;Sábado;6:30;6:30;23:00;23:25;San Pablo;6:32;23:34;Los Dominicos;6:30;23:23;
6;BA;Baquedano;L1;Sábado;6:30;6:30;23:00;23:25;San Pablo;6:31;23:33;Los Dominicos;6:32;23:24;
85;SA;Salvador;L1;Sábado;6:30;6:30;23:00;23:25;San Pablo;6:36;23:31;Los Dominicos;6:33;23:26;
57;MM;Manuel Montt;L1;Sábado;6:30;6:30;23:00;23:25;San Pablo;6:35;23:29;Los Dominicos;6:35;23:27;
74;PV;Pedro de Valdivia;L1;Sábado;6:30;6:30;23:00;23:25;San Pablo;6:34;23:28;Los Dominicos;6:30;23:29;
41;LEN;Los Leones;L1;Sábado;6:30;6:30;23:00;23:25;San Pablo;6:32;23:27;Los Dominicos;6:31;23:30;
93;TB;Tobalaba;L1;Sábado;6:30;6:30;23:00;23:25;San Pablo;6:31;23:25;Los Dominicos;6:33;23:31;
32;GO;El Golf;L1;Sábado;6:30;6:30;23:00;23:25;San Pablo;6:30;23:24;Los Dominicos;6:34;23:33;
3;AL;Alcántara;L1;Sábado;6:30;6:30;23:00;23:30;San Pablo;6:35;23:23;Los Dominicos;6:35;23:34;
27;EM;Escuela Militar;L1;Sábado;6:30;6:30;23:00;23:30;San Pablo;6:34;23:22;Los Dominicos;6:31;23:35;
58;MQ;Manquehue;L1;Sábado;6:30;6:30;23:00;23:35;San Pablo;6:32;23:20;Los Dominicos;6:33;23:37;
33;HM;Hernando de Magallanes;L1;Sábado;6:30;6:30;23:00;23:35;San Pablo;6:30;23:18;Los Dominicos;6:34;23:39;
40;LD;Los Dominicos;L1;Sábado;6:30;6:30;23:00;23:35;San Pablo;6:35;23:16;Los Dominicos;-;-;
91;SO;San Pablo;L1;Domingo;8:00;8:00;22:30;23:23;San Pablo;-;-;Los Dominicos;8:04;22:46;
