id;id_station_measure
15360-Lte;WOM;83
15361-Lte;WOM;83
15362-Lte;WOM;83
1551653-Lte;Movistar;110
1551654-Lte;Movistar;109
1551655-Lte;Movistar;109
1551909-Lte;Movistar;111
1551910-Lte;Movistar;111
1551911-Lte;Movistar;110
1552165-Lte;Movistar;113
1552166-Lte;Movistar;112
1552167-Lte;Movistar;112
1552421-Lte;Movistar;114
1552422-Lte;Movistar;114
1552423-Lte;Movistar;113
1552677-Lte;Movistar;115
1552678-Lte;Movistar;115
1552679-Lte;Movistar;116
1552933-Lte;Movistar;116
1552934-Lte;Movistar;117
1552935-Lte;Movistar;117
1553189-Lte;Movistar;118
1553190-Lte;Movistar;118
1554976-Lte;Movistar;39
1560870-Lte;Movistar;27
1560871-Lte;Movistar;27
1561126-Lte;Movistar;26
1561127-Lte;Movistar;26
1561382-Lte;Movistar;25
1561383-Lte;Movistar;25
1561638-Lte;Movistar;24
1561639-Lte;Movistar;24
1562150-Lte;Movistar;10
1562151-Lte;Movistar;10
1562406-Lte;Movistar;9
1562407-Lte;Movistar;9
1562662-Lte;Movistar;8
1562663-Lte;Movistar;8
1562918-Lte;Movistar;7
1562919-Lte;Movistar;7
1563174-Lte;Movistar;6
1563175-Lte;Movistar;6
1563430-Lte;Movistar;5
1563431-Lte;Movistar;5
1563679-Lte;Movistar;27
1563935-Lte;Movistar;26
1564191-Lte;Movistar;25
1564447-Lte;Movistar;24
1564703-Lte;Movistar;23
1564959-Lte;Movistar;10
1565215-Lte;Movistar;9
1565727-Lte;Movistar;7
1565983-Lte;Movistar;6
1566239-Lte;Movistar;5
1566495-Lte;Movistar;27
1566721-Lte;Claro;13
1567007-Lte;Movistar;25
1568799-Lte;Movistar;27
1570079-Lte;Movistar;27
1570591-Lte;Movistar;25
1570847-Lte;Movistar;24
1577235-Wcdma;Claro;5
1577236-Wcdma;Claro;5
1577241-Wcdma;Claro;5
1577242-Wcdma;Claro;5
1577245-Wcdma;Claro;4
1577246-Wcdma;Claro;4
1577247-Wcdma;Claro;4
1577253-Wcdma;Claro;4
1577625-Wcdma;Claro;112
1577627-Wcdma;Claro;110
15813377-Lte;Claro;80
15813378-Lte;Claro;80
15813379-Lte;Claro;80
15817729-Lte;Claro;81
15817730-Lte;Claro;81
15817731-Lte;Claro;81
15817732-Lte;Claro;82
1581927-Wcdma;Claro;84
1581932-Wcdma;Claro;84
1581932-Wcdma;WOM;84
1581956-Wcdma;Claro;83
1582025-Wcdma;Claro;3
1582026-Wcdma;Claro;3
1582031-Wcdma;Claro;3
1582032-Wcdma;Claro;3
1582038-Wcdma;Claro;83
1582073-Wcdma;Claro;2
1582107-Wcdma;Claro;83
1582107-Wcdma;WOM;83
1582110-Wcdma;Claro;83
1582113-Wcdma;WOM;83
1582165-Wcdma;Claro;2
1582171-Wcdma;Claro;2
1582171-Wcdma;WOM;2
1582201-Wcdma;Claro;109
1582580-Wcdma;Claro;82
1582616-Wcdma;Claro;84
1582617-Wcdma;Claro;84
1582720-Wcdma;Claro;83
15838977-Lte;Claro;85
15838979-Lte;Claro;85
158465-Lte;Claro;21
158466-Lte;Claro;50
158724-Lte;Claro;24
1588236-Wcdma;WOM;84
1588535-Wcdma;Claro;82
1588535-Wcdma;WOM;82
1588541-Gsm;Movistar;82
1588689-Wcdma;Claro;83
1590488-Wcdma;Claro;84
1590498-Wcdma;Claro;82
1590498-Wcdma;WOM;82
1590538-Wcdma;Claro;83
1590548-Wcdma;Claro;83
1590575-Wcdma;Claro;80
1590575-Wcdma;WOM;80
1590578-Wcdma;Claro;79
1590579-Wcdma;Claro;80
1590581-Wcdma;Claro;80
1590582-Wcdma;Claro;79
1590745-Wcdma;Claro;81
1590745-Wcdma;WOM;81
1590746-Wcdma;WOM;81
1590750-Wcdma;Claro;81
1591575-Wcdma;Claro;85
1591575-Wcdma;WOM;85
1591578-Wcdma;Claro;86
1591580-Wcdma;Claro;85
1591582-Wcdma;Claro;85
1591583-Wcdma;Claro;86
159233-Lte;Claro;25
160770-Lte;Claro;51
1625129-Lte;Movistar;55
1625148-Lte;Movistar;136
1625149-Lte;Movistar;136
1625150-Lte;Movistar;135
1625151-Lte;Movistar;135
1625152-Lte;Movistar;134
1625154-Lte;Movistar;134
1625155-Lte;Movistar;133
1625156-Lte;Movistar;133
1625642-Lte;Movistar;99
1625660-Lte;Movistar;132
1625661-Lte;Movistar;132
1625662-Lte;Movistar;131
1625663-Lte;Movistar;131
1625664-Lte;Movistar;130
1625666-Lte;Movistar;130
1625667-Lte;Movistar;129
1625668-Lte;Movistar;129
1626153-Lte;Movistar;13
1626155-Lte;Movistar;35
1626173-Lte;Movistar;128
1626174-Lte;Movistar;127
1626175-Lte;Movistar;127
1626176-Lte;Movistar;126
1626177-Lte;Movistar;126
1626178-Lte;Movistar;125
1626179-Lte;Movistar;125
1626180-Lte;Movistar;124
1626181-Lte;Movistar;124
1626182-Lte;Movistar;123
1626183-Lte;Movistar;123
1626667-Lte;Movistar;119
1626684-Lte;Movistar;122
1626685-Lte;Movistar;122
1626686-Lte;Movistar;121
1626687-Lte;Movistar;121
1626687-Lte;WOM;121
1626688-Lte;Movistar;120
1626690-Lte;Movistar;120
1626691-Lte;Movistar;119
1626692-Lte;Movistar;119
1627517-Wcdma;WOM;82
1627531-Wcdma;Claro;109
1628623-Wcdma;Claro;2
1629565-Wcdma;WOM;82
1629697-Wcdma;Claro;83
1629915-Wcdma;Claro;112
1629916-Wcdma;Claro;111
1629916-Wcdma;WOM;111
1629917-Wcdma;Claro;110
1631657-Wcdma;Claro;84
1631657-Wcdma;WOM;84
1631834-Wcdma;Claro;110
1631839-Wcdma;Claro;109
1632274-Wcdma;Claro;110
1633416-Wcdma;Claro;83
1633482-Wcdma;Claro;84
1636479-Wcdma;Claro;82
1636909-Wcdma;Claro;84
1636909-Wcdma;WOM;84
163841-Lte;Claro;23
1641237-Lte;Movistar;70
164459-Wcdma;WOM;82
1647720-Wcdma;Movistar;128
1647721-Wcdma;Movistar;128
1647722-Wcdma;Movistar;127
1647723-Wcdma;Movistar;128
1647724-Wcdma;Movistar;128
1647725-Wcdma;Movistar;127
1647726-Wcdma;Movistar;127
1647727-Wcdma;Movistar;126
1647728-Wcdma;Movistar;126
1647729-Wcdma;Movistar;127
1647730-Wcdma;Movistar;126
1647731-Wcdma;Movistar;126
1647732-Wcdma;Movistar;125
1647733-Wcdma;Movistar;125
1647734-Wcdma;Movistar;124
1647735-Wcdma;Movistar;125
1647736-Wcdma;Movistar;125
1647737-Wcdma;Movistar;124
1647738-Wcdma;Movistar;124
1647739-Wcdma;Movistar;123
1647740-Wcdma;Movistar;123
1647741-Wcdma;Movistar;124
1647742-Wcdma;Movistar;123
1647743-Wcdma;Movistar;123
1647744-Wcdma;Movistar;122
1647745-Wcdma;Movistar;122
1647746-Wcdma;Movistar;121
1647747-Wcdma;Movistar;122
1647748-Wcdma;Movistar;122
1647749-Wcdma;Movistar;121
1647750-Wcdma;Movistar;121
1647751-Wcdma;Movistar;120
1647752-Wcdma;Movistar;120
1647753-Wcdma;Movistar;121
1647754-Wcdma;Movistar;120
1647755-Wcdma;Movistar;120
1647756-Wcdma;Movistar;119
1647757-Wcdma;Movistar;119
1647758-Wcdma;Movistar;119
1647759-Wcdma;Movistar;119
1647777-Wcdma;Movistar;127
1647783-Wcdma;Movistar;124
1647784-Wcdma;Movistar;123
1647793-Wcdma;Movistar;119
1698733-Wcdma;Movistar;28
1698734-Gsm;Movistar;28
1698734-Wcdma;Movistar;28
1698737-Wcdma;Movistar;28
1698738-Wcdma;Movistar;92
1698739-Wcdma;Movistar;92
1698740-Wcdma;Movistar;92
1698740-Wcdma;WOM;92
1698741-Wcdma;Movistar;92
1698742-Wcdma;Movistar;92
1698743-Wcdma;Movistar;92
1698743-Wcdma;WOM;92
1698745-Wcdma;Movistar;30
1698746-Wcdma;Movistar;30
1698746-Wcdma;WOM;30
1698748-Wcdma;Movistar;30
1698749-Wcdma;Movistar;30
1698750-Wcdma;Movistar;31
1698751-Wcdma;Movistar;31
1698751-Wcdma;WOM;31
1698752-Wcdma;Movistar;31
1698752-Wcdma;WOM;31
1698753-Gsm;Movistar;31
1698753-Wcdma;Movistar;31
1698754-Gsm;Movistar;31
1698754-Wcdma;Movistar;31
1698755-Gsm;Movistar;31
1698755-Wcdma;Movistar;31
1698756-Wcdma;Movistar;32
1698757-Wcdma;Movistar;32
1698758-Wcdma;Movistar;32
1698760-Wcdma;Movistar;32
1698761-Wcdma;Movistar;32
1698762-Wcdma;Movistar;33
1698763-Wcdma;Movistar;33
1698764-Wcdma;Movistar;33
1698766-Wcdma;Movistar;33
173015040-Wcdma;Claro;48
1749505-Lte;Claro;63
1749506-Lte;Claro;108
1749507-Lte;Claro;108
1749508-Lte;Claro;107
1753-Gsm;Entel;76
1770870-Wcdma;Movistar;66
1771830-Wcdma;Movistar;64
1771833-Wcdma;Movistar;64
1772183-Wcdma;Movistar;68
1782146-Wcdma;Movistar;64
1782491-Wcdma;Movistar;74
1782731-Wcdma;Movistar;65
1783298-Wcdma;Movistar;64
1783299-Wcdma;Movistar;64
1783299-Wcdma;WOM;64
1783300-Wcdma;Movistar;64
1783459-Wcdma;Movistar;76
1783460-Wcdma;Movistar;77
1783509-Wcdma;Movistar;66
1783511-Wcdma;Movistar;67
1783511-Wcdma;WOM;67
1783679-Wcdma;Movistar;75
1784133-Wcdma;Movistar;65
1784135-Wcdma;Movistar;66
1785918-Wcdma;Movistar;64
1785919-Wcdma;Movistar;64
1785920-Wcdma;Movistar;64
1786693-Wcdma;Movistar;74
1786733-Wcdma;Movistar;66
1786735-Wcdma;Movistar;67
1786735-Wcdma;WOM;67
1787266-Wcdma;Movistar;75
1787407-Wcdma;Movistar;76
1787408-Wcdma;Movistar;77
1788076-Wcdma;Movistar;65
1791159-Wcdma;Movistar;76
1791160-Wcdma;Movistar;76
1791162-Wcdma;Movistar;76
1791163-Wcdma;Movistar;76
1793024-Wcdma;Movistar;74
1793026-Wcdma;Movistar;74
1793027-Wcdma;Movistar;74
1793029-Wcdma;Movistar;74
1793031-Wcdma;Movistar;64
1793032-Wcdma;Movistar;74
1798889-Wcdma;Movistar;76
1804415-Wcdma;Movistar;68
1804417-Wcdma;Movistar;68
1804420-Wcdma;Movistar;68
180994-Lte;Claro;54
1813923-Wcdma;Movistar;77
1813971-Wcdma;Movistar;74
1813986-Wcdma;Movistar;66
1813988-Wcdma;Movistar;67
1813988-Wcdma;WOM;67
1814207-Wcdma;Movistar;75
1814574-Wcdma;Movistar;65
1814575-Wcdma;Movistar;65
1818403-Wcdma;Movistar;75
1818406-Wcdma;Movistar;75
1844588-Wcdma;Claro;78
1844592-Wcdma;Claro;49
1844595-Wcdma;Claro;78
1844596-Wcdma;Claro;49
1844596-Wcdma;WOM;49
1848020-Wcdma;Claro;78
1848021-Wcdma;Claro;78
1848028-Wcdma;Claro;77
1848029-Wcdma;Claro;76
1848030-Wcdma;Claro;76
1848035-Wcdma;Claro;77
1848036-Wcdma;Claro;76
1848642-Wcdma;Claro;77
1848645-Wcdma;Claro;77
1852-Gsm;Entel;60
185978-Wcdma;Claro;106
186627-Lte;Claro;102
187883-Wcdma;Claro;105
187905-Lte;Claro;52
188073-Wcdma;Claro;106
188074-Wcdma;Claro;106
188083-Wcdma;Claro;104
188084-Wcdma;Claro;104
188085-Wcdma;Claro;104
188161-Lte;Claro;53
188417-Lte;Claro;54
1886443-Wcdma;Movistar;86
1886445-Wcdma;Movistar;86
1886446-Wcdma;Movistar;86
1886447-Wcdma;Movistar;86
188673-Lte;Claro;55
188929-Lte;Claro;56
1890262-Wcdma;WOM;49
1890264-Wcdma;Claro;78
1890935-Wcdma;Claro;76
1890937-Wcdma;Claro;77
189185-Lte;Claro;57
189254-Wcdma;Claro;61
1895800-Wcdma;Claro;76
1895802-Wcdma;Claro;77
1895819-Wcdma;Claro;77
1898502-Wcdma;Claro;49
1898502-Wcdma;WOM;49
1907885-Wcdma;Claro;52
1907891-Gsm;WOM;52
1907891-Wcdma;Claro;52
1907895-Wcdma;Claro;53
1907901-Wcdma;WOM;53
1907905-Wcdma;Claro;54
1907911-Wcdma;Claro;54
1907915-Gsm;Claro;55
1907915-Wcdma;Claro;55
1907921-Wcdma;Claro;55
1908517-Wcdma;Claro;116
191756-Wcdma;Claro;101
191757-Wcdma;Claro;102
1919197-Wcdma;Claro;132
1919202-Wcdma;Claro;132
1919205-Wcdma;Claro;133
1919206-Wcdma;Claro;133
1919207-Wcdma;Claro;134
1919211-Wcdma;Claro;136
192941-Wcdma;Claro;41
193986-Wcdma;Claro;102
19402-Gsm;Movistar;14
19403-Gsm;Movistar;14
19404-Gsm;Entel;14
19404-Gsm;Movistar;14
19410-Gsm;Movistar;13
19411-Gsm;Movistar;13
19412-Gsm;Entel;13
19412-Gsm;Movistar;13
19414-Gsm;Movistar;12
19415-Gsm;Movistar;12
19416-Gsm;Entel;11
19416-Gsm;Movistar;12
19417-Gsm;Entel;11
19478-Gsm;Claro;94
19478-Gsm;Movistar;94
19479-Gsm;Movistar;94
19480-Gsm;Claro;94
19480-Gsm;Entel;95
19481-Gsm;Claro;94
19482-Gsm;Claro;95
19482-Gsm;Entel;95
19482-Gsm;Movistar;95
19483-Gsm;Claro;96
19483-Gsm;Entel;96
19483-Gsm;Movistar;95
19545-Gsm;Claro;25
19545-Gsm;Entel;25
19545-Gsm;Movistar;25
19546-Gsm;Entel;26
19546-Gsm;Movistar;25
19548-Gsm;Movistar;26
19549-Gsm;Movistar;26
1954926-Gsm;Movistar;135
1954945-Wcdma;Claro;133
1954946-Wcdma;Claro;133
1954947-Wcdma;Claro;134
19550-Gsm;Entel;25
19551-Gsm;Movistar;27
19552-Gsm;Claro;27
19552-Gsm;Entel;27
19552-Gsm;Movistar;27
1956875-Wcdma;Claro;116
1956876-Wcdma;Claro;117
195771-Wcdma;Claro;105
19581-Gsm;Movistar;50
19582-Gsm;Claro;50
19582-Gsm;Entel;50
19582-Gsm;Movistar;50
1958333-Wcdma;Claro;116
196007-Wcdma;Claro;101
2003970-Lte;Claro;102
20103-Gsm;Entel;58
201850880-Wcdma;Claro;66
20231-Gsm;Entel;40
204036-Lte;Claro;20
204037-Lte;Claro;118
204039-Lte;Claro;115
204040-Lte;Claro;115
204041-Lte;Claro;116
204043-Lte;Claro;117
204044-Lte;Claro;117
204045-Lte;Claro;118
20461-Gsm;Entel;83
205313-Lte;Claro;59
205569-Lte;Claro;73
205575-Lte;Claro;73
205577-Lte;Claro;73
205826-Lte;Claro;104
205831-Lte;Claro;103
206088-Lte;Claro;102
207617-Lte;Claro;105
207618-Lte;Claro;105
207623-Lte;Claro;105
209409-Lte;Claro;107
2101313-Wcdma;Claro;7
2101313-Wcdma;WOM;7
2101317-Wcdma;Claro;6
2101319-Wcdma;Claro;7
2101319-Wcdma;WOM;7
2101323-Wcdma;Claro;91
2101323-Wcdma;WOM;91
2101483-Wcdma;Claro;10
2101485-Gsm;Movistar;10
2101485-Wcdma;Claro;10
2101485-Wcdma;WOM;10
2101491-Wcdma;Claro;10
2101491-Wcdma;WOM;10
2101494-Wcdma;Claro;9
2101495-Gsm;Movistar;9
2101495-Wcdma;Claro;9
2101495-Wcdma;WOM;9
2101500-Wcdma;Claro;9
2101501-Wcdma;Claro;9
2101501-Wcdma;WOM;9
2101504-Gsm;Movistar;8
2101504-Wcdma;Claro;8
2101504-Wcdma;WOM;8
2101509-Wcdma;Claro;20
2101510-Wcdma;Claro;8
2101510-Wcdma;WOM;8
2101513-Gsm;Movistar;6
2101514-Wcdma;Claro;6
2101519-Wcdma;Claro;6
2101520-Wcdma;Claro;6
2101633-Wcdma;Claro;92
2101633-Wcdma;WOM;92
2101643-Wcdma;Claro;90
2101643-Wcdma;WOM;90
2101653-Wcdma;Claro;89
210434-Lte;Claro;60
21190-Gsm;Movistar;38
21190-Gsm;WOM;38
211969-Lte;Claro;102
211970-Lte;Claro;102
21372-Gsm;Entel;36
214530-Lte;Claro;74
214535-Lte;Claro;64
214536-Lte;Claro;74
214785-Lte;Claro;58
214786-Lte;Claro;58
214787-Lte;Claro;58
215041-Lte;Claro;104
215042-Lte;Claro;104
215297-Lte;Claro;103
215298-Lte;Claro;103
215299-Lte;Claro;103
2158086-Wcdma;Claro;92
2158086-Wcdma;WOM;92
215809-Lte;Claro;106
215810-Lte;Claro;106
215811-Lte;Claro;106
2158116-Wcdma;Claro;91
2158116-Wcdma;WOM;91
2158136-Wcdma;Claro;90
2158156-Wcdma;Claro;89
216065-Lte;Claro;62
21623-Gsm;Movistar;17
21625-Gsm;Movistar;17
21626-Gsm;Entel;16
21626-Gsm;Movistar;16
21628-Gsm;Movistar;16
21629-Gsm;Movistar;16
21630-Gsm;Movistar;15
21631-Gsm;Entel;14
21631-Gsm;Movistar;15
21632-Gsm;Entel;15
21632-Gsm;Movistar;15
216327-Lte;Claro;106
21638-Gsm;Movistar;96
21639-Gsm;Movistar;96
21640-Gsm;Movistar;96
21662-Gsm;Movistar;35
21663-Gsm;Movistar;35
21664-Gsm;Movistar;35
21664-Gsm;WOM;35
21671-Gsm;Movistar;33
21672-Gsm;Movistar;33
21673-Gsm;Movistar;33
21695-Gsm;Claro;98
21695-Gsm;Movistar;97
21696-Gsm;Claro;96
21696-Gsm;Entel;96
21696-Gsm;Movistar;97
217347-Lte;Claro;64
218115-Lte;Claro;102
22130-Gsm;Movistar;65
22262-Gsm;Movistar;68
2237069-Wcdma;Claro;48
2237069-Wcdma;WOM;48
2237070-Wcdma;Claro;48
2237070-Wcdma;WOM;48
2237072-Wcdma;Claro;48
2237073-Wcdma;Claro;48
2237088-Wcdma;Claro;46
2237088-Wcdma;WOM;46
2237089-Wcdma;Claro;46
2237090-Wcdma;Claro;46
2237090-Wcdma;WOM;46
2237091-Wcdma;Claro;46
2237092-Wcdma;Claro;46
2237093-Wcdma;Claro;46
2237093-Wcdma;WOM;46
2237098-Wcdma;Claro;47
2237098-Wcdma;WOM;47
2237101-Wcdma;Claro;47
22429-Gsm;Movistar;70
2243655-Wcdma;Claro;79
2243655-Wcdma;WOM;79
22483-Gsm;Movistar;66
22526-Gsm;Claro;80
22526-Gsm;Movistar;80
226306-Lte;Claro;48
226307-Lte;Claro;48
226561-Lte;Claro;43
226817-Lte;Claro;46
226818-Lte;Claro;46
226819-Lte;Claro;46
227073-Lte;Claro;47
227074-Lte;Claro;47
227329-Lte;Claro;44
227585-Lte;Claro;45
227586-Lte;Claro;45
22871-Gsm;Entel;53
23084-Gsm;Movistar;84
23121-Gsm;Entel;38
23121-Gsm;Movistar;40
23151-Gsm;Entel;57
23161600-Lte;WOM;113
23161857-Lte;WOM;115
23161859-Lte;WOM;114
23162112-Lte;WOM;116
23162880-Lte;WOM;118
23162881-Lte;WOM;20
23191-Gsm;Claro;71
23191-Gsm;Entel;72
231938-Lte;Claro;84
231944-Lte;Claro;84
23254-Gsm;Movistar;2
23262-Gsm;Movistar;3
232706-Lte;Claro;83
232712-Lte;Claro;82
23294721-Lte;Claro;119
23294721-Lte;WOM;119
23294722-Lte;Claro;119
23294722-Lte;WOM;119
23294976-Lte;Claro;120
23294976-Lte;WOM;120
23294977-Lte;Claro;120
23294977-Lte;WOM;120
23295232-Lte;Claro;121
23295232-Lte;WOM;121
23295488-Lte;WOM;122
23295744-Lte;Claro;123
23295744-Lte;WOM;123
23295745-Lte;Claro;123
23296000-Lte;Claro;124
23296000-Lte;WOM;124
23296257-Lte;Claro;125
23296257-Lte;WOM;125
23296513-Lte;WOM;126
23296768-Lte;Claro;127
23296768-Lte;WOM;127
23297024-Lte;WOM;128
23297280-Lte;Claro;129
23297280-Lte;WOM;129
23297537-Lte;Claro;130
23297537-Lte;WOM;130
23297792-Lte;Claro;131
23297792-Lte;WOM;131
23297793-Lte;Claro;131
23298048-Lte;Claro;132
23298048-Lte;WOM;132
23298304-Lte;WOM;133
23298560-Lte;Claro;134
23298560-Lte;WOM;134
23298561-Lte;Claro;134
23298817-Lte;Claro;135
23298817-Lte;WOM;135
23299072-Lte;Claro;136
23299072-Lte;WOM;136
23383552-Lte;WOM;58
23383553-Lte;Claro;58
23383553-Lte;WOM;58
23384064-Lte;WOM;60
23384066-Lte;Claro;60
23384066-Lte;WOM;60
23390210-Lte;Claro;67
23395584-Lte;Claro;75
23395584-Lte;WOM;75
23405834-Lte;Claro;64
23424000-Lte;Claro;39
23424000-Lte;WOM;39
23424001-Lte;WOM;39
235521-Gsm;Claro;3
235521-Lte;Claro;3
235523-Gsm;Claro;2
235523-Lte;Claro;2
2360308-Wcdma;Claro;36
2360309-Wcdma;Claro;36
2360379-Wcdma;Claro;36
2360381-Wcdma;Claro;37
2360382-Wcdma;Claro;36
2360478-Wcdma;Claro;36
2360487-Gsm;Movistar;37
2360490-Wcdma;Claro;37
2360490-Wcdma;WOM;37
2360491-Wcdma;Claro;11
2360494-Wcdma;Claro;11
2360497-Wcdma;Claro;13
2360497-Wcdma;WOM;13
2360498-Wcdma;Claro;13
2360498-Wcdma;WOM;13
2360507-Wcdma;Claro;16
2360507-Wcdma;WOM;16
2360508-Gsm;Movistar;16
2360508-Wcdma;Claro;16
2360508-Wcdma;WOM;16
2360510-Wcdma;Claro;16
2360511-Wcdma;Claro;96
2360514-Wcdma;Claro;96
2360516-Wcdma;Claro;35
2360521-Wcdma;Claro;35
2360522-Wcdma;Claro;35
2360525-Wcdma;Claro;35
2360527-Wcdma;Claro;94
2360527-Wcdma;WOM;94
2360537-Wcdma;WOM;93
2360647-Wcdma;Claro;37
2360652-Wcdma;Claro;37
2360655-Wcdma;Claro;37
2360655-Wcdma;WOM;37
2360667-Wcdma;Claro;12
2360668-Wcdma;Claro;12
2360668-Wcdma;WOM;12
2360673-Wcdma;Claro;12
2360674-Wcdma;Claro;12
2360674-Wcdma;WOM;12
2360675-Wcdma;Claro;12
2360677-Wcdma;Claro;14
2360677-Wcdma;WOM;14
2360678-Wcdma;Claro;14
2360678-Wcdma;WOM;14
2360679-Gsm;Movistar;14
2360679-Wcdma;Claro;14
2360679-Wcdma;WOM;14
2360683-Wcdma;Claro;14
2360683-Wcdma;WOM;14
2360684-Wcdma;Claro;14
2360685-Wcdma;Claro;14
2360685-Wcdma;WOM;14
2360687-Wcdma;Claro;15
2360687-Wcdma;WOM;15
2360689-Wcdma;Claro;15
2360693-Wcdma;Claro;15
2360693-Wcdma;WOM;15
2360694-Wcdma;Claro;15
2360695-Wcdma;Claro;15
2361087-Wcdma;Claro;36
2361092-Wcdma;Claro;36
2361095-Wcdma;Claro;36
2361250-Wcdma;Claro;36
2361250-Wcdma;WOM;36
2361251-Wcdma;Claro;36
2361251-Wcdma;WOM;36
2361253-Wcdma;Claro;36
2361254-Wcdma;Claro;36
2361254-Wcdma;WOM;36
2361539-Wcdma;Claro;96
2361638-Wcdma;Claro;17
2361638-Wcdma;WOM;17
2361644-Gsm;Movistar;17
2361644-Wcdma;Claro;17
2361644-Wcdma;WOM;17
2361645-Wcdma;Claro;17
2362030-Wcdma;Claro;34
2362033-Wcdma;Claro;34
2362034-Wcdma;Claro;34
2362968-Wcdma;Claro;37
2362970-Wcdma;Claro;38
2362970-Wcdma;WOM;38
2362971-Wcdma;Claro;38
2362971-Wcdma;WOM;38
2362973-Wcdma;Claro;38
2363017-Wcdma;Claro;38
2363020-Wcdma;Claro;38
2363023-Wcdma;Claro;38
2365060-Wcdma;Claro;32
2365061-Wcdma;Claro;32
2365063-Wcdma;Claro;32
2365064-Wcdma;Claro;32
2365070-Wcdma;Claro;33
2365071-Wcdma;Claro;33
2365073-Wcdma;Claro;33
2365074-Wcdma;Claro;34
236546-Lte;Claro;83
236552-Lte;Claro;83
2367297-Wcdma;Claro;35
2367301-Wcdma;Claro;35
2377917-Wcdma;Claro;123
2377918-Gsm;Movistar;123
2377919-Wcdma;Claro;124
2377920-Wcdma;Claro;123
2377924-Wcdma;Claro;125
2377925-Wcdma;Claro;125
2377928-Wcdma;Claro;126
2377929-Wcdma;Claro;127
2377931-Wcdma;Claro;124
2377934-Wcdma;Claro;128
2377935-Wcdma;Claro;128
23823-Gsm;Claro;8
23823-Gsm;Movistar;8
23824-Gsm;Movistar;8
23825-Gsm;Claro;8
23825-Gsm;Entel;8
23826-Gsm;Entel;7
23826-Gsm;Movistar;7
23827-Gsm;Entel;8
23827-Gsm;Movistar;7
23828-Gsm;Claro;6
23828-Gsm;Movistar;7
23829-Gsm;Movistar;6
23830-Gsm;Claro;5
23830-Gsm;Entel;7
23830-Gsm;Movistar;6
23831-Gsm;Claro;6
23831-Gsm;Movistar;6
23832-Gsm;Movistar;40
23834-Gsm;Movistar;41
23835-Gsm;Entel;41
23835-Gsm;Movistar;41
23836-Gsm;Movistar;41
23837-Gsm;Entel;42
23837-Gsm;Movistar;42
23838-Gsm;Entel;42
23838-Gsm;Movistar;42
23839-Gsm;Movistar;42
23842-Gsm;Movistar;86
23844-Gsm;Movistar;87
23844-Gsm;WOM;87
23845-Gsm;Movistar;87
23846-Gsm;Claro;87
23846-Gsm;Entel;88
23846-Gsm;Movistar;87
23848-Gsm;Claro;88
23848-Gsm;Entel;88
23848-Gsm;Movistar;88
23849-Gsm;Movistar;88
23854-Gsm;Movistar;90
23855-Gsm;Movistar;90
23856-Gsm;Movistar;90
23858-Gsm;Movistar;91
23858-Gsm;WOM;91
23859-Gsm;Entel;91
23859-Gsm;Movistar;91
23860-Gsm;WOM;91
23880-Gsm;Entel;54
23880-Gsm;Movistar;54
23881-Gsm;Claro;53
23882-Gsm;Movistar;54
23884-Gsm;Claro;55
23884-Gsm;Movistar;55
23886-Gsm;Movistar;56
23887-Gsm;Claro;56
23887-Gsm;Entel;56
23887-Gsm;Movistar;56
23888-Gsm;Movistar;56
23889-Gsm;Claro;55
23889-Gsm;Entel;55
23891-Gsm;Movistar;57
23892-Gsm;Claro;57
23893-Gsm;Movistar;57
24069-Gsm;Movistar;77
2413737-Wcdma;Claro;127
2413738-Gsm;Movistar;128
2413739-Wcdma;Claro;128
2413758-Wcdma;Claro;126
2413759-Wcdma;Claro;127
2413767-Wcdma;Claro;124
2413768-Wcdma;Claro;125
2413769-Wcdma;Claro;125
2413779-Wcdma;Claro;125
2413787-Wcdma;Claro;123
2413788-Wcdma;Claro;123
2413789-Wcdma;Claro;124
2416118-Wcdma;Claro;37
2420160-Wcdma;Claro;95
2420180-Wcdma;Claro;94
2420180-Wcdma;WOM;94
2420210-Wcdma;WOM;93
2421408-Wcdma;Claro;36
2421409-Wcdma;Claro;36
2421528-Wcdma;Claro;36
2421672-Wcdma;Claro;37
2421777-Wcdma;WOM;37
2422489-Wcdma;Claro;96
2424340-Wcdma;Claro;38
24271-Gsm;Entel;60
24333-Gsm;Entel;59
2437911-Wcdma;Claro;70
2437911-Wcdma;WOM;70
2438025-Wcdma;Claro;68
2438030-Wcdma;Claro;69
2438089-Wcdma;Claro;72
2438117-Wcdma;Claro;67
2438118-Wcdma;Claro;67
2438136-Wcdma;Claro;66
2438163-Wcdma;Claro;66
2438195-Wcdma;Claro;70
2438201-Wcdma;Claro;70
2438201-Wcdma;WOM;70
2438230-Wcdma;Claro;68
2438253-Wcdma;Claro;65
2438255-Wcdma;Claro;65
2438393-Wcdma;Claro;66
2438395-Wcdma;Claro;66
2438398-Wcdma;Claro;66
2438443-Wcdma;Claro;71
2438443-Wcdma;WOM;71
2438449-Wcdma;Claro;71
2438783-Wcdma;Claro;69
2438784-Wcdma;Claro;69
2438786-Wcdma;Claro;69
2439683-Wcdma;Claro;69
2439686-Wcdma;Claro;69
2442406-Wcdma;Claro;65
2442416-Wcdma;Claro;65
2442426-Wcdma;Claro;68
2442426-Wcdma;WOM;68
2442496-Wcdma;Claro;69
