id;id_station_measure
121857-Lte;Claro;111
121859-Lte;Claro;109
1219623-Lte;Movistar;70
1221407-Lte;Movistar;82
1221408-Lte;Movistar;82
1221409-Lte;Movistar;82
1221414-Lte;Movistar;82
1221415-Lte;Movistar;82
1224053-Wcdma;Movistar;82
1224160-Wcdma;Movistar;82
1224313-Wcdma;Movistar;83
1224557-Wcdma;Movistar;83
1224557-Wcdma;WOM;83
1226005-Lte;Movistar;68
1226271-Lte;Movistar;103
1227551-Lte;Movistar;39
122881-Lte;Claro;101
1229584-Wcdma;Movistar;83
1229585-Wcdma;Movistar;83
1231075-Wcdma;Movistar;85
1231078-Wcdma;Movistar;85
1231079-Wcdma;Movistar;85
123137-Lte;Claro;101
1234097-Wcdma;Movistar;81
1234098-Wcdma;Movistar;81
1234100-Wcdma;Movistar;81
1234101-Wcdma;Movistar;81
1237031-Lte;Movistar;60
1238311-Lte;Movistar;39
1240070-Wcdma;Movistar;43
1240071-Wcdma;Movistar;43
1240072-Wcdma;Movistar;43
1240073-Gsm;Movistar;43
1240073-Wcdma;Movistar;43
1240074-Wcdma;Movistar;43
1240075-Wcdma;Movistar;43
1240076-Gsm;Movistar;44
1240076-Wcdma;Movistar;44
1240077-Gsm;Movistar;44
1240077-Wcdma;Movistar;44
1240078-Wcdma;Movistar;44
1240079-Wcdma;Movistar;44
1240080-Wcdma;Movistar;44
1240081-Wcdma;Movistar;44
1240082-Wcdma;Movistar;45
1240083-Wcdma;Movistar;45
1240084-Wcdma;Movistar;45
1240085-Wcdma;Movistar;45
1240086-Wcdma;Movistar;45
1240087-Wcdma;Movistar;45
1240088-Wcdma;Movistar;46
1240090-Wcdma;Movistar;46
1240091-Wcdma;Movistar;46
1240092-Wcdma;Movistar;46
1240093-Wcdma;Movistar;46
1244705-Lte;Movistar;37
1247851-Wcdma;Movistar;40
1247852-Wcdma;Movistar;40
1247852-Wcdma;WOM;40
1249057-Lte;Movistar;101
1249569-Lte;Movistar;70
1249575-Lte;Movistar;70
1250079-Lte;Movistar;38
1251104-Lte;Movistar;36
1251110-Lte;Movistar;36
1252565-Wcdma;Claro;56
1252565-Wcdma;WOM;56
1253153-Lte;Movistar;91
1253205-Wcdma;Claro;59
1253208-Wcdma;Claro;59
1253220-Wcdma;Claro;73
1253223-Wcdma;Claro;73
1253365-Gsm;Movistar;107
1253365-Wcdma;Claro;107
1253371-Wcdma;Claro;107
1253387-Wcdma;Claro;102
1253406-Wcdma;Claro;60
1253407-Lte;Movistar;82
1253413-Lte;Movistar;82
1253525-Wcdma;Claro;63
1253525-Wcdma;WOM;63
1253526-Wcdma;Claro;108
1253526-Wcdma;WOM;108
1253531-Wcdma;Claro;63
1253531-Wcdma;WOM;63
1253532-Gsm;Movistar;108
1253532-Wcdma;Claro;108
1253532-Wcdma;WOM;108
1253566-Wcdma;Claro;74
1253569-Wcdma;Claro;74
1253570-Wcdma;Claro;74
1253581-Wcdma;Claro;58
1253583-Wcdma;Claro;58
1253625-Wcdma;Claro;62
1253796-Wcdma;Claro;59
1253797-Wcdma;Claro;59
1253803-Wcdma;Claro;59
1253995-Wcdma;Claro;61
1253997-Wcdma;Claro;61
1256223-Lte;Movistar;73
1256225-Lte;Movistar;73
1256231-Lte;Movistar;74
1256735-Lte;Movistar;59
1256741-Lte;Movistar;59
1258066-Wcdma;Claro;61
1258535-Wcdma;Claro;74
1258667-Wcdma;Claro;65
1258785-Wcdma;Claro;64
1258786-Wcdma;Claro;64
1258787-Wcdma;Claro;64
1258788-Wcdma;Claro;63
1258789-Wcdma;Claro;64
1258790-Wcdma;Claro;64
1258791-Wcdma;Claro;64
1258793-Wcdma;Claro;64
1258793-Wcdma;WOM;64
1259027-Wcdma;Claro;75
1259029-Wcdma;Claro;75
1259030-Wcdma;Claro;75
1259032-Wcdma;Claro;75
