paradas;servicios
PA305;121I
PA307;121I
PA308;121I
PA309;121I-J10R
PA31;113R-201I-271I-509R
PA310;121I-J10R
PA311;121I
PA312;121I-J10R
PA313;121I
PA314;121I
PA315;121I
PA316;121I
PA318;121R
PA319;121R
PA32;113R-509R
PA320;121R
PA321;121R
PA322;121R-507R
PA323;121R-J03I-J10I
PA324;121R-J03I-J10I
PA325;J10I
PA326;J10I
PA327;J10I
PA329;214R-230I-307I-307eI-B03I-B04I-B20I
PA33;113R-509R
PA331;313eR
PA332;402I-504I-505I-508I-514I
PA334;504I-505I-508I-514I-517I
PA335;507I-510I-513I-516I
PA336;210I-210vI-221eR-412I-418I-419I-423I-424I-481R
PA337;210I-210vI-221eR-412I-418I-419I-423I-424I-510I
PA338;401I-405I-406I-407I-412I-418I-426I
PA339;125R-401I-406I-407I-424I-426I-481R-516I-519I
PA34;113R-509R
PA340;401I-407I-412I-418I
PA341;401I-405I-406I-407I-412I-418I-426I-516I-519I
PA342;106I-401I-403I-407I-419I-422I-423I-481R-513I-516I-519I
PA343;106R-401R-405R-419R-423R-481I
PA344;106R-125I-401R-405R-419R-423R-424R-481I
PA345;106R-125I-401R-404R-405R-419R-423R-481I-I09R-I09eR
PA346;106R-401R-405R-419R-423R-481I
PA347;106R-401R-405R-419R-423R-424R-481I-510R-516R-I09R-I09eR
PA348;106R-401R-404R-405R-419R-423R-424R-481I-510R-516R-J10R
PA349;106R-401R-404R-405R-419R-423R-424R-481I-510R-516R-J10R
PA35;113R-125I-302I-510I
PA350;106I-404I-405I-419I-423I
PA352;119R-303I-314I-315eI-502I-502cI-503I-517I-518I-B29I
PA353;119R-121R-502I-502cI-503I
PA354;119I-121I-409R
PA355;402R-505R
PA357;422R-D03R-H13R
PA358;422R-H13I
PA359;422R-H13I
PA36;113R-125I-302I-510I
PA360;422R
PA361;422R
PA362;422R-518R
PA365;125I-345R-385R-403R-404R-412R-418R-424R-516R-519R
PA366;404R-424R
PA367;404R-424R-481I-510R-516R-I09R-I09eR-I14R-J10R-J13I
PA368;406I-422I-426I-507I-510I-513I-J13R
PA369;401I-405I-406I-407I-426I
PA37;113R-125I-302I
PA370;401I-405I-406I-407I-426I
PA371;303I-307I-307eI-314I-315eI-405I-406I-426I
PA372;405I-406I-426I
PA373;116I-303R-406R-407R-426R
PA374;406R-407R-422R-426R
PA375;406R-407R-422R-426R-513R
PA376;406R-407R-422R-426R-513R
PA377;406R-407R-422R-426R-513R
PA378;406R-422R-426R
PA38;113R-125I-302I
