iLat;iLon;stops;services;route_segments;puntos
0;31;217;MTRI/MTRR;50-51/0;
0;32;;MTRI/MTRR;50/0;
1;32;;MTRI/MTRR;50/0;
2;32;;MTRI/MTRR;50/0;
2;33;;MTRI/MTRR;50/0;
3;33;;MTRI/MTRR;50/0;
3;34;;MTRI/MTRR;50/0;
4;34;;MTRI/MTRR;50/0;
5;34;;MTRI/MTRR;50/0;
5;35;;MTRI/MTRR;50/0;
6;35;;MTRI/MTRR;50/0;
7;35;;MTRI/MTRR;50/0;
7;36;;MTRI/MTRR;50/0;
8;36;;MTRI/MTRR;50/0;
8;37;;MTRI/MTRR;50/0;
9;37;;MTRI/MTRR;50/0;
10;37;;MTRI/MTRR;50/0;
10;38;;MTRI/MTRR;50/0;
11;38;;MTRI/MTRR;50/0;
12;38;216;MTRI/MTRR;50/0;
12;39;;MTRI/MTRR;50/0;
13;39;;MTRI/MTRR;48-49-50/0-1-2;
14;39;;MTRI/MTRR;48/2;
14;40;;MTRI/MTRR;48/2;
15;40;;MTRI/MTRR;47-48/2-3;
16;40;;MTRI/MTRR;47/3;
17;40;;MTRI/MTRR;47/3;
18;40;;MTRI/MTRR;47/3;
19;40;;MTRI/MTRR;47/3;
19;41;;MTRI/MTRR;47/3;
20;41;;MTRI/MTRR;47/3;
21;41;;MTRI/MTRR;46-47/3-4;
22;41;215;MTRI/MTRR;45-46/4-5;
22;42;;MTRI/MTRR;45/5;
23;41;;MTRI/MTRR;43/7;
23;42;;MTRI/MTRR;43-44-45/5-6-7;
24;41;;MTRI/MTRR;42-43/7-8;
25;41;;MTRI/MTRR;40-41-42/8-9-10;
26;40;;MTRI/MTRR;36-37-38-39/11-12-13-14;
26;41;;MTRI/MTRR;39-40/10-11;
27;39;;MTRI/MTRR;35/15;
27;40;;MTRI/MTRR;35-36/14-15;
28;38;;MTRI/MTRR;32-33-34-35/15-16-17-18;
28;39;;MTRI/MTRR;35/15;
29;38;;MTRI/MTRR;29-30-31-32/18-19-20-21;
30;35;;MTRI/MTRR;29/21;
30;36;;MTRI/MTRR;29/21;
30;37;;MTRI/MTRR;29/21;
30;38;;MTRI/MTRR;29/21;
31;33;;MTRI/MTRR;26-27-28/22-23-24;
31;34;;MTRI/MTRR;28-29/21-22;
31;35;;MTRI/MTRR;29/21;
32;33;;MTRI/MTRR;25-26/24-25;
33;32;;MTRI/MTRR;24-25/25-26;
33;33;;MTRI/MTRR;25/25;
34;32;;MTRI/MTRR;23-24/26-27;
34;33;;MTRI/MTRR;21-22-23/27-28-29;
35;33;214;MTRI/MTRR;20-21/29-30;
36;33;;MTRI/MTRR;20/30;
37;33;;MTRI/MTRR;20/30;
38;33;;MTRI/MTRR;20/30;
39;33;;MTRI/MTRR;18-19-20/30-31-32;
40;33;;MTRI/MTRR;18/32;
41;33;;MTRI/MTRR;18/32;
41;34;213;MTRI/MTRR;18/32;
42;34;;MTRI/MTRR;18/32;
42;35;;;;150
43;34;;MTRI/MTRR;18/32;
44;34;;MTRI/MTRR;18/32;
44;35;;MTRI/MTRR;18/32;
45;35;;MTRI/MTRR;17-18/32-33;
46;35;;MTRI/MTRR;17/33;
46;36;;MTRI/MTRR;17/33;
47;36;212;MTRI/MTRR;17/33;
48;36;;MTRI/MTRR;17/33;
49;36;;MTRI/MTRR;17/33;
49;37;;MTRI/MTRR;17/33;
50;37;;MTRI/MTRR;17/33;
51;25;;;;27
51;32;;;;205
51;34;;;;148
51;35;;;;35/1941
51;36;;;;130
51;37;;MTRI/MTRR;17/33;
51;38;211;MTRI/MTRR;17/33;
51;49;;;;36
52;38;;MTRI/MTRR;17/33;
53;38;;MTRI/MTRR;17/33;
53;39;210;MTRI/MTRR;17/33;
54;39;;MTRI/MTRR;17/33;
55;39;;MTRI/MTRR;15-16-17/33-34-35;
55;40;;MTRI/MTRR;16-17/33-34;
56;38;;MTRI/MTRR;14-15/35-36;
56;39;;MTRI/MTRR;15/35;
57;38;;MTRI/MTRR;11-12-13-14/36-37-38-39;
57;39;;MTRI/MTRR;11/39;
58;33;PG1947;G07I/G07R;38-39/0-1;1752
58;34;PG1650;G07I/G07R;38-39/0-1;
58;35;PG1570/PG1651;G07I/G07R;39/0;
58;36;PG1571/PG1652;G07I/G07R;39/0;
58;37;PG1569/PG1797;G07I/G07R;39/0;
58;39;;MTRI/MTRR;11/39;
58;40;;MTRI/MTRR;11/39;
59;34;PG1597/PG1643/PG1644;G07I/G07R;37-38/1-2;
59;35;;G07I/G07R;37/2;
59;37;;G07I/G07R;39/0;
59;38;PG1798/PG1799;G07I/G07R;39/0;
59;39;;G07I/G07R;39/0;
59;40;PG1572;G07I/G07R/MTRI/MTRR;39-40/0/11/39;
59;41;;MTRI/MTRR;11/39;
60;35;PG1596/PG1645;G07I/G07R;36-37/2-3;
60;41;;MTRI/MTRR;11/39;
60;42;;MTRI/MTRR;11/39;
60;55;;G02I/G02R/G14I/G14R;32-33-34/0-1/17-18-19/0-1;
61;35;;G07I/G07R;36/3;
61;36;PG1566/PG1567/PG1646/PG1647;G07I/G07R;34-35-36/3-4-5;
61;42;PG1607;211I/211R/G02I/MTRI/MTRR;45-46/0-1/17-18-19/11/39;
61;43;PG1702;211I/G02I/MTRI/MTRR;45/17/11/39;
61;53;PG711/PG718;G02I/G02R/G14I/G14R;31/2/16/2;
