route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
85,L,1,Avenida Grau,,0,,T_I,,
85,L,2,Avenida Grau,,0,,T_I,,
85,L,3,Avenida Grau,,0,,T_I,,
85,L,4,Avenida Grau,,0,,T_I,,
85,L,5,Avenida Grau,,0,,T_I,,
85,L,6,Avenida Grau,,0,,T_I,,
85,L,7,Avenida Grau,,0,,T_I,,
85,L,8,Avenida Grau,,0,,T_I,,
85,L,9,Avenida Grau,,0,,T_I,,
85,L,10,Avenida Grau,,0,,T_I,,
85,L,11,Avenida Grau,,0,,T_I,,
85,L,12,Avenida Grau,,0,,T_I,,
85,L,13,Avenida Grau,,0,,T_I,,
85,L,14,Avenida Grau,,0,,T_I,,
85,L,15,Avenida Grau,,0,,T_I,,
85,L,16,Avenida Grau,,0,,T_I,,
85,L,17,Avenida Grau,,0,,T_I,,
85,L,18,Avenida Grau,,0,,T_I,,
85,L,19,Avenida Grau,,0,,T_I,,
85,L,20,Avenida Grau,,0,,T_I,,
85,L,21,Avenida Grau,,0,,T_I,,
85,L,22,Avenida Grau,,0,,T_I,,
85,L,23,Avenida Grau,,0,,T_I,,
85,L,24,Avenida Grau,,0,,T_I,,
85,L,25,Avenida Grau,,0,,T_I,,
85,L,26,Avenida Grau,,0,,T_I,,
85,L,27,Avenida Grau,,0,,T_I,,
85,L,28,Avenida Grau,,0,,T_I,,
85,L,29,Avenida Grau,,0,,T_I,,
85,L,30,Avenida Grau,,0,,T_I,,
85,L,31,Avenida Grau,,0,,T_I,,
85,L,32,Avenida Grau,,0,,T_I,,
86,L,33,Neira,,0,,A_I,,
86,L,34,Neira,,0,,A_I,,
86,L,35,Neira,,0,,A_I,,
86,L,36,Neira,,0,,A_I,,
86,L,37,Neira,,0,,A_I,,
86,L,38,Neira,,0,,A_I,,
86,L,39,Neira,,0,,A_I,,
86,L,40,Neira,,0,,A_I,,
86,L,41,Neira,,0,,A_I,,
86,L,42,Neira,,0,,A_I,,
86,L,43,Neira,,0,,A_I,,
86,L,44,Neira,,0,,A_I,,
86,L,45,Neira,,0,,A_I,,
86,L,46,Neira,,0,,A_I,,
86,L,47,Neira,,0,,A_I,,
86,L,48,Neira,,0,,A_I,,
86,L,49,Neira,,0,,A_I,,
86,L,50,Neira,,0,,A_I,,
86,L,51,Neira,,0,,A_I,,
86,L,52,Neira,,0,,A_I,,
86,L,53,Neira,,0,,A_I,,
86,L,54,Neira,,0,,A_I,,
86,L,55,Neira,,0,,A_I,,
86,L,56,Neira,,0,,A_I,,
86,L,57,Neira,,0,,A_I,,
86,L,58,Neira,,0,,A_I,,
86,L,59,Neira,,0,,A_I,,
86,L,60,Neira,,0,,A_I,,
86,L,61,Neira,,0,,A_I,,
86,L,62,Neira,,0,,A_I,,
86,L,63,Neira,,0,,A_I,,
86,L,64,Neira,,0,,A_I,,
89,L,65,Juan Soldado,,0,,C_I,,
89,L,66,Juan Soldado,,0,,C_I,,
89,L,67,Juan Soldado,,0,,C_I,,
89,L,68,Juan Soldado,,0,,C_I,,
89,L,69,Juan Soldado,,0,,C_I,,
89,L,70,Juan Soldado,,0,,C_I,,
89,L,71,Juan Soldado,,0,,C_I,,
89,L,72,Juan Soldado,,0,,C_I,,
89,L,73,Juan Soldado,,0,,C_I,,
89,L,74,Juan Soldado,,0,,C_I,,
89,L,75,Juan Soldado,,0,,C_I,,
89,L,76,Juan Soldado,,0,,C_I,,
89,L,77,Juan Soldado,,0,,C_I,,
89,L,78,Juan Soldado,,0,,C_I,,
89,L,79,Juan Soldado,,0,,C_I,,
89,L,80,Juan Soldado,,0,,C_I,,
89,L,81,Juan Soldado,,0,,C_I,,
89,L,82,Juan Soldado,,0,,C_I,,
89,L,83,Juan Soldado,,0,,C_I,,
89,L,84,Juan Soldado,,0,,C_I,,
89,L,85,Juan Soldado,,0,,C_I,,
89,L,86,Juan Soldado,,0,,C_I,,
89,L,87,Juan Soldado,,0,,C_I,,
89,L,88,Juan Soldado,,0,,C_I,,
89,L,89,Juan Soldado,,0,,C_I,,
89,L,90,Juan Soldado,,0,,C_I,,
89,L,91,Juan Soldado,,0,,C_I,,
89,L,92,Juan Soldado,,0,,C_I,,
89,L,93,Juan Soldado,,0,,C_I,,
89,L,94,Juan Soldado,,0,,C_I,,
89,L,95,Juan Soldado,,0,,C_I,,
90,L,96,Tupac,,0,,F_I,,
90,L,97,Tupac,,0,,F_I,,
90,L,98,Tupac,,0,,F_I,,
90,L,99,Tupac,,0,,F_I,,
90,L,100,Tupac,,0,,F_I,,
90,L,101,Tupac,,0,,F_I,,
90,L,102,Tupac,,0,,F_I,,
90,L,103,Tupac,,0,,F_I,,
90,L,104,Tupac,,0,,F_I,,
90,L,105,Tupac,,0,,F_I,,
90,L,106,Tupac,,0,,F_I,,
90,L,107,Tupac,,0,,F_I,,
90,L,108,Tupac,,0,,F_I,,
90,L,109,Tupac,,0,,F_I,,
90,L,110,Tupac,,0,,F_I,,
90,L,111,Tupac,,0,,F_I,,
90,L,112,Tupac,,0,,F_I,,
90,L,113,Tupac,,0,,F_I,,
90,L,114,Tupac,,0,,F_I,,
90,L,115,Tupac,,0,,F_I,,
90,L,116,Tupac,,0,,F_I,,
90,L,117,Tupac,,0,,F_I,,
90,L,118,Tupac,,0,,F_I,,
90,L,119,Tupac,,0,,F_I,,
90,L,120,Tupac,,0,,F_I,,
90,L,121,Tupac,,0,,F_I,,
90,L,122,Tupac,,0,,F_I,,
90,L,123,Tupac,,0,,F_I,,
90,L,124,Tupac,,0,,F_I,,
90,L,125,Tupac,,0,,F_I,,
92,L,126,El Manzano,,0,,Z_I,,
92,L,127,El Manzano,,0,,Z_I,,
92,L,128,El Manzano,,0,,Z_I,,
92,L,129,El Manzano,,0,,Z_I,,
92,L,130,El Manzano,,0,,Z_I,,
92,L,131,El Manzano,,0,,Z_I,,
92,L,132,El Manzano,,0,,Z_I,,
92,L,133,El Manzano,,0,,Z_I,,
92,L,134,El Manzano,,0,,Z_I,,
92,L,135,El Manzano,,0,,Z_I,,
92,L,136,El Manzano,,0,,Z_I,,
92,L,137,El Manzano,,0,,Z_I,,
92,L,138,El Manzano,,0,,Z_I,,
92,L,139,El Manzano,,0,,Z_I,,
92,L,140,El Manzano,,0,,Z_I,,
92,L,141,El Manzano,,0,,Z_I,,
92,L,142,El Manzano,,0,,Z_I,,
92,L,143,El Manzano,,0,,Z_I,,
92,L,144,El Manzano,,0,,Z_I,,
92,L,145,El Manzano,,0,,Z_I,,
92,L,146,El Manzano,,0,,Z_I,,
92,L,147,El Manzano,,0,,Z_I,,
92,L,148,El Manzano,,0,,Z_I,,
92,L,149,El Manzano,,0,,Z_I,,
92,L,150,El Manzano,,0,,Z_I,,
92,L,151,El Manzano,,0,,Z_I,,
92,L,152,El Manzano,,0,,Z_I,,
92,L,153,El Manzano,,0,,Z_I,,
92,L,154,El Manzano,,0,,Z_I,,
92,L,155,El Manzano,,0,,Z_I,,
92,L,156,El Manzano,,0,,Z_I,,
92,L,157,El Manzano,,0,,Z_I,,
80,L,158,Ojo de Opache,,0,,B_I,,
80,L,159,Ojo de Opache,,0,,B_I,,
80,L,160,Ojo de Opache,,0,,B_I,,
80,L,161,Ojo de Opache,,0,,B_I,,
80,L,162,Ojo de Opache,,0,,B_I,,
80,L,163,Ojo de Opache,,0,,B_I,,
80,L,164,Ojo de Opache,,0,,B_I,,
80,L,165,Ojo de Opache,,0,,B_I,,
80,L,166,Ojo de Opache,,0,,B_I,,
80,L,167,Ojo de Opache,,0,,B_I,,
80,L,168,Ojo de Opache,,0,,B_I,,
80,L,169,Ojo de Opache,,0,,B_I,,
80,L,170,Ojo de Opache,,0,,B_I,,
80,L,171,Ojo de Opache,,0,,B_I,,
80,L,172,Ojo de Opache,,0,,B_I,,
80,L,173,Ojo de Opache,,0,,B_I,,
80,L,174,Ojo de Opache,,0,,B_I,,
80,L,175,Ojo de Opache,,0,,B_I,,
80,L,176,Ojo de Opache,,0,,B_I,,
80,L,177,Ojo de Opache,,0,,B_I,,
80,L,178,Ojo de Opache,,0,,B_I,,
81,L,179,Parque El Loa,,0,,D_I,,
81,L,180,Parque El Loa,,0,,D_I,,
81,L,181,Parque El Loa,,0,,D_I,,
81,L,182,Parque El Loa,,0,,D_I,,
81,L,183,Parque El Loa,,0,,D_I,,
81,L,184,Parque El Loa,,0,,D_I,,
81,L,185,Parque El Loa,,0,,D_I,,
81,L,186,Parque El Loa,,0,,D_I,,
81,L,187,Parque El Loa,,0,,D_I,,
81,L,188,Parque El Loa,,0,,D_I,,
81,L,189,Parque El Loa,,0,,D_I,,
81,L,190,Parque El Loa,,0,,D_I,,
81,L,191,Parque El Loa,,0,,D_I,,
81,L,192,Parque El Loa,,0,,D_I,,
81,L,193,Parque El Loa,,0,,D_I,,
81,L,194,Parque El Loa,,0,,D_I,,
81,L,195,Parque El Loa,,0,,D_I,,
81,L,196,Parque El Loa,,0,,D_I,,
81,L,197,Parque El Loa,,0,,D_I,,
81,L,198,Parque El Loa,,0,,D_I,,
81,L,199,Parque El Loa,,0,,D_I,,
82,L,200,Ojo de Opache,,0,,E_I,,
82,L,201,Ojo de Opache,,0,,E_I,,
82,L,202,Ojo de Opache,,0,,E_I,,
82,L,203,Ojo de Opache,,0,,E_I,,
82,L,204,Ojo de Opache,,0,,E_I,,
82,L,205,Ojo de Opache,,0,,E_I,,
82,L,206,Ojo de Opache,,0,,E_I,,
82,L,207,Ojo de Opache,,0,,E_I,,
82,L,208,Ojo de Opache,,0,,E_I,,
82,L,209,Ojo de Opache,,0,,E_I,,
82,L,210,Ojo de Opache,,0,,E_I,,
82,L,211,Ojo de Opache,,0,,E_I,,
82,L,212,Ojo de Opache,,0,,E_I,,
82,L,213,Ojo de Opache,,0,,E_I,,
82,L,214,Ojo de Opache,,0,,E_I,,
82,L,215,Ojo de Opache,,0,,E_I,,
82,L,216,Ojo de Opache,,0,,E_I,,
82,L,217,Ojo de Opache,,0,,E_I,,
82,L,218,Ojo de Opache,,0,,E_I,,
82,L,219,Ojo de Opache,,0,,E_I,,
82,L,220,Ojo de Opache,,0,,E_I,,
83,L,221,Ojo de Opache,,0,,M_I,,
83,L,222,Ojo de Opache,,0,,M_I,,
83,L,223,Ojo de Opache,,0,,M_I,,
83,L,224,Ojo de Opache,,0,,M_I,,
83,L,225,Ojo de Opache,,0,,M_I,,
83,L,226,Ojo de Opache,,0,,M_I,,
83,L,227,Ojo de Opache,,0,,M_I,,
83,L,228,Ojo de Opache,,0,,M_I,,
83,L,229,Ojo de Opache,,0,,M_I,,
83,L,230,Ojo de Opache,,0,,M_I,,
83,L,231,Ojo de Opache,,0,,M_I,,
83,L,232,Ojo de Opache,,0,,M_I,,
83,L,233,Ojo de Opache,,0,,M_I,,
83,L,234,Ojo de Opache,,0,,M_I,,
83,L,235,Ojo de Opache,,0,,M_I,,
83,L,236,Ojo de Opache,,0,,M_I,,
83,L,237,Ojo de Opache,,0,,M_I,,
83,L,238,Ojo de Opache,,0,,M_I,,
83,L,239,Ojo de Opache,,0,,M_I,,
83,L,240,Ojo de Opache,,0,,M_I,,
83,L,241,Ojo de Opache,,0,,M_I,,
84,L,242,Calle Jose Lira,,0,,X_I,,
84,L,243,Calle Jose Lira,,0,,X_I,,
84,L,244,Calle Jose Lira,,0,,X_I,,
84,L,245,Calle Jose Lira,,0,,X_I,,
84,L,246,Calle Jose Lira,,0,,X_I,,
84,L,247,Calle Jose Lira,,0,,X_I,,
84,L,248,Calle Jose Lira,,0,,X_I,,
84,L,249,Calle Jose Lira,,0,,X_I,,
84,L,250,Calle Jose Lira,,0,,X_I,,
84,L,251,Calle Jose Lira,,0,,X_I,,
84,L,252,Calle Jose Lira,,0,,X_I,,
84,L,253,Calle Jose Lira,,0,,X_I,,
84,L,254,Calle Jose Lira,,0,,X_I,,
84,L,255,Calle Jose Lira,,0,,X_I,,
84,L,256,Calle Jose Lira,,0,,X_I,,
84,L,257,Calle Jose Lira,,0,,X_I,,
84,L,258,Calle Jose Lira,,0,,X_I,,
84,L,259,Calle Jose Lira,,0,,X_I,,
84,L,260,Calle Jose Lira,,0,,X_I,,
84,L,261,Calle Jose Lira,,0,,X_I,,
84,L,262,Calle Jose Lira,,0,,X_I,,
85,L,263,Granaderos,,1,,T_R,,
85,L,264,Granaderos,,1,,T_R,,
85,L,265,Granaderos,,1,,T_R,,
85,L,266,Granaderos,,1,,T_R,,
85,L,267,Granaderos,,1,,T_R,,
85,L,268,Granaderos,,1,,T_R,,
85,L,269,Granaderos,,1,,T_R,,
85,L,270,Granaderos,,1,,T_R,,
85,L,271,Granaderos,,1,,T_R,,
85,L,272,Granaderos,,1,,T_R,,
85,L,273,Granaderos,,1,,T_R,,
85,L,274,Granaderos,,1,,T_R,,
85,L,275,Granaderos,,1,,T_R,,
85,L,276,Granaderos,,1,,T_R,,
85,L,277,Granaderos,,1,,T_R,,
85,L,278,Granaderos,,1,,T_R,,
85,L,279,Granaderos,,1,,T_R,,
85,L,280,Granaderos,,1,,T_R,,
85,L,281,Granaderos,,1,,T_R,,
85,L,282,Granaderos,,1,,T_R,,
