stop_code;stop_name;stop_lat;stop_lon
PF317;Pasaje Cabo De Hornos;-33.57446462;-70.60841647
PF319;Blanca;-33.58886631;-70.60496625
PF32;Avenida Camilo HenrÕquez;-33.57441036;-70.55480614
PF320;Creta;-33.58832731;-70.601325
PF322;El Abra;-33.58794727;-70.59863495
PF323;Avenida Ej…rcito Libertador;-33.58771764;-70.59686358
PF324;Alc Juan De Dios Malebr¡n;-33.58696783;-70.59136523
PF325;Matico;-33.58400503;-70.59174181
PF326;Avenida Gabriela;-33.58092224;-70.59233166
PF33;San Gabriel;-33.57439674;-70.5551722
PF331;¡ngel Pimentel;-33.58792177;-70.56322697
PF332;San Hugo;-33.59037573;-70.56171955
PF333;Las Nieves Oriente;-33.59226496;-70.56065447
PF334;Cerro San Crist”bal;-33.59481969;-70.5590194
PF335;Avenida San Carlos;-33.59615566;-70.55820289
PF339;Domingo Tocornal;-33.60110004;-70.55801164
PF34;Nevado Ojos Del Salado;-33.57524944;-70.5576439
PF342;San Alberto;-33.59410484;-70.55921129
PF343;Las Nieves Oriente;-33.59252407;-70.56013112
PF344;San Hugo;-33.59056969;-70.56135668
PF345;¡ngel Pimentel;-33.5886612;-70.56251836
PF35;Las Nieves Oriente;-33.57547489;-70.55979193
PF350;La Campi—a;-33.57677668;-70.57591156
PF351;El Palqui;-33.58403943;-70.59187174
PF352;Avenida Luis Matte LarraÕn;-33.58669791;-70.59131717
PF353;Mesa Mavida;-33.58688433;-70.59154687
PF354;Avenida Ej…rcito Libertador;-33.58753567;-70.59628914
